,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,officialname.xml:lang,officialname.type,officialname.value,origindate.datatype,origindate.type,origindate.value,country
20,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,uri,http://www.wikidata.org/entity/Q974,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,wd:Q822
21,uri,http://www.wikidata.org/entity/Q4832922,en,literal,Aztag,uri,http://www.wikidata.org/entity/Q822,literal,,literal,,literal,,literal,,literal,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1927-03-05T00:00:00Z,wd:Q822
22,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,uri,http://www.wikidata.org/entity/Q842,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,wd:Q822
23,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,uri,http://www.wikidata.org/entity/Q846,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,wd:Q822
24,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,uri,http://www.wikidata.org/entity/Q398,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,wd:Q822
25,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,uri,http://www.wikidata.org/entity/Q851,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,wd:Q822
26,uri,http://www.wikidata.org/entity/Q64729624,en,literal,Dar Sader Publishers,uri,http://www.wikidata.org/entity/Q822,literal,http://www.wikidata.org/entity/Q3972943,literal,,literal,,literal,http://www.wikidata.org/entity/Q3820,literal,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1863-01-01T00:00:00Z,wd:Q822
27,uri,http://www.wikidata.org/entity/Q104092039,en,literal,Global Vision Design & Production,uri,http://www.wikidata.org/entity/Q822,literal,"http://www.wikidata.org/entity/Q39809, http://www.wikidata.org/entity/Q37038",literal,,literal,,literal,http://www.wikidata.org/entity/Q3820,literal,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2005-01-01T00:00:00Z,wd:Q822
28,uri,http://www.wikidata.org/entity/Q79893814,en,literal,Al Hadatha,uri,http://www.wikidata.org/entity/Q822,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3820,literal,,ar,literal,الحداثة,http://www.w3.org/2001/XMLSchema#dateTime,literal,1993-09-21T00:00:00Z,wd:Q822
29,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,uri,http://www.wikidata.org/entity/Q878,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,wd:Q822
30,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,wd:Q822
31,uri,http://www.wikidata.org/entity/Q6825178,en,literal,Hilton Beirut Metropolitan Palace,uri,http://www.wikidata.org/entity/Q822,literal,,literal,,literal,,literal,,literal,,ar,literal,هيلتون بيروت ميتروبوليتان بالاس,,,,wd:Q822
32,uri,http://www.wikidata.org/entity/Q12211270,en,literal,Dār al-Mashriq,uri,http://www.wikidata.org/entity/Q822,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q722925,literal,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1982-01-01T00:00:00Z,wd:Q822
33,uri,http://www.wikidata.org/entity/Q79893814,en,literal,Al Hadatha,uri,http://www.wikidata.org/entity/Q822,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3820,literal,,en,literal,al hadatha,http://www.w3.org/2001/XMLSchema#dateTime,literal,1993-09-21T00:00:00Z,wd:Q822
