,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,origindate.datatype,origindate.type,origindate.value,officialname.xml:lang,officialname.type,officialname.value,employees.datatype,employees.type,employees.value,profit.datatype,profit.type,profit.value,assets.datatype,assets.type,assets.value,equity.datatype,equity.type,equity.value,country
18,uri,http://www.wikidata.org/entity/Q21825247,en,literal,Conrad Seoul,uri,http://www.wikidata.org/entity/Q884,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-11-12T00:00:00Z,ko,literal,콘래드 서울,,,,,,,,,,,,,wd:Q884
19,uri,http://www.wikidata.org/entity/Q5150442,en,literal,Com2uS,uri,http://www.wikidata.org/entity/Q884,literal,http://www.wikidata.org/entity/Q210167,literal,,literal,,literal,http://www.wikidata.org/entity/Q8684,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1998-07-31T00:00:00Z,,,,,,,,,,,,,,,,wd:Q884
20,uri,http://www.wikidata.org/entity/Q15635831,en,literal,Chrome Entertainment,uri,http://www.wikidata.org/entity/Q884,literal,http://www.wikidata.org/entity/Q746359,literal,,literal,,literal,http://www.wikidata.org/entity/Q8684,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2011-01-01T00:00:00Z,,,,,,,,,,,,,,,,wd:Q884
21,uri,http://www.wikidata.org/entity/Q213147,en,literal,Korean Air,uri,http://www.wikidata.org/entity/Q884,literal,,literal,http://www.wikidata.org/entity/Q18648498,literal,,literal,http://www.wikidata.org/entity/Q2647541,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1969-03-01T00:00:00Z,ko,literal,주식회사 대한항공,,,,,,,,,,,,,wd:Q884
22,uri,http://www.wikidata.org/entity/Q483238,en,literal,JYP Entertainment,uri,http://www.wikidata.org/entity/Q884,literal,http://www.wikidata.org/entity/Q638,literal,,literal,,literal,http://www.wikidata.org/entity/Q2647706,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1996-04-25T00:00:00Z,en,literal,JYP Entertainment Corporation,,,,,,,,,,,,,wd:Q884
23,uri,http://www.wikidata.org/entity/Q16180845,en,literal,Jellyfish Entertainment,uri,http://www.wikidata.org/entity/Q884,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q8684,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2007-01-01T00:00:00Z,en,literal,"JELLYFISH ENTERTAINMENT CO., LTD.",,,,,,,,,,,,,wd:Q884
24,uri,http://www.wikidata.org/entity/Q16174772,en,literal,Rainbow Bridge World,uri,http://www.wikidata.org/entity/Q884,literal,http://www.wikidata.org/entity/Q746359,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2010-03-05T00:00:00Z,,,,,,,,,,,,,,,,wd:Q884
25,uri,http://www.wikidata.org/entity/Q746413,en,literal,Elsevier BV,uri,http://www.wikidata.org/entity/Q27,literal,http://www.wikidata.org/entity/Q3972943,literal,,literal,,literal,"http://www.wikidata.org/entity/Q1345, http://www.wikidata.org/entity/Q2662373",literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1880-01-01T00:00:00Z,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,6900,http://www.w3.org/2001/XMLSchema#decimal,literal,600000000,,,,,,,wd:Q884
26,uri,http://www.wikidata.org/entity/Q623647,en,literal,Gmarket,uri,http://www.wikidata.org/entity/Q884,literal,http://www.wikidata.org/entity/Q484847,literal,,literal,,literal,http://www.wikidata.org/entity/Q20398,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2000-01-01T00:00:00Z,,,,,,,,,,,,,,,,wd:Q884
27,uri,http://www.wikidata.org/entity/Q98636197,en,literal,ZB Label,uri,http://www.wikidata.org/entity/Q884,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q884
28,uri,http://www.wikidata.org/entity/Q50595,en,literal,YG Entertainment,uri,http://www.wikidata.org/entity/Q884,literal,http://www.wikidata.org/entity/Q19595701,literal,,literal,,literal,http://www.wikidata.org/entity/Q2681423,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1996-02-24T00:00:00Z,ko,literal,주식회사 와이지엔터테인먼트,http://www.w3.org/2001/XMLSchema#decimal,literal,254,,,,,,,,,,wd:Q884
29,uri,http://www.wikidata.org/entity/Q16175734,en,literal,Celltrion,uri,http://www.wikidata.org/entity/Q884,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q20934,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1999-01-01T00:00:00Z,,,,,,,,,,,,,,,,wd:Q884
30,uri,http://www.wikidata.org/entity/Q12601146,en,literal,The Seoul Economic Daily,uri,http://www.wikidata.org/entity/Q884,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1960-08-01T00:00:00Z,,,,,,,,,,,,,,,,wd:Q884
31,uri,http://www.wikidata.org/entity/Q1316175,en,literal,SYSTRAN,uri,http://www.wikidata.org/entity/Q142,literal,http://www.wikidata.org/entity/Q112165934,literal,,literal,,literal,http://www.wikidata.org/entity/Q90,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1968-01-01T00:00:00Z,,,,,,,,,,,,,,,,wd:Q884
32,uri,http://www.wikidata.org/entity/Q746413,en,literal,Elsevier BV,uri,http://www.wikidata.org/entity/Q30,literal,http://www.wikidata.org/entity/Q3972943,literal,,literal,,literal,"http://www.wikidata.org/entity/Q1345, http://www.wikidata.org/entity/Q2662373",literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1880-01-01T00:00:00Z,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,6900,http://www.w3.org/2001/XMLSchema#decimal,literal,600000000,,,,,,,wd:Q884
33,uri,http://www.wikidata.org/entity/Q19794485,en,literal,YMC Entertainment,uri,http://www.wikidata.org/entity/Q884,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q8684,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2010-01-01T00:00:00Z,,,,,,,,,,,,,,,,wd:Q884
34,uri,http://www.wikidata.org/entity/Q494369,en,literal,Woori Bank,uri,http://www.wikidata.org/entity/Q884,literal,http://www.wikidata.org/entity/Q837171,literal,,literal,,literal,http://www.wikidata.org/entity/Q50441,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1899-01-01T00:00:00Z,,,,,,,,,,,,,,,,wd:Q884
35,uri,http://www.wikidata.org/entity/Q483883,en,literal,Incheon Transit Corporation,uri,http://www.wikidata.org/entity/Q884,literal,http://www.wikidata.org/entity/Q5503,literal,,literal,,literal,http://www.wikidata.org/entity/Q20934,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1998-04-15T00:00:00Z,,,,,,,,,,,,,,,,wd:Q884
36,uri,http://www.wikidata.org/entity/Q7628201,en,literal,Studio Mir,uri,http://www.wikidata.org/entity/Q884,literal,http://www.wikidata.org/entity/Q1415395,literal,,literal,,literal,http://www.wikidata.org/entity/Q8684,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2011-01-01T00:00:00Z,,,,,,,,,,,,,,,,wd:Q884
37,uri,http://www.wikidata.org/entity/Q7509507,en,literal,SidusHQ,uri,http://www.wikidata.org/entity/Q884,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q2647661,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1999-02-01T00:00:00Z,en,literal,"iHQ, INC.",,,,,,,,,,,,,wd:Q884
38,uri,http://www.wikidata.org/entity/Q19794482,en,literal,WM Entertainment,uri,http://www.wikidata.org/entity/Q884,literal,http://www.wikidata.org/entity/Q625568,literal,,literal,,literal,http://www.wikidata.org/entity/Q8684,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2008-07-21T00:00:00Z,,,,,,,,,,,,,,,,wd:Q884
39,uri,http://www.wikidata.org/entity/Q746413,en,literal,Elsevier BV,uri,http://www.wikidata.org/entity/Q29,literal,http://www.wikidata.org/entity/Q3972943,literal,,literal,,literal,"http://www.wikidata.org/entity/Q1345, http://www.wikidata.org/entity/Q2662373",literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1880-01-01T00:00:00Z,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,6900,http://www.w3.org/2001/XMLSchema#decimal,literal,600000000,,,,,,,wd:Q884
40,uri,http://www.wikidata.org/entity/Q31180108,en,literal,WAKEONE,uri,http://www.wikidata.org/entity/Q884,literal,http://www.wikidata.org/entity/Q746359,literal,,literal,,literal,http://www.wikidata.org/entity/Q8684,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2014-02-18T00:00:00Z,ko,literal,주식회사 웨이크원,http://www.w3.org/2001/XMLSchema#decimal,literal,38,,,,,,,,,,wd:Q884
41,uri,http://www.wikidata.org/entity/Q746413,en,literal,Elsevier BV,uri,http://www.wikidata.org/entity/Q865,literal,http://www.wikidata.org/entity/Q3972943,literal,,literal,,literal,"http://www.wikidata.org/entity/Q2662373, http://www.wikidata.org/entity/Q1345",literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1880-01-01T00:00:00Z,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,6900,http://www.w3.org/2001/XMLSchema#decimal,literal,600000000,,,,,,,wd:Q884
42,uri,http://www.wikidata.org/entity/Q16164774,en,literal,AOMG,uri,http://www.wikidata.org/entity/Q884,literal,,literal,"http://www.wikidata.org/entity/Q429046, http://www.wikidata.org/entity/Q2756226",literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2013-09-01T00:00:00Z,,,,,,,,,,,,,,,,wd:Q884
43,uri,http://www.wikidata.org/entity/Q94649502,en,literal,ProjectMoon,uri,http://www.wikidata.org/entity/Q884,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2016-11-18T00:00:00Z,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,7,,,,,,,,,,wd:Q884
44,uri,http://www.wikidata.org/entity/Q16935513,en,literal,Tony Moly,uri,http://www.wikidata.org/entity/Q884,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q8684,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2006-01-01T00:00:00Z,,,,,,,,,,,,,,,,wd:Q884
45,uri,http://www.wikidata.org/entity/Q112674508,en,literal,Toytron,uri,http://www.wikidata.org/entity/Q884,literal,http://www.wikidata.org/entity/Q57262286,literal,,literal,,literal,http://www.wikidata.org/entity/Q20395,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1999-10-01T00:00:00Z,en,literal,Toytron,,,,,,,,,,,,,wd:Q884
46,uri,http://www.wikidata.org/entity/Q107394173,en,literal,Thisisneverthat,uri,http://www.wikidata.org/entity/Q884,literal,http://www.wikidata.org/entity/Q11828862,literal,,literal,,literal,http://www.wikidata.org/entity/Q8684,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2010-01-01T00:00:00Z,,,,,,,,,,,,,,,,wd:Q884
47,uri,http://www.wikidata.org/entity/Q326715,en,literal,Lotte Mart,uri,http://www.wikidata.org/entity/Q884,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q8684,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1998-01-01T00:00:00Z,,,,,,,,,,,,,,,,wd:Q884
48,uri,http://www.wikidata.org/entity/Q746413,en,literal,Elsevier BV,uri,http://www.wikidata.org/entity/Q38,literal,http://www.wikidata.org/entity/Q3972943,literal,,literal,,literal,"http://www.wikidata.org/entity/Q1345, http://www.wikidata.org/entity/Q2662373",literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1880-01-01T00:00:00Z,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,6900,http://www.w3.org/2001/XMLSchema#decimal,literal,600000000,,,,,,,wd:Q884
49,uri,http://www.wikidata.org/entity/Q5089641,en,literal,Cheil Worldwide,uri,http://www.wikidata.org/entity/Q884,literal,http://www.wikidata.org/entity/Q216931,literal,,literal,,literal,http://www.wikidata.org/entity/Q8684,literal,http://www.wikidata.org/entity/Q20716,http://www.w3.org/2001/XMLSchema#dateTime,literal,1973-01-01T00:00:00Z,,,,,,,,,,,,,,,,wd:Q884
50,uri,http://www.wikidata.org/entity/Q213097,en,literal,JTBC,uri,http://www.wikidata.org/entity/Q884,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q55726709,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2011-03-21T00:00:00Z,en,literal,"JTBC Co., Ltd.",,,,,,,,,,,,,wd:Q884
51,uri,http://www.wikidata.org/entity/Q20445840,en,literal,Saram Entertainment,uri,http://www.wikidata.org/entity/Q884,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q8684,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2006-01-01T00:00:00Z,,,,,,,,,,,,,,,,wd:Q884
52,uri,http://www.wikidata.org/entity/Q625975,en,literal,Kakao Entertainment,uri,http://www.wikidata.org/entity/Q884,literal,http://www.wikidata.org/entity/Q746359,literal,,literal,,literal,http://www.wikidata.org/entity/Q2647661,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2018-01-01T00:00:00Z,ko,literal,주식회사 카카오M,,,,,,,,,,,,,wd:Q884
