,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,officialname.xml:lang,officialname.type,officialname.value,employees.datatype,employees.type,employees.value,profit.datatype,profit.type,profit.value,country
0,uri,http://www.wikidata.org/entity/Q102219475,en,literal,Bernardi + Peschard Arquitectura,http://www.w3.org/2001/XMLSchema#dateTime,literal,2000-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q96,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1489,literal,,,,,,,,,,,wd:Q96
1,uri,http://www.wikidata.org/entity/Q107051202,en,literal,Dos Bocas Refinery,,,,uri,http://www.wikidata.org/entity/Q96,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q96
2,uri,http://www.wikidata.org/entity/Q9089355,en,literal,TracFone Wireless,http://www.w3.org/2001/XMLSchema#dateTime,literal,1996-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q30,literal,"http://www.wikidata.org/entity/Q56598901, http://www.wikidata.org/entity/Q25245117, http://www.wikidata.org/entity/Q2858140, http://www.wikidata.org/entity/Q1058891",literal,,literal,,literal,http://www.wikidata.org/entity/Q8652,literal,,,,,,,,,,,wd:Q96
3,uri,http://www.wikidata.org/entity/Q3333072,en,literal,Cinemex,http://www.w3.org/2001/XMLSchema#dateTime,literal,1993-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q96,literal,http://www.wikidata.org/entity/Q173799,literal,,literal,,literal,http://www.wikidata.org/entity/Q1489,literal,,,,,,,,,,,wd:Q96
4,uri,http://www.wikidata.org/entity/Q87119370,en,literal,Cuarto Poder,http://www.w3.org/2001/XMLSchema#dateTime,literal,1987-07-20T00:00:00Z,uri,http://www.wikidata.org/entity/Q96,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q207429,literal,,,,,,,,,,,wd:Q96
5,uri,http://www.wikidata.org/entity/Q61890241,en,literal,Las Estrellas Internacional,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-11-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q96,literal,,literal,,literal,,literal,"http://www.wikidata.org/entity/Q2887, http://www.wikidata.org/entity/Q1489, http://www.wikidata.org/entity/Q1486",literal,,,,,,,,,,,wd:Q96
6,uri,http://www.wikidata.org/entity/Q105630774,en,literal,Novusred,http://www.w3.org/2001/XMLSchema#dateTime,literal,2011-09-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q96,literal,"http://www.wikidata.org/entity/Q484847, http://www.wikidata.org/entity/Q126793",literal,,literal,,literal,http://www.wikidata.org/entity/Q8969,literal,,,,,,,,,,,wd:Q96
7,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q241,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,pt,literal,"Organização de Estados Ibero-Americanos para a Educação, a Ciência e a Cultura",,,,,,,wd:Q96
8,uri,http://www.wikidata.org/entity/Q138133,en,literal,RWE,http://www.w3.org/2001/XMLSchema#dateTime,literal,1898-04-25T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,"http://www.wikidata.org/entity/Q2151621, http://www.wikidata.org/entity/Q1341477, http://www.wikidata.org/entity/Q1326594",literal,"http://www.wikidata.org/entity/Q15842921, http://www.wikidata.org/entity/Q2078625, http://www.wikidata.org/entity/Q108936810",literal,,literal,http://www.wikidata.org/entity/Q2066,literal,"http://www.wikidata.org/entity/Q155718, http://www.wikidata.org/entity/Q874430, http://www.wikidata.org/entity/Q1230458, http://www.wikidata.org/entity/Q6571804",,,,http://www.w3.org/2001/XMLSchema#decimal,literal,19792,,,,wd:Q96
9,uri,http://www.wikidata.org/entity/Q5715556,en,literal,Bank of Central America,http://www.w3.org/2001/XMLSchema#dateTime,literal,1952-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q811,literal,http://www.wikidata.org/entity/Q837171,literal,,literal,,literal,http://www.wikidata.org/entity/Q3274,literal,,,,,,,,,,,wd:Q96
