,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,employees.datatype,employees.type,employees.value,officialname.xml:lang,officialname.type,officialname.value,profit.datatype,profit.type,profit.value,country
32,uri,http://www.wikidata.org/entity/Q951167,en,literal,Standart,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q219
33,uri,http://www.wikidata.org/entity/Q114238259,,literal,Q114238259,,,,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q219
34,uri,http://www.wikidata.org/entity/Q113588713,,literal,Q113588713,,,,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q219
35,uri,http://www.wikidata.org/entity/Q19370762,en,literal,Pensoft Publishers,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q142,literal,,literal,http://www.wikidata.org/entity/Q21781591,literal,,literal,http://www.wikidata.org/entity/Q472,literal,,,,,,,,,,,wd:Q219
36,uri,http://www.wikidata.org/entity/Q7283808,en,literal,KBC Bank Bulgaria,http://www.w3.org/2001/XMLSchema#dateTime,literal,2022-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q219,literal,http://www.wikidata.org/entity/Q837171,literal,,literal,,literal,http://www.wikidata.org/entity/Q472,literal,,,,,,,,,,,wd:Q219
37,uri,http://www.wikidata.org/entity/Q12286392,en,literal,Varna University of Management,http://www.w3.org/2001/XMLSchema#dateTime,literal,1996-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q219
38,uri,http://www.wikidata.org/entity/Q1232958,en,literal,Trud,http://www.w3.org/2001/XMLSchema#dateTime,literal,1936-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q472,literal,,,,,,,,,,,wd:Q219
39,uri,http://www.wikidata.org/entity/Q114053570,en,literal,Dar,,,,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q219
40,uri,http://www.wikidata.org/entity/Q12270598,en,literal,Bulsatcom,http://www.w3.org/2001/XMLSchema#dateTime,literal,2004-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q219,literal,"http://www.wikidata.org/entity/Q56598901, http://www.wikidata.org/entity/Q25245117, http://www.wikidata.org/entity/Q289",literal,,literal,,literal,http://www.wikidata.org/entity/Q472,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,1050,,,,,,,wd:Q219
41,uri,http://www.wikidata.org/entity/Q106508421,en,literal,"Gaida school ""Trakia""",http://www.w3.org/2001/XMLSchema#dateTime,literal,2016-11-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q219
42,uri,http://www.wikidata.org/entity/Q61140834,en,literal,Fantastico,,,,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q219
43,uri,http://www.wikidata.org/entity/Q79101901,en,literal,House of Meat Galanski,http://www.w3.org/2001/XMLSchema#dateTime,literal,2018-12-10T00:00:00Z,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q219
44,uri,http://www.wikidata.org/entity/Q7884635,en,literal,UniCredit Bulbank,http://www.w3.org/2001/XMLSchema#dateTime,literal,1964-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q472,literal,,,,,bg,literal,„УниКредит Булбанк“ АД,,,,wd:Q219
45,uri,http://www.wikidata.org/entity/Q16691,en,literal,openSUSE,http://www.w3.org/2001/XMLSchema#dateTime,literal,2005-10-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,"http://www.wikidata.org/entity/Q43196, http://www.wikidata.org/entity/Q62",literal,,,,,,,,,,,wd:Q219
46,uri,http://www.wikidata.org/entity/Q105955393,en,literal,Alpha Music,http://www.w3.org/2001/XMLSchema#dateTime,literal,2019-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q219,literal,http://www.wikidata.org/entity/Q638,literal,,literal,,literal,http://www.wikidata.org/entity/Q472,literal,,,,,,,,,,,wd:Q219
47,uri,http://www.wikidata.org/entity/Q55636863,en,literal,Fly2Sky,http://www.w3.org/2001/XMLSchema#dateTime,literal,2016-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q472,literal,,,,,,,,,,,wd:Q219
48,uri,http://www.wikidata.org/entity/Q12279128,en,literal,Dramatichno-kuklen Teatr Konstantin Velichkov,http://www.w3.org/2001/XMLSchema#dateTime,literal,1870-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q219
49,uri,http://www.wikidata.org/entity/Q110614670,en,literal,Aiko,,,,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q219
50,uri,http://www.wikidata.org/entity/Q113611306,,literal,Q113611306,,,,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q185289,literal,,,,,,,,,,,wd:Q219
51,uri,http://www.wikidata.org/entity/Q18932478,en,literal,Starshel (newspaper),http://www.w3.org/2001/XMLSchema#dateTime,literal,1886-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q219
52,uri,http://www.wikidata.org/entity/Q12279603,en,literal,Econt,http://www.w3.org/2001/XMLSchema#dateTime,literal,1993-07-13T00:00:00Z,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q160173,literal,,,,,bg,literal,Еконт Експрес ООД,,,,wd:Q219
53,uri,http://www.wikidata.org/entity/Q2880826,en,literal,Bulgarian Posts,http://www.w3.org/2001/XMLSchema#dateTime,literal,1879-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q219,literal,http://www.wikidata.org/entity/Q177777,literal,,literal,,literal,http://www.wikidata.org/entity/Q472,literal,,,,,bg,literal,„Български пощи“ ЕАД,,,,wd:Q219
54,uri,http://www.wikidata.org/entity/Q111603199,en,literal,EKO Bulgaria,,,,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q219
55,uri,http://www.wikidata.org/entity/Q114053568,en,literal,HitMax,,,,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q219
56,uri,http://www.wikidata.org/entity/Q25484895,en,literal,Hit Mix Music,,,,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q219
57,uri,http://www.wikidata.org/entity/Q370968,en,literal,New Bulgarian University,http://www.w3.org/2001/XMLSchema#dateTime,literal,1991-09-18T00:00:00Z,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q472,literal,,,,,,,,,,,wd:Q219
58,uri,http://www.wikidata.org/entity/Q7234083,en,literal,Postbank,http://www.w3.org/2001/XMLSchema#dateTime,literal,1991-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q219,literal,"http://www.wikidata.org/entity/Q1416657, http://www.wikidata.org/entity/Q837171, http://www.wikidata.org/entity/Q806718",literal,,literal,,literal,http://www.wikidata.org/entity/Q472,literal,,,,,,,,,,,wd:Q219
59,uri,http://www.wikidata.org/entity/Q114237735,,literal,Q114237735,,,,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q219
60,uri,http://www.wikidata.org/entity/Q114131717,en,literal,Videnov Furniture,,,,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q219
61,uri,http://www.wikidata.org/entity/Q12289125,en,literal,Overgas,http://www.w3.org/2001/XMLSchema#dateTime,literal,1991-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q219,literal,http://www.wikidata.org/entity/Q862571,literal,,literal,http://www.wikidata.org/entity/Q723240,literal,http://www.wikidata.org/entity/Q472,literal,,,,,,,,,,,wd:Q219
62,uri,http://www.wikidata.org/entity/Q98633109,en,literal,Crown Paints Varna,http://www.w3.org/2001/XMLSchema#dateTime,literal,2020-07-13T00:00:00Z,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q219
63,uri,http://www.wikidata.org/entity/Q106093074,en,literal,Culinary Shop Dimqt,http://www.w3.org/2001/XMLSchema#dateTime,literal,1998-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q219
64,uri,http://www.wikidata.org/entity/Q19370762,en,literal,Pensoft Publishers,http://www.w3.org/2001/XMLSchema#dateTime,literal,1994-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q219,literal,,literal,http://www.wikidata.org/entity/Q21781591,literal,,literal,http://www.wikidata.org/entity/Q472,literal,,,,,,,,,,,wd:Q219
65,uri,http://www.wikidata.org/entity/Q493187,en,literal,University of Economics - Varna,http://www.w3.org/2001/XMLSchema#dateTime,literal,1920-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q219
66,uri,http://www.wikidata.org/entity/Q78142706,en,literal,Zadarma,http://www.w3.org/2001/XMLSchema#dateTime,literal,2006-12-12T00:00:00Z,uri,http://www.wikidata.org/entity/Q219,literal,"http://www.wikidata.org/entity/Q25245117, http://www.wikidata.org/entity/Q81945",literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q219
67,uri,http://www.wikidata.org/entity/Q1003730,en,literal,Bulgarian Academy of Sciences,http://www.w3.org/2001/XMLSchema#dateTime,literal,1869-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q472,literal,,,,,,,,,,,wd:Q219
68,uri,http://www.wikidata.org/entity/Q16691,en,literal,openSUSE,http://www.w3.org/2001/XMLSchema#dateTime,literal,2005-10-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,"http://www.wikidata.org/entity/Q43196, http://www.wikidata.org/entity/Q62",literal,,,,,,,,,,,wd:Q219
69,uri,http://www.wikidata.org/entity/Q108169047,en,literal,Lidl Bulgaria,,,,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,2738,mul,literal,LIDL BULGARIA EOOD END KO COMMONDITE,http://www.w3.org/2001/XMLSchema#decimal,literal,15000000,wd:Q219
70,uri,http://www.wikidata.org/entity/Q2471460,en,literal,Heli Air Services,http://www.w3.org/2001/XMLSchema#dateTime,literal,1990-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q472,literal,,,,,,,,,,,wd:Q219
71,uri,http://www.wikidata.org/entity/Q717721,en,literal,Dnevnik,http://www.w3.org/2001/XMLSchema#dateTime,literal,2001-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q472,literal,,,,,,,,,,,wd:Q219
72,uri,http://www.wikidata.org/entity/Q1941592,en,literal,A1 Bulgaria,http://www.w3.org/2001/XMLSchema#dateTime,literal,1994-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q219,literal,"http://www.wikidata.org/entity/Q56598901, http://www.wikidata.org/entity/Q25245117",literal,,literal,,literal,http://www.wikidata.org/entity/Q472,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,2300,,,,,,,wd:Q219
73,uri,http://www.wikidata.org/entity/Q106508478,en,literal,Omron Healthcare Bulgaria by DINI OTC Ltd,http://www.w3.org/2001/XMLSchema#dateTime,literal,1993-04-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q219
74,uri,http://www.wikidata.org/entity/Q2944755,en,literal,Central Cooperative Bank,http://www.w3.org/2001/XMLSchema#dateTime,literal,1991-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q219,literal,http://www.wikidata.org/entity/Q837171,literal,,literal,,literal,http://www.wikidata.org/entity/Q472,literal,,,,,,,,,,,wd:Q219
