,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,officialname.xml:lang,officialname.type,officialname.value,employees.datatype,employees.type,employees.value,profit.datatype,profit.type,profit.value,country
16,uri,http://www.wikidata.org/entity/Q6979235,en,literal,National University of Colombia at Medellín,,,,uri,http://www.wikidata.org/entity/Q739,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q739
17,uri,http://www.wikidata.org/entity/Q5331091,en,literal,Easy,http://www.w3.org/2001/XMLSchema#dateTime,literal,1993-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q739,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q2887,literal,,,,,,,,,,,wd:Q739
18,uri,http://www.wikidata.org/entity/Q517861,en,literal,El Bosque University,http://www.w3.org/2001/XMLSchema#dateTime,literal,1933-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q739,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q739
19,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q774,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,es,literal,"Organización de Estados Iberoamericanos para la Educación, la Ciencia y la Cultura",,,,,,,wd:Q739
20,uri,http://www.wikidata.org/entity/Q1550912,en,literal,GMV Innovating Solutions,http://www.w3.org/2001/XMLSchema#dateTime,literal,1984-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q218,literal,"http://www.wikidata.org/entity/Q5268834, http://www.wikidata.org/entity/Q3510521, http://www.wikidata.org/entity/Q3477363, http://www.wikidata.org/entity/Q2729047, http://www.wikidata.org/entity/Q508378, http://www.wikidata.org/entity/Q190117",literal,"http://www.wikidata.org/entity/Q26637897, http://www.wikidata.org/entity/Q26638506",literal,http://www.wikidata.org/entity/Q26639858,literal,http://www.wikidata.org/entity/Q910410,literal,,es,literal,GMV Innovating Solutions,http://www.w3.org/2001/XMLSchema#decimal,literal,2176,http://www.w3.org/2001/XMLSchema#decimal,literal,6308317.74,wd:Q739
21,uri,http://www.wikidata.org/entity/Q403038,en,literal,El Colombiano,http://www.w3.org/2001/XMLSchema#dateTime,literal,1912-02-06T00:00:00Z,uri,http://www.wikidata.org/entity/Q739,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q739
22,uri,http://www.wikidata.org/entity/Q23005392,en,literal,FESC University,http://www.w3.org/2001/XMLSchema#dateTime,literal,1993-08-25T00:00:00Z,uri,http://www.wikidata.org/entity/Q739,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q739
23,uri,http://www.wikidata.org/entity/Q56377600,en,literal,Súper Liga Americana de Rugby,http://www.w3.org/2001/XMLSchema#dateTime,literal,2020-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q298,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q739
24,uri,http://www.wikidata.org/entity/Q106367983,en,literal,CelerSMS,http://www.w3.org/2001/XMLSchema#dateTime,literal,2019-05-30T00:00:00Z,uri,http://www.wikidata.org/entity/Q739,literal,"http://www.wikidata.org/entity/Q25245117, http://www.wikidata.org/entity/Q880371, http://www.wikidata.org/entity/Q11661",literal,,literal,,literal,http://www.wikidata.org/entity/Q2841,literal,,en,literal,CelerSMS,,,,,,,wd:Q739
25,uri,http://www.wikidata.org/entity/Q5242054,en,literal,Davivienda,http://www.w3.org/2001/XMLSchema#dateTime,literal,1972-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q739,literal,http://www.wikidata.org/entity/Q43015,literal,,literal,,literal,"http://www.wikidata.org/entity/Q8652, http://www.wikidata.org/entity/Q2841",literal,,,,,,,,,,,wd:Q739
