,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,employees.datatype,employees.type,employees.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,profit.datatype,profit.type,profit.value,officialname.xml:lang,officialname.type,officialname.value,assets.datatype,assets.type,assets.value,markcap.datatype,markcap.type,markcap.value,equity.datatype,equity.type,equity.value,country
124,uri,http://www.wikidata.org/entity/Q187854,en,literal,Scandinavian Airlines,http://www.w3.org/2001/XMLSchema#decimal,literal,12329,http://www.w3.org/2001/XMLSchema#dateTime,literal,1946-08-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q20,literal,http://www.wikidata.org/entity/Q1757562,literal,,literal,,literal,http://www.wikidata.org/entity/Q10673294,literal,,,,,,,,,,,,,,,,,wd:Q35
125,uri,http://www.wikidata.org/entity/Q72939980,en,literal,Barrel Room,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2015-11-20T00:00:00Z,uri,http://www.wikidata.org/entity/Q35,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q35
126,uri,http://www.wikidata.org/entity/Q21855786,en,literal,Restaurant Puk,http://www.w3.org/2001/XMLSchema#decimal,literal,15,,,,uri,http://www.wikidata.org/entity/Q35,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q35
127,uri,http://www.wikidata.org/entity/Q104671354,en,literal,Coop 365discount,,,,,,,uri,http://www.wikidata.org/entity/Q35,literal,,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q12306665,,,,,,,,,,,,,,,,wd:Q35
128,uri,http://www.wikidata.org/entity/Q7817,en,literal,World Health Organization,http://www.w3.org/2001/XMLSchema#decimal,literal,7000,http://www.w3.org/2001/XMLSchema#dateTime,literal,1948-04-07T00:00:00Z,uri,http://www.wikidata.org/entity/Q39,literal,http://www.wikidata.org/entity/Q29584363,literal,,literal,,literal,http://www.wikidata.org/entity/Q71,literal,,,,,en,literal,World Health Organization,,,,,,,,,,wd:Q35
129,uri,http://www.wikidata.org/entity/Q113215,en,literal,Carlsberg Group,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1847-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q35,literal,http://www.wikidata.org/entity/Q869095,literal,,literal,,literal,http://www.wikidata.org/entity/Q1748,literal,,,,,en,literal,CARLSBERG BREWERIES A/S,,,,,,,,,,wd:Q35
130,uri,http://www.wikidata.org/entity/Q3181430,en,literal,PostNord,http://www.w3.org/2001/XMLSchema#decimal,literal,29000,http://www.w3.org/2001/XMLSchema#dateTime,literal,2009-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q34,literal,http://www.wikidata.org/entity/Q1529128,literal,"http://www.wikidata.org/entity/Q26258183, http://www.wikidata.org/entity/Q107325269",literal,http://www.wikidata.org/entity/Q77536260,literal,http://www.wikidata.org/entity/Q10418009,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,-239000000,,,,,,,,,,,,,wd:Q35
131,uri,http://www.wikidata.org/entity/Q7573540,en,literal,Spar Nord Bank,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1967-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q35,literal,http://www.wikidata.org/entity/Q22687,literal,,literal,,literal,http://www.wikidata.org/entity/Q25410,literal,,,,,,,,,,,,,,,,,wd:Q35
132,uri,http://www.wikidata.org/entity/Q3181430,en,literal,PostNord,http://www.w3.org/2001/XMLSchema#decimal,literal,29000,http://www.w3.org/2001/XMLSchema#dateTime,literal,2009-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q35,literal,http://www.wikidata.org/entity/Q1529128,literal,"http://www.wikidata.org/entity/Q26258183, http://www.wikidata.org/entity/Q107325269",literal,http://www.wikidata.org/entity/Q77536260,literal,http://www.wikidata.org/entity/Q10418009,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,-239000000,,,,,,,,,,,,,wd:Q35
133,uri,http://www.wikidata.org/entity/Q674575,en,literal,Arla Foods,http://www.w3.org/2001/XMLSchema#decimal,literal,18112,http://www.w3.org/2001/XMLSchema#dateTime,literal,2000-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q35,literal,http://www.wikidata.org/entity/Q540912,literal,,literal,,literal,"http://www.wikidata.org/entity/Q1860611, http://www.wikidata.org/entity/Q25319",literal,,,,,,,,,,,,,,,,,wd:Q35
134,uri,http://www.wikidata.org/entity/Q12342037,en,literal,Øresundsbro Konsortiet,,,,,,,uri,http://www.wikidata.org/entity/Q34,literal,http://www.wikidata.org/entity/Q105712795,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q35
135,uri,http://www.wikidata.org/entity/Q12342037,en,literal,Øresundsbro Konsortiet,,,,,,,uri,http://www.wikidata.org/entity/Q35,literal,http://www.wikidata.org/entity/Q105712795,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q35
136,uri,http://www.wikidata.org/entity/Q12334430,en,literal,Samfundslitteratur,,,,,,,uri,http://www.wikidata.org/entity/Q35,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q22661902,literal,http://www.wikidata.org/entity/Q12334280,,,,,,,,,,,,,,,,wd:Q35
137,uri,http://www.wikidata.org/entity/Q40752144,en,literal,Python Pro,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2002-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q35,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q2608258,literal,,,,,,,,,,,,,,,,,wd:Q35
138,uri,http://www.wikidata.org/entity/Q11961809,en,literal,Bolia,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2000-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q35,literal,http://www.wikidata.org/entity/Q76215292,literal,,literal,,literal,http://www.wikidata.org/entity/Q25319,literal,,,,,,,,,,,,,,,,,wd:Q35
139,uri,http://www.wikidata.org/entity/Q6687994,en,literal,Louis Poulsen,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1874-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q35,literal,,literal,,literal,,literal,"http://www.wikidata.org/entity/Q3434140, http://www.wikidata.org/entity/Q1748",literal,,,,,,,,,,,,,,,,,wd:Q35
140,uri,http://www.wikidata.org/entity/Q7894659,en,literal,University College of Northern Denmark,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2008-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q35,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q35
141,uri,http://www.wikidata.org/entity/Q58968888,en,literal,Posh Isolation,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2009-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q35,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1748,literal,,,,,,,,,,,,,,,,,wd:Q35
142,uri,http://www.wikidata.org/entity/Q110516569,en,literal,Firi,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2017-11-06T00:00:00Z,uri,http://www.wikidata.org/entity/Q20,literal,"http://www.wikidata.org/entity/Q100269062, http://www.wikidata.org/entity/Q13479982, http://www.wikidata.org/entity/Q5340806, http://www.wikidata.org/entity/Q319622, http://www.wikidata.org/entity/Q4290",literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q35
