id,name,start_date
Q36879490,Rappi,2015-01-01T00:00:00Z
Q421023,Organization of Ibero-American States,1949-01-01T00:00:00Z
Q5030982,Channel 8 (Tucumán),1983-01-01T00:00:00Z
Q194223,University of Buenos Aires,1821-01-01T00:00:00Z
Q122274886,Q122274886,
Q97947684,Proyecto Petrel S.A.,2005-01-01T00:00:00Z
Q109933148,Colorshop,1999-01-01T00:00:00Z
Q104589984,El Reino Infantil,2011-06-02T00:00:00Z
Q16587200,Q16587200,
Q1053372,Cencosud,1960-01-01T00:00:00Z
Q2900869,Havanna,1948-01-01T00:00:00Z
Q1032483,Televisión Pública (Argentina),1951-01-01T00:00:00Z
Q5072300,Channel 3,1965-01-01T00:00:00Z
Q5331091,Easy,1993-01-01T00:00:00Z
Q2496204,Saint Thomas Aquinas University of the North,1965-01-01T00:00:00Z
Q5478553,Grupo Indalo,1999-01-01T00:00:00Z
Q118314171,SportClub,
Q63386205,HopFrog,
Q6979266,National University of Salta,1972-01-01T00:00:00Z
Q1032491,Canal 9 (Buenos Aires),1960-06-09T00:00:00Z
Q7144163,Patagonik Film Group,1996-01-01T00:00:00Z
Q830515,Télam,1945-01-01T00:00:00Z
Q100562100,Marolio,
Q19870761,Jaguares,2015-01-01T00:00:00Z
Q5746354,Channel 11 (Salta),
Q5717952,Galicia Bank,1905-01-01T00:00:00Z
Q7553274,Sodimac,1952-01-01T00:00:00Z
Q101429710,Manfrey,1943-01-01T00:00:00Z
Q7280604,Radio 10,
Q56377600,Super Liga Americana de Rugby,2020-01-01T00:00:00Z
Q5961871,Q5961871,
Q9065655,Radio Rivadavia,1928-04-24T00:00:00Z
Q110454268,Cooperativa Obrera,1920-01-01T00:00:00Z
Q3416744,Radio Mitre,1925-01-01T00:00:00Z
Q6034719,Musimundo,1952-01-01T00:00:00Z
Q18644329,Q18644329,
Q5255905,Universidad Nacional de Rosario,1968-11-29T00:00:00Z
Q6046871,New Bank of Santa Fe,1874-06-05T00:00:00Z
Q1143518,Telefe,1961-07-22T00:00:00Z
Q4355026,Editorial Ivrea,1997-01-01T00:00:00Z
Q115898759,Todomoda,
Q7883673,Underground contenidos,2006-01-01T00:00:00Z
Q56604109,Patios de Cafayate,1740-01-01T00:00:00Z
Q5637730,TyC Sports,
Q97369452,Información Periodística,2020-10-17T00:00:00Z
Q6156577,National University of Avellaneda,2010-06-18T00:00:00Z
Q3115667,University of the Salvador,1958-01-01T00:00:00Z
Q918208,Ternium,2005-01-01T00:00:00Z
Q6979260,National University of Mar del Plata,1962-01-01T00:00:00Z
Q16624010,Q16624010,
Q5414064,HSBC Bank Argentina,1903-01-01T00:00:00Z
Q2918415,Codere,1980-01-01T00:00:00Z
Q100572830,Tregar,1940-01-01T00:00:00Z
Q5746334,Channel 10 (Córdoba),
Q4036566,Correo Argentino,1826-07-01T00:00:00Z
Q124498734,Q124498734,1962-11-14T00:00:00Z
Q100233006,Bank of the Province of Neuquén,1960-10-03T00:00:00Z
Q7125434,Pakapaka,2010-01-01T00:00:00Z
Q122445885,Ediciones Colihue,
Q1570489,National University of Córdoba,1613-01-01T00:00:00Z
Q105745052,Barbacube,2013-01-01T00:00:00Z
Q109858815,Fox Sports (Argentina),1996-04-01T00:00:00Z
Q16612423,Noticias Argentinas,1973-10-01T00:00:00Z
Q855988,Super Rugby,1996-01-01T00:00:00Z
Q117886296,Aguas Rionegrinas,1999-01-01T00:00:00Z
Q9091048,Grupo América,1983-01-01T00:00:00Z
Q102047194,Kentucky,1942-01-01T00:00:00Z
Q2884322,Ugi's,1980-01-01T00:00:00Z
Q16540032,Cafe Martínez,1933-01-01T00:00:00Z
Q3416620,Radio Continental,1969-09-28T00:00:00Z
Q6127201,Q6127201,
Q2497795,Coppel,1941-01-01T00:00:00Z
Q5661327,Aire de Santa Fe,2008-12-01T00:00:00Z
Q5072379,Channel 9,1964-01-01T00:00:00Z
Q18644328,LRA338 Nacional Clásica,
Q6978293,National Scientific and Technical Research Council,1958-02-05T00:00:00Z
Q6164762,Volver,
Q380022,Grupo Arcor,1951-01-01T00:00:00Z
Q3385268,Banco Santander,1968-01-01T00:00:00Z
Q2037048,Techint,1945-01-01T00:00:00Z
Q7512944,Signia,1999-01-01T00:00:00Z
Q73281818,Ederkind Música,2018-01-01T00:00:00Z
Q2838220,Clarín Group,1998-12-01T00:00:00Z
Q6094741,Quiero música en mi idioma,
Q54257504,"MPForce, Inc.",2015-10-01T00:00:00Z
Q5375623,Encuentro,2007-01-01T00:00:00Z
Q5886381,Grupo Plaza,1959-01-01T00:00:00Z
Q482247,América TV,1966-01-01T00:00:00Z
Q107038594,Mucha Radio,
Q118779782,Grupo Datco,
Q117763108,Optaris,
Q517896,Radiodifusión Argentina al Exterior,1949-01-01T00:00:00Z
Q16609167,Mostaza,1998-01-01T00:00:00Z
Q5401467,Frávega,1910-01-01T00:00:00Z
Q122208744,Q122208744,
Q1142564,Crónica TV,1994-01-03T00:00:00Z
Q5858167,Vea,1974-01-01T00:00:00Z
Q5733950,National University of General San Martín,1994-01-01T00:00:00Z
Q6036050,Q6036050,2009-08-17T00:00:00Z
Q98669478,Microomnibus 45 S.A.C.I.F.,1929-08-15T00:00:00Z
Q6140547,Telemax,
Q10358460,Refinor,1994-03-01T00:00:00Z
Q1076209,Universidad Nacional de Cuyo,1939-01-01T00:00:00Z
Q5967922,I.Sat,1993-01-01T00:00:00Z
Q633285,Radio Disney Latin America,
Q2882676,Banchero,1893-01-01T00:00:00Z
Q2843192,Edenor,1992-01-01T00:00:00Z
Q107288844,Games Station,2015-01-01T00:00:00Z
Q6979234,National University of Catamarca,1972-01-01T00:00:00Z
Q5885724,Grido Helado,2000-01-01T00:00:00Z
Q16587192,LRA36 Radio Nacional Arcángel San Gabriel,
Q113328725,Citroën Argentina,1959-01-01T00:00:00Z
Q112973406,Bloodious Games,
Q5738884,Cadena 3,
Q17619857,AMC Networks International Latin America,2014-01-01T00:00:00Z
Q96324237,Huerta Tipográfica,2009-01-01T00:00:00Z
Q7896057,University of Palermo,1986-01-01T00:00:00Z
Q9091578,National University of Santiago del Estero,1973-01-01T00:00:00Z
Q6100413,Rapipago,1996-01-01T00:00:00Z
Q113624168,Sero Electric,2010-01-01T00:00:00Z
Q690146,National University of Misiones,1973-01-01T00:00:00Z
Q5653698,AM Del Plata,
Q107741737,FM de la Montaña,1988-01-01T00:00:00Z
Q6116255,Trenes Argentinos Operaciones,2008-01-01T00:00:00Z
Q6092559,Q6092559,1938-01-01T00:00:00Z
Q6979257,National University of La Pampa,1973-01-01T00:00:00Z
Q16587198,Q16587198,
Q29017875,Norwegian Air Argentina,2017-01-25T00:00:00Z
Q88894180,KagariSoft,
Q5829376,elGourmet,
Q117811087,Ente Provincial de Agua y Saneamiento,1988-01-01T00:00:00Z
Q122273697,Pago Fácil,
Q62122746,Bonafide,1917-01-01T00:00:00Z
Q265866,Universidad Nacional del Litoral,1889-10-16T00:00:00Z
Q5834173,Ente Provincial de Energía del Neuquén,1981-01-01T00:00:00Z
Q1032473,El trece,1960-10-01T00:00:00Z
Q20983518,VENG,1998-10-19T00:00:00Z
Q5072364,Channel 7,1961-01-01T00:00:00Z
Q6216567,Despegar,1999-01-01T00:00:00Z
Q31147931,TNT Sports,2017-08-25T00:00:00Z
Q17709270,ARSAT,2006-04-26T00:00:00Z
Q114995775,Epic Llama Games,
Q6135978,Supermercados Disco,1961-01-01T00:00:00Z
Q117886331,Empresa de Energía de Río Negro Sociedad Anónima,1996-01-01T00:00:00Z
Q2882078,Patagonia Bank,1976-01-01T00:00:00Z
Q6434434,Q6434434,1998-01-02T00:00:00Z
Q16635133,Sociedad Argentina de Botánica,
Q4315122,Universidad Nacional del Comahue,1972-01-01T00:00:00Z
Q386603,Telefe Internacional,1998-01-01T00:00:00Z
Q2006989,YPF,1922-06-03T00:00:00Z
Q9091583,National University of Villa María,1994-01-01T00:00:00Z
Q5918049,Instituto de Botánica del Nordeste,1977-01-01T00:00:00Z
Q5858872,Interamerican Open University,1995-01-01T00:00:00Z
Q110974398,Fox Sports 2 (Argentina),2012-11-05T00:00:00Z
Q17385240,Unión Platense S.R.L.,1938-01-01T00:00:00Z
Q4856209,Bank of the Province of Buenos Aires,1822-09-06T00:00:00Z
Q85749233,Brubank,
Q6140523,Movistar Argentina,1993-01-01T00:00:00Z
Q5261681,National University of the Northeast,1956-01-01T00:00:00Z
Q18644327,Q18644327,
Q6096554,Radio Provincia,
Q5857524,Los 40 Argentina,
Q62044944,CNN Radio Argentina,2019-03-11T00:00:00Z
Q5875270,Garbarino,1951-01-01T00:00:00Z
Q5975004,Libros del Zorzal,2000-01-01T00:00:00Z
Q6310864,Jumbo,1976-01-01T00:00:00Z
Q2335199,Macro Bank,1978-01-01T00:00:00Z
Q2838738,Pampa Energía,2005-01-01T00:00:00Z
Q116902674,Purple Tree,
Q180562,LATAM Argentina,2005-01-01T00:00:00Z
Q4854086,Banco Credicoop,1979-03-19T00:00:00Z
Q5175411,Coto supermarkets,1972-01-01T00:00:00Z
Q6096131,AM 750,
Q5576619,National University of Central Buenos Aires,1974-01-01T00:00:00Z
Q4856204,Bank of the City of Buenos Aires,1878-05-23T00:00:00Z
Q16489444,BIND Industrial Bank,1928-01-01T00:00:00Z
Q112020394,Hemisferio Films,2012-01-01T00:00:00Z
