id,name,start_date
Q10438181,Byggma,1997-01-01T00:00:00Z
Q4579562,Sporveien,1924-04-28T00:00:00Z
Q19392885,Q19392885,2009-01-01T00:00:00Z
Q3102177,Gyldendal Norsk Forlag,1988-01-28T00:00:00Z
Q119269276,Q119269276,2002-03-04T00:00:00Z
Q19381815,MOMEK Group,2012-06-06T00:00:00Z
Q123414866,Q123414866,2013-02-14T00:00:00Z
Q19377514,Q19377514,
Q4578476,Brav,1946-01-01T00:00:00Z
Q66364388,FnF.FM Radio,
Q11959918,BKK,1996-11-26T00:00:00Z
Q3429278,Luxo,1934-01-01T00:00:00Z
Q11989890,Monster Media,2001-01-01T00:00:00Z
Q7924520,TV3+ Norway,2007-01-01T00:00:00Z
Q702833,Color Line,1990-01-01T00:00:00Z
Q1274125,Norrøna,1929-04-29T00:00:00Z
Q2815509,NRK P3,1993-10-02T00:00:00Z
Q19388379,Sibelco Nordic,1992-01-01T00:00:00Z
Q108126577,scrimba,
Q56230193,Norwegian Air Norway,2013-01-01T00:00:00Z
Q4566850,Sparebanken Sør,1824-01-01T00:00:00Z
Q498401,University of Stavanger,1994-01-01T00:00:00Z
Q11210487,Norsk entomologisk forening,1904-01-01T00:00:00Z
Q182197,Kongsberg Automotive,1987-03-24T00:00:00Z
Q122234196,Q122234196,2017-03-15T00:00:00Z
Q19386060,Radio Haugaland,
Q106940660,Cutters,2015-09-16T00:00:00Z
Q17770215,Europris,1992-01-01T00:00:00Z
Q12008745,Egencia,
Q970769,Norges Bank,1816-06-14T00:00:00Z
Q113137701,Teknopilot,2011-10-15T00:00:00Z
Q1772861,NHST Media Group,1889-01-01T00:00:00Z
Q78155094,Voss Energi,2002-02-14T00:00:00Z
Q1964355,Nammo,1998-01-01T00:00:00Z
Q90859310,Nordkyn Kraftlag,
Q838725,Hurtigruten Group,
Q17769302,Q17769302,2006-01-01T00:00:00Z
Q1800512,Electrocompaniet,1973-01-01T00:00:00Z
Q115122333,Filmbin,2002-01-01T00:00:00Z
Q417431,Aker Solutions,2004-01-01T00:00:00Z
Q12006943,Tordenfilm,2003-01-01T00:00:00Z
Q4411496,Sats,1995-01-01T00:00:00Z
Q190238,Norwegian Broadcasting Corporation,1933-01-01T00:00:00Z
Q1475657,Petroleum Geo-Services,1991-01-01T00:00:00Z
Q5683927,Havila Shipping,2003-01-01T00:00:00Z
Q110734771,Skadja Studio Magnus Vuolab,1998-05-15T00:00:00Z
Q18455539,DNV,2013-09-12T00:00:00Z
Q901886,Yara International,2010-01-01T00:00:00Z
Q3362746,Uno-X,1907-01-31T00:00:00Z
Q11982609,Q11982609,
Q19389823,Q19389823,1989-01-01T00:00:00Z
Q7050849,NEAS,1990-11-08T00:00:00Z
Q1999199,Norli,1999-01-01T00:00:00Z
Q25429870,Austmann Bryggeri,2013-01-01T00:00:00Z
Q3437680,Nor-Cargo,1979-01-01T00:00:00Z
Q118918393,Q118918393,2015-01-01T00:00:00Z
Q3432225,Ice,2003-01-01T00:00:00Z
Q25425002,Kolibri Musikkakademi,2010-01-01T00:00:00Z
Q122176697,Rein Film,2009-12-07T00:00:00Z
Q5453081,First House,2009-09-21T00:00:00Z
Q113687974,Q113687974,2002-01-01T00:00:00Z
Q113699916,Q113699916,2010-01-01T00:00:00Z
Q6127470,Odeon Cinemas,1928-01-01T00:00:00Z
Q4577999,Bertel O. Steen,1901-01-01T00:00:00Z
Q21683250,Kahoot!,2011-01-01T00:00:00Z
Q120733964,Q120733964,2022-04-22T00:00:00Z
Q11978226,CeWe Norge,1992-08-01T00:00:00Z
Q104017274,Pizza Baronen,1989-01-01T00:00:00Z
Q1618373,Coop Norge SA,2007-01-01T00:00:00Z
Q1770535,Visma,1996-01-01T00:00:00Z
Q6514414,Narvesen,1894-01-01T00:00:00Z
Q103699019,Rostein,1988-09-07T00:00:00Z
Q2575956,NorgesGruppen,1994-01-01T00:00:00Z
Q11993242,Q11993242,
Q12000916,Skeidar,
Q123493295,pTro,2018-03-01T00:00:00Z
Q2007293,O. Mustad & Søn AS,1832-01-01T00:00:00Z
Q6515085,Telia Norge,1993-01-01T00:00:00Z
Q1516279,Umoe Mandal,1988-06-01T00:00:00Z
Q121933037,Champion Tankers,1994-01-01T00:00:00Z
Q11996828,Q11996828,1988-01-01T00:00:00Z
Q76812,Kings Bay,1916-12-14T00:00:00Z
Q1613639,Kiwi Norway,1979-01-01T00:00:00Z
Q7000460,Vy Buss,2000-02-10T00:00:00Z
Q17770716,Q17770716,
Q11958706,ARK bookstore,1978-07-03T00:00:00Z
Q116474492,Kompani Tjøsvoll,
Q119659420,FotMob,
Q117841623,Vevig,2015-09-22T00:00:00Z
Q11976292,Hydra Tidal Energy Technology,2000-01-01T00:00:00Z
Q117257266,Q117257266,2008-08-07T00:00:00Z
Q4356967,Hennig-Olsen Iskremfabrikk,1924-01-01T00:00:00Z
Q3439593,Cubus,
Q215639,Opera Software,1994-01-01T00:00:00Z
Q3357167,Aschehoug,1934-12-28T00:00:00Z
Q11990436,Møbelringen,1985-01-01T00:00:00Z
Q4696534,Aibel,2007-01-01T00:00:00Z
Q19375325,Q19375325,1964-01-01T00:00:00Z
Q314536,Norwegian University of Science and Technology,1996-01-01T00:00:00Z
Q109628199,Kid interiør,1990-08-15T00:00:00Z
Q661479,Bellona Foundation,1986-06-16T00:00:00Z
Q7093732,Onepiece,2009-01-01T00:00:00Z
Q1780482,Hulen,1969-05-17T00:00:00Z
Q11962715,Bygger'n,
Q11968624,Feelgood Scene Film og TV,2003-11-01T00:00:00Z
Q1298438,Egon,1984-01-01T00:00:00Z
Q110204996,Maritimt Magasin,1987-01-01T00:00:00Z
Q4589007,Tiden Norsk Forlag,1933-01-01T00:00:00Z
Q3102177,Gyldendal Norsk Forlag,1925-01-01T00:00:00Z
Q369851,Kommunalbanken,1927-01-01T00:00:00Z
Q187854,Scandinavian Airlines,1946-08-01T00:00:00Z
Q11976069,Humanist Publishers,1995-01-01T00:00:00Z
Q17762703,ConocoPhillips Skandinavia,
Q5210706,Dale of Norway,1879-01-01T00:00:00Z
Q1325994,Electromagnetic Geoservices,2002-01-01T00:00:00Z
Q6966507,Nordkraft,1913-01-01T00:00:00Z
Q4402290,Borregaard,1918-01-01T00:00:00Z
Q122311802,Q122311802,1993-06-23T00:00:00Z
Q18756837,Norwegian Association of Hunters and Anglers,1871-02-10T00:00:00Z
Q117360105,Q117360105,1933-01-01T00:00:00Z
Q1777317,Tekna,1874-01-01T00:00:00Z
Q5167705,Coop prix,1990-01-01T00:00:00Z
Q3354774,University of Oslo Library,1811-01-01T00:00:00Z
Q1334431,Ringnes,1876-01-01T00:00:00Z
Q21683250,Kahoot!,2013-07-10T00:00:00Z
Q4575521,Sætre,1883-09-15T00:00:00Z
Q3357081,Dressmann,1962-01-01T00:00:00Z
Q11988771,Maxbo,1994-09-19T00:00:00Z
Q1384637,StormGeo,1997-01-01T00:00:00Z
Q911973,Peppes Pizza,1970-01-01T00:00:00Z
Q11994715,Q11994715,2008-04-21T00:00:00Z
Q857336,Sparebanken Møre,1985-04-01T00:00:00Z
Q4575870,Komplett,1996-01-01T00:00:00Z
Q4652213,AKVA Group,2006-01-01T00:00:00Z
Q11994254,Q11994254,1921-01-01T00:00:00Z
Q110677921,Synergy SKY,2008-01-01T00:00:00Z
Q3442952,Garage,
Q11993725,Oleana,1992-01-01T00:00:00Z
Q1331615,Elkem,1904-01-02T00:00:00Z
Q4027441,Carte Blanche,1989-01-01T00:00:00Z
Q19379243,Lerøy,
Q28459,REMA 1000,1979-01-01T00:00:00Z
Q2160593,Madshus,1906-01-01T00:00:00Z
Q13845077,Kinn Bryggeri,2009-04-01T00:00:00Z
Q56405568,Frekhaug vinduet,1938-01-01T00:00:00Z
Q7558873,Solstad Offshore,1964-01-01T00:00:00Z
Q17779685,Hadeland Energi,2003-06-03T00:00:00Z
Q19373642,Q19373642,2001-07-11T00:00:00Z
Q111130002,Bookis,2020-06-12T00:00:00Z
Q7885253,Uninett,1976-01-01T00:00:00Z
Q11974297,Hard Rocx,1992-04-01T00:00:00Z
Q23498557,Vivaldi Technologies,2013-12-01T00:00:00Z
Q11996736,Qvisten Animation,1998-01-01T00:00:00Z
Q117831717,Sygnir,2020-01-31T00:00:00Z
Q5442461,Felleskjøpet,1896-02-05T00:00:00Z
Q56405371,Norwegian Reward,2007-01-01T00:00:00Z
Q19382251,Q19382251,1857-01-01T00:00:00Z
Q11980035,Q11980035,2010-10-15T00:00:00Z
Q842108,Euronext,2000-09-22T00:00:00Z
Q84492874,Mørejarl AS,2018-01-01T00:00:00Z
Q7795923,Thon Hotels,1974-01-01T00:00:00Z
Q4585080,Ungdom mot EU,1991-02-17T00:00:00Z
Q25428555,Q25428555,
Q3657087,Motlys,
Q6610469,Juritzen Forlag,
Q17770632,Fantefilm,
Q11991429,Nille,1989-01-01T00:00:00Z
Q417391,Aker,2004-02-13T00:00:00Z
Q10632989,Plantasjen,1986-01-01T00:00:00Z
Q19376493,Q19376493,
Q511335,Snøhetta,1989-01-01T00:00:00Z
Q602621,Statnett,1991-12-20T00:00:00Z
Q19376015,Jackon AS,1956-01-01T00:00:00Z
Q11975821,Hordaland kunstsenter,
Q28719555,Q28719555,2017-01-11T00:00:00Z
Q1776022,Equinor ASA,1972-06-14T00:00:00Z
Q56404324,Byggmakker,
Q4570270,Kongsberg Satellite Services,2001-12-21T00:00:00Z
Q117337487,Vårgrønn,2020-11-01T00:00:00Z
Q1785012,RiksTV,2005-11-17T00:00:00Z
Q122335277,Snowcastle Games,
Q11990737,NRK Sport,
Q3355579,Diplom-Is,1930-01-01T00:00:00Z
Q112761550,Paradox Rettigheter,1998-08-24T00:00:00Z
Q111889769,Audioland As,2007-01-02T00:00:00Z
Q106451969,Egil Ulvan Rederi,1977-09-08T00:00:00Z
