id,name,start_date
Q534515,University of Indonesia,1849-01-01T00:00:00Z
Q5317233,Duta Wacana Christian University,1962-10-31T00:00:00Z
Q18712406,Lazada Group,2012-01-01T00:00:00Z
Q512468,Garuda Indonesia,1947-08-01T00:00:00Z
Q4263077,Muhammadiyah University of Magelang,1964-08-31T00:00:00Z
Q10829079,Mount Klabat College,1965-01-01T00:00:00Z
Q76099070,Tiger Sugar,
Q3958218,Syiah Kuala University,1961-09-02T00:00:00Z
Q138133,RWE,1898-04-25T00:00:00Z
Q12523397,Muhammadiyah University of Ponorogo,
Q56391710,OVO,
Q63371124,Guardian,
Q56389158,Advan,1998-01-01T00:00:00Z
Q7603641,State University of Semarang,1965-01-01T00:00:00Z
Q7355586,Jawa Pos Group,1949-07-01T00:00:00Z
Q12712165,Jakarta State University,1964-05-16T00:00:00Z
Q4739894,Amanjiwo,1997-01-01T00:00:00Z
Q4262307,Prambors FM,1971-01-01T00:00:00Z
Q23745600,Alfamart,1999-06-27T00:00:00Z
Q12515931,Sony Music Indonesia,
Q12523376,Medan Area University,1983-01-01T00:00:00Z
Q6177417,Jenderal Soedirman University,1920-01-01T00:00:00Z
Q20427814,Q20427814,
Q94122708,Eduka System,
Q113858405,Hello Health Group,2015-01-01T00:00:00Z
Q20426955,Gojek,2010-01-01T00:00:00Z
Q2745027,Kereta Api Indonesia,1945-09-28T00:00:00Z
Q29981099,Conrad Bali,2004-03-24T00:00:00Z
Q12523351,Universitas Islam Sultan Agung,1962-05-20T00:00:00Z
Q113653701,PROKAL.co,2015-01-01T00:00:00Z
Q67900715,Alnect,
Q4646307,99 Ranch Market,1984-01-01T00:00:00Z
Q109063696,Firebeast,
Q806626,Bank Central Asia,1955-01-01T00:00:00Z
Q1906161,Bank Indonesia,1953-01-01T00:00:00Z
Q5920236,Indonesian Institute of the Arts,2003-07-28T00:00:00Z
Q7894421,Universitas Terbuka,1984-01-01T00:00:00Z
Q623042,Bank Rakyat Indonesia,1895-12-16T00:00:00Z
Q12474471,Bank Jago,
Q106616410,Lion Parcel,
Q10980312,Kuningan University,2003-06-06T00:00:00Z
Q12474533,Bank Syariah Mandiri,1995-01-01T00:00:00Z
Q7896071,University of Pattimura,1963-04-23T00:00:00Z
Q111850958,Buku Mojok,
Q25460696,Indonesian Institute of Information Technology,
Q6026778,MNC Vision,1994-01-01T00:00:00Z
Q4264431,SinemArt,2003-01-01T00:00:00Z
Q6933777,Mulawarman University,1962-09-27T00:00:00Z
