company_id,edge_type,val_id,node_type
4295877395.0,Macro Industry,Industrials,Industry
4295875615.0,Macro Industry,Energy and Power,Industry
5068075938.0,Macro Industry,Healthcare,Industry
5045949737.0,Macro Industry,Industrials,Industry
4295866057.0,Macro Industry,Consumer Staples,Industry
4295866057.0,Macro Industry,Consumer Staples,Industry
4295876913.0,Macro Industry,High Technology,Industry
4295879828.0,Macro Industry,Industrials,Industry
5000030442.0,Macro Industry,Energy and Power,Industry
4295904618.0,Macro Industry,Materials,Industry
4295888681.0,Macro Industry,Telecommunications,Industry
4295894507.0,Macro Industry,Consumer Products and Services,Industry
4295874981.0,Macro Industry,Materials,Industry
4295903254.0,Macro Industry,Industrials,Industry
4295869049.0,Macro Industry,Energy and Power,Industry
4295869049.0,Macro Industry,Energy and Power,Industry
4298240427.0,Macro Industry,Energy and Power,Industry
4295877357.0,Macro Industry,High Technology,Industry
4295904703.0,Macro Industry,Materials,Industry
4295903602.0,Macro Industry,Industrials,Industry
5043337560.0,Macro Industry,Financials,Industry
5052137229.0,Macro Industry,Energy and Power,Industry
5045949737.0,Macro Industry,Industrials,Industry
4295890339.0,Macro Industry,Consumer Products and Services,Industry
4296446474.0,Macro Industry,Financials,Industry
5000331319.0,Macro Industry,Energy and Power,Industry
5080031678.0,Macro Industry,Healthcare,Industry
5064691048.0,Macro Industry,Materials,Industry
4295870063.0,Macro Industry,High Technology,Industry
4295878412.0,Macro Industry,Media and Entertainment,Industry
4295904144.0,Macro Industry,Consumer Products and Services,Industry
4298095588.0,Macro Industry,Telecommunications,Industry
4296330387.0,Macro Industry,Financials,Industry
4295886112.0,Macro Industry,Retail,Industry
4295904551.0,Macro Industry,Consumer Staples,Industry
4295877421.0,Macro Industry,Materials,Industry
4295900281.0,Macro Industry,Financials,Industry
4295904318.0,Macro Industry,Media and Entertainment,Industry
5046279622.0,Macro Industry,Energy and Power,Industry
5059963032.0,Macro Industry,Materials,Industry
4295903874.0,Macro Industry,Industrials,Industry
4295886629.0,Macro Industry,Financials,Industry
4295907572.0,Macro Industry,Media and Entertainment,Industry
4295881441.0,Macro Industry,Energy and Power,Industry
4295893564.0,Macro Industry,Financials,Industry
4295880494.0,Macro Industry,Industrials,Industry
4295858622.0,Macro Industry,Industrials,Industry
4295884507.0,Macro Industry,Retail,Industry
4295899655.0,Macro Industry,Materials,Industry
5076909798.0,Macro Industry,Financials,Industry
4295878485.0,Macro Industry,High Technology,Industry
4295892757.0,Macro Industry,Telecommunications,Industry
5000663094.0,Macro Industry,Financials,Industry
5000059822.0,Macro Industry,Industrials,Industry
5000059822.0,Macro Industry,Industrials,Industry
5064617472.0,Macro Industry,Consumer Staples,Industry
4295868520.0,Macro Industry,Healthcare,Industry
4297699947.0,Macro Industry,Financials,Industry
5035303331.0,Macro Industry,Energy and Power,Industry
4298068046.0,Macro Industry,Financials,Industry
4295864413.0,Macro Industry,Real Estate,Industry
4295876942.0,Macro Industry,Industrials,Industry
4296730041.0,Macro Industry,Energy and Power,Industry
4295867687.0,Macro Industry,Healthcare,Industry
5001438511.0,Macro Industry,Healthcare,Industry
4295891735.0,Macro Industry,High Technology,Industry
5050702133.0,Macro Industry,Energy and Power,Industry
5052167677.0,Macro Industry,Energy and Power,Industry
5000073706.0,Macro Industry,Healthcare,Industry
4295893562.0,Macro Industry,Energy and Power,Industry
5000111822.0,Macro Industry,High Technology,Industry
4295881974.0,Macro Industry,Industrials,Industry
4296788312.0,Macro Industry,Industrials,Industry
4295884308.0,Macro Industry,Media and Entertainment,Industry
4295863184.0,Macro Industry,Materials,Industry
4295866316.0,Macro Industry,Retail,Industry
4295868551.0,Macro Industry,Healthcare,Industry
4295904938.0,Macro Industry,Materials,Industry
4296934874.0,Macro Industry,Materials,Industry
4295891506.0,Macro Industry,High Technology,Industry
5081150958.0,Macro Industry,Materials,Industry
5083807511.0,Macro Industry,Financials,Industry
4295875719.0,Macro Industry,Energy and Power,Industry
4295866983.0,Macro Industry,Telecommunications,Industry
5001438511.0,Macro Industry,Healthcare,Industry
4295898967.0,Macro Industry,Retail,Industry
4295881078.0,Macro Industry,Financials,Industry
4295882337.0,Macro Industry,Materials,Industry
5000682487.0,Macro Industry,Media and Entertainment,Industry
5000058043.0,Macro Industry,Energy and Power,Industry
5000066211.0,Macro Industry,Financials,Industry
4295894497.0,Macro Industry,Consumer Products and Services,Industry
4295866601.0,Macro Industry,Media and Entertainment,Industry
4295866601.0,Macro Industry,Media and Entertainment,Industry
4297708402.0,Macro Industry,Energy and Power,Industry
4296558863.0,Macro Industry,Healthcare,Industry
4296549983.0,Macro Industry,High Technology,Industry
4295912211.0,Macro Industry,Energy and Power,Industry
4295863899.0,Macro Industry,Industrials,Industry
5052137706.0,Macro Industry,High Technology,Industry
5060580500.0,Macro Industry,Materials,Industry
4295884701.0,Macro Industry,Consumer Products and Services,Industry
5000059822.0,Macro Industry,Industrials,Industry
4295905089.0,Macro Industry,Industrials,Industry
4295856067.0,Macro Industry,Materials,Industry
4295893470.0,Macro Industry,Real Estate,Industry
5035774320.0,Macro Industry,Industrials,Industry
4295896316.0,Macro Industry,Consumer Products and Services,Industry
5000809539.0,Macro Industry,Energy and Power,Industry
4295888630.0,Macro Industry,Retail,Industry
4295872888.0,Macro Industry,Materials,Industry
4295872888.0,Macro Industry,Materials,Industry
4295877089.0,Macro Industry,Healthcare,Industry
5050265047.0,Macro Industry,Energy and Power,Industry
4295907402.0,Macro Industry,Industrials,Industry
