Unnamed: 0,Acquiror PermID,Target PermID,Date Announced
3314,5083823408.0,5083823408.0,10/04/2022
3315,4295875806.0,4295875806.0,10/03/2022
3316,4297044785.0,4297044785.0,10/05/2022
3317,5080074720.0,5080074720.0,10/10/2022
3318,4295858734.0,4295858734.0,10/18/2022
3319,5000729296.0,5000729296.0,10/20/2022
3320,4298142847.0,4298142847.0,10/20/2022
3321,5080528047.0,5080528047.0,11/07/2022
3322,4298296783.0,4298296783.0,11/10/2022
3324,5042242545.0,5042242545.0,02/10/2023
3325,4297341050.0,4297341050.0,10/31/2022
3326,5079690823.0,5079690823.0,12/06/2022
3328,5046299456.0,5046299456.0,11/15/2022
3329,4298007752.0,4298007752.0,12/19/2022
