,company_id,edge_type,val_id,node_type
123,4295861769.0,Macro Industry,Telecommunications,Industry
124,4295875615.0,Macro Industry,Energy and Power,Industry
125,4295866771.0,Macro Industry,Retail,Industry
126,5000025561.0,Macro Industry,Industrials,Industry
127,5000007778.0,Macro Industry,Energy and Power,Industry
128,4295887273.0,Macro Industry,Materials,Industry
129,4296730041.0,Macro Industry,Energy and Power,Industry
130,4296730041.0,Macro Industry,Energy and Power,Industry
131,4296730041.0,Macro Industry,Energy and Power,Industry
132,4295890065.0,Macro Industry,Industrials,Industry
133,4295877395.0,Macro Industry,Industrials,Industry
134,4295875615.0,Macro Industry,Energy and Power,Industry
135,5068075938.0,Macro Industry,Healthcare,Industry
136,5045949737.0,Macro Industry,Industrials,Industry
137,4295866057.0,Macro Industry,Consumer Staples,Industry
138,4295866057.0,Macro Industry,Consumer Staples,Industry
139,4295876913.0,Macro Industry,High Technology,Industry
140,4295879828.0,Macro Industry,Industrials,Industry
141,5000030442.0,Macro Industry,Energy and Power,Industry
142,4295904618.0,Macro Industry,Materials,Industry
143,4295888681.0,Macro Industry,Telecommunications,Industry
144,4295894507.0,Macro Industry,Consumer Products and Services,Industry
145,4295874981.0,Macro Industry,Materials,Industry
146,4295903254.0,Macro Industry,Industrials,Industry
147,4295869049.0,Macro Industry,Energy and Power,Industry
148,4295869049.0,Macro Industry,Energy and Power,Industry
149,4298240427.0,Macro Industry,Energy and Power,Industry
150,4295877357.0,Macro Industry,High Technology,Industry
151,4295904703.0,Macro Industry,Materials,Industry
152,4295903602.0,Macro Industry,Industrials,Industry
153,5043337560.0,Macro Industry,Financials,Industry
154,5052137229.0,Macro Industry,Energy and Power,Industry
155,5045949737.0,Macro Industry,Industrials,Industry
156,4295890339.0,Macro Industry,Consumer Products and Services,Industry
157,4296446474.0,Macro Industry,Financials,Industry
158,5000331319.0,Macro Industry,Energy and Power,Industry
159,5080031678.0,Macro Industry,Healthcare,Industry
160,5064691048.0,Macro Industry,Materials,Industry
161,4295870063.0,Macro Industry,High Technology,Industry
162,4295878412.0,Macro Industry,Media and Entertainment,Industry
163,4295904144.0,Macro Industry,Consumer Products and Services,Industry
164,4298095588.0,Macro Industry,Telecommunications,Industry
165,4296330387.0,Macro Industry,Financials,Industry
166,4295886112.0,Macro Industry,Retail,Industry
167,4295904551.0,Macro Industry,Consumer Staples,Industry
168,4295877421.0,Macro Industry,Materials,Industry
169,4295900281.0,Macro Industry,Financials,Industry
170,4295904318.0,Macro Industry,Media and Entertainment,Industry
171,5046279622.0,Macro Industry,Energy and Power,Industry
172,5059963032.0,Macro Industry,Materials,Industry
173,4295903874.0,Macro Industry,Industrials,Industry
174,4295886629.0,Macro Industry,Financials,Industry
175,4295907572.0,Macro Industry,Media and Entertainment,Industry
176,4295881441.0,Macro Industry,Energy and Power,Industry
177,4295893564.0,Macro Industry,Financials,Industry
178,4295880494.0,Macro Industry,Industrials,Industry
179,4295858622.0,Macro Industry,Industrials,Industry
180,4295884507.0,Macro Industry,Retail,Industry
181,4295899655.0,Macro Industry,Materials,Industry
182,5076909798.0,Macro Industry,Financials,Industry
183,4295878485.0,Macro Industry,High Technology,Industry
184,4295892757.0,Macro Industry,Telecommunications,Industry
185,5000663094.0,Macro Industry,Financials,Industry
186,5000059822.0,Macro Industry,Industrials,Industry
187,5000059822.0,Macro Industry,Industrials,Industry
