SDC Deal No,Date Announced,Rank Date,"Rank Value inc. Net Debt of Target
(USD, Millions)",Target Full Name,Target Macro Industry,Target Mid Industry,Target Nation,Acquiror Full Name,Acquiror Macro Industry,Acquiror Mid Industry,Acquiror Nation,"Target Financial Advisors Name
('|')","Acquiror Financial Advisors Name
('|')",Deal Status,Form of the Deal,Acquiror Number of Employees,Target Number of Employees,Acquiror PermID,Target PermID,Target Founded Date,Target Primary Ticker Symbol,Acquiror Founded Date,"Acquiror Current Assets Last 12 Months
(USD, Millions)","Current Assets Last 12 Months 
(USD, Millions)","Acquiror Market Value 4 Weeks Prior to Announcement
(USD, Millions)","Target Market Value 4 Weeks Prior to Announcement
(USD, Millions)","Region of Headquarters
('|')","Acquiror CashFLow LTM
(USD, Millions)","EBITDA Last 12 Months
(USD, Millions)"
4045568040,02/16/2023,02/16/2023,0.00,SCiBreak AB,Energy and Power,Other Energy & Power,Sweden,Mitsubishi Electric Corp,Energy and Power,Other Energy & Power,Japan,,Deloitte Tohmatsu FA,Completed,Merger,,,4295877319,5082079295,01/01/2014,,15/01/1921,"24,524.68",,,,Europe,"20,627.32",
4010741020,11/01/2022,11/01/2022,0.00,Spry Fox,Media and Entertainment,Motion Pictures / Audio Visual,United States,Netflix Inc,Media and Entertainment,Motion Pictures / Audio Visual,United States,,,Completed,Merger,,,4295902158,,,,,"8,816.90",,,,Americas,"19,844.60",
3984496040,10/04/2022,10/04/2022,"1,000.00",SAAM Logistics SA,Industrials,Transportation & Infrastructure,Chile,Hapag-Lloyd AG,Industrials,Transportation & Infrastructure,Germany,JP Morgan,Citi|Societe Generale,Pending,Merger,"6,900.00",,4295869164,5076382851,,,,"20,649.77",,"37,139.73",,Americas,"19,184.62",
3984505040,10/04/2022,10/04/2022,0.00,SAAM Puertos SA,Industrials,Transportation & Infrastructure,Chile,Hapag-Lloyd AG,Industrials,Transportation & Infrastructure,Germany,JP Morgan,Citi|Societe Generale,Pending,Merger,"6,900.00",,4295869164,5000907162,,,,"20,649.77",,"37,139.73",,Americas,"19,184.62",
3932944020,05/06/2022,05/06/2022,0.00,Adi Insights Inc,High Technology,Software,United States,Oracle Corp,High Technology,Software,United States,,,Completed,Merger,"76,674.00",,4295907485,5059188481,01/01/2015,,01/01/1977,"31,675.00",,,,Americas,"18,929.00",
3998919040,11/10/2022,11/10/2022,"11,894.08",Origin Energy Ltd,Energy and Power,Power,Australia,Investor Group,Financials,Other Financials,Canada,Jarden & Co|Barrenjoey Capital Partners,UBS Investment Bank|Mitsubishi UFJ Financial Group|Citi|JP Morgan,Pending,Merger,,"5,600.00",,4295856620,04/03/1946,ORG,,,"4,288.79",,"5,934.86",Asia Pacific Excluding Central Asia,"18,710.16",-38.83
4009339040,12/06/2022,12/06/2022,0.00,Riwald B.V,Materials,Metals & Mining,Netherlands,ArcelorMittal SA,Materials,Metals & Mining,Luxembourg,,Societe Generale,Completed,Merger,"245,000.00",,5000030092,,,,01/01/1989,"36,424.08",,,,Europe,"17,832.04",
3923437020,05/26/2022,05/26/2022,"68,319.07",VMware Inc,High Technology,Internet Software & Services,United States,Broadcom Inc,High Technology,Semiconductors,United States,JP Morgan Securities LLC|Goldman Sachs & Co,Barclays|Citigroup Global Markets Inc|Wells Fargo Securities LLC|Credit Suisse Securities (USA)|Morgan Stanley & Co LLC|BofA Securities Inc,Pending,Merger,,,5060689053,4295907347,01/01/1998,VMW,01/01/1961,"14,810.00","6,643.00","236,370.30","45,549.87",Americas,"16,855.00","3,351.00"
3984941040,11/29/2022,11/29/2022,"10,002.22",HSBC Bank Canada,Financials,Banks,Canada,Royal Bank of Canada,Financials,Banks,Canada,HSBC Holdings PLC|JP Morgan Cazenove,RBC Capital Markets|Goldman Sachs & Co,Pending,Merger,"75,139.00",,8589934213,4296364899,01/01/1981,,,,,"128,803.79",,Americas,"16,615.03",
3944361020,08/02/2022,08/02/2022,"1,316.15",Cowen Inc,Financials,Brokerage,United States,Toronto-Dominion Bank,Financials,Banks,Canada,Perkins & Company|Ardea Partners Llc,TD Securities Inc|Perella Weinberg Partners LP,Completed,Merger,"71,444.00",,4295862902,5000613127,01/01/1918,COWN,01/02/1955,,,"116,946.46",883.51,Americas,"14,765.89",216.65
4040729020,02/16/2023,02/16/2023,"3,577.18",TravelCenters of America Inc,Energy and Power,Oil & Gas,United States,BP Products North America Inc,Energy and Power,Petrochemicals,United States,Citigroup Global Markets Inc,Robey Warshaw LLP|Goldman Sachs & Co,Pending,Merger,,,4296616107,5071084624,01/01/1972,TA,01/01/1954,"107,688.16",964.95,,683.19,Americas,"14,703.02",
4008004040,11/30/2022,11/30/2022,0.00,Neogene Therapeutics,Healthcare,Healthcare Providers & Services (HMOs),Netherlands,AstraZeneca PLC,Healthcare,Pharmaceuticals,United Kingdom,,,Pending,Merger,"51,700.00",,4295894341,5076361285,,,06/04/1999,"20,223.94",,,,Europe,"13,550.96",
4025800020,11/29/2022,11/29/2022,320.00,Neogene Therapeutics Inc,Consumer Products and Services,Professional Services,United States,AstraZeneca PLC,Healthcare,Pharmaceuticals,United Kingdom,,,Completed,Merger,"51,700.00",,4295894341,5069413691,01/01/2018,,06/04/1999,"20,223.94",,"184,088.60",,Americas,"13,550.96",
3957825020,08/04/2022,08/04/2022,"3,657.76",ChemoCentryx Inc,Healthcare,Biotechnology,United States,Amgen Inc,Healthcare,Biotechnology,United States,Goldman Sachs & Co,PJT Partners Inc,Completed,Merger,"18,000.00",,4295905537,4296750448,01/01/1996,CCXI,08/04/1980,"19,322.00",345.17,"132,171.75","1,791.78",Americas,"13,289.00",-127.60
3912535020,04/25/2022,04/25/2022,"7,264.50",PS Business Parks Inc,Real Estate,REITs,United States,Sequoia Parent LP,Financials,Other Financials,United States,Eastdil Secured LLC|JP Morgan Securities LLC,Barclays|Morgan Stanley|Citi|BofA Securities Inc|Societe Generale,Completed,Merger,,153.00,5082507389,5058670736,01/01/1986,PSB,,,0.00,,"5,704.93",Americas,"13,174.51",697.77
