company_id,val_id,edge_typ,node_typ
Q17103499,Q870895,INDUSTRY,Industry
Q107631647,Q941594,INDUSTRY,Industry
Q4922077,Q941594,INDUSTRY,Industry
Q2832297,Q126793,INDUSTRY,Industry
Q72984664,Q126793,INDUSTRY,Industry
Q6779125,Q7860960,INDUSTRY,Industry
Q7798946,Q56598901,INDUSTRY,Industry
Q7798946, Q25245117,INDUSTRY,Industry
Q775346,Q941594,INDUSTRY,Industry
Q65068121,Q941594,INDUSTRY,Industry
Q16985503,Q25245117,INDUSTRY,Industry
Q111968623,Q3972943,INDUSTRY,Industry
Q117348376,Q941594,INDUSTRY,Industry
Q6858427,Q869095,INDUSTRY,Industry
Q5422367,Q126793,INDUSTRY,Industry
Q105953305,Q941594,INDUSTRY,Industry
Q55858235,Q880371,INDUSTRY,Industry
Q7495372,Q44497,INDUSTRY,Industry
Q3504127,Q126793,INDUSTRY,Industry
Q3356778,Q11828862,INDUSTRY,Industry
Q3356778, Q126793,INDUSTRY,Industry
Q3356778, Q5377,INDUSTRY,Industry
Q876720,Q3565868,INDUSTRY,Industry
Q876720, Q1433891,INDUSTRY,Industry
Q7830764,Q190117,INDUSTRY,Industry
Q4735945,Q1951366,INDUSTRY,Industry
Q101247243,Q2912428,INDUSTRY,Industry
Q683146,Q3972943,INDUSTRY,Industry
Q7716358,Q126793,INDUSTRY,Industry
Q6851623,Q11707,INDUSTRY,Industry
Q28659083,Q126793,INDUSTRY,Industry
Q808908,Q44497,INDUSTRY,Industry
Q3347600,Q156223,INDUSTRY,Industry
Q120648778,Q27003353,INDUSTRY,Industry
Q3181534,Q941594,INDUSTRY,Industry
Q7808781,Q126793,INDUSTRY,Industry
Q6499418,Q540912,INDUSTRY,Industry
Q1053422,Q862571,INDUSTRY,Industry
Q3002428,Q869095,INDUSTRY,Industry
Q1194832,Q837171,INDUSTRY,Industry
Q6942824,Q869095,INDUSTRY,Industry
Q33509239,Q941594,INDUSTRY,Industry
Q8042304,Q941594,INDUSTRY,Industry
Q1208279,Q862571,INDUSTRY,Industry
Q2933348,Q1416657,INDUSTRY,Industry
Q2933348, Q837171,INDUSTRY,Industry
Q2933348, Q806718,INDUSTRY,Industry
Q107327361,Q941594,INDUSTRY,Industry
Q3313615,Q7860960,INDUSTRY,Industry
Q5086953,Q22908,INDUSTRY,Industry
Q624798,Q2234623,INDUSTRY,Industry
Q461761,Q15078788,INDUSTRY,Industry
Q461761, Q35127,INDUSTRY,Industry
Q7695271,Q25245117,INDUSTRY,Industry
Q3212802,Q126793,INDUSTRY,Industry
Q8058833,Q126793,INDUSTRY,Industry
Q109268707,Q1756711,INDUSTRY,Industry
Q7545801,Q171141,INDUSTRY,Industry
Q4965887,Q154,INDUSTRY,Industry
Q912476,Q11033,INDUSTRY,Industry
Q114989394,Q869095,INDUSTRY,Industry
Q2025791,Q7397,INDUSTRY,Industry
Q107863970,Q941594,INDUSTRY,Industry
Q52084103,Q941594,INDUSTRY,Industry
Q17146476,Q880371,INDUSTRY,Industry
Q2749075,Q202833,INDUSTRY,Industry
Q16955235,Q862571,INDUSTRY,Industry
Q749716,Q383973,INDUSTRY,Industry
Q6927497,Q11707,INDUSTRY,Industry
Q3299128,Q1401416,INDUSTRY,Industry
Q110015165,Q941594,INDUSTRY,Industry
Q98241095,Q126793,INDUSTRY,Industry
Q33462287,Q941594,INDUSTRY,Industry
Q3455043,Q182103,INDUSTRY,Industry
Q3391621,Q3972943,INDUSTRY,Industry
Q5327589,Q25245117,INDUSTRY,Industry
Q2719211,Q941594,INDUSTRY,Industry
Q5465300,Q126793,INDUSTRY,Industry
Q109789481,Q941594,INDUSTRY,Industry
Q105745750,Q941594,INDUSTRY,Industry
Q634298,Q1416657,INDUSTRY,Industry
Q634298, Q837171,INDUSTRY,Industry
Q634298, Q806718,INDUSTRY,Industry
Q57598825,Q126793,INDUSTRY,Industry
Q30283026,Q170978,INDUSTRY,Industry
Q862180,Q126793,INDUSTRY,Industry
Q1080670,Q1416657,INDUSTRY,Industry
Q1080670, Q837171,INDUSTRY,Industry
Q110573294,Q941594,INDUSTRY,Industry
