company_id,val_id,edge_typ,node_typ
Q843490,Q56611700,INDUSTRY,Industry
Q1003180,Q1416657,INDUSTRY,Industry
Q1003180, Q837171,INDUSTRY,Industry
Q1003180, Q806718,INDUSTRY,Industry
Q18712406,Q484847,INDUSTRY,Industry
Q106508691,Q1660132,INDUSTRY,Industry
Q2819353,Q112166047,INDUSTRY,Industry
Q111086347,Q1104185,INDUSTRY,Industry
Q111086347, Q918385,INDUSTRY,Industry
Q113858405,Q12147,INDUSTRY,Industry
Q63371124,Q126793,INDUSTRY,Industry
Q72177165,Q126793,INDUSTRY,Industry
Q6122995,Q806718,INDUSTRY,Industry
Q6122995, Q650241,INDUSTRY,Industry
Q55083418,Q625568,INDUSTRY,Industry
Q55083418, Q171141,INDUSTRY,Industry
Q55083418, Q55638,INDUSTRY,Industry
Q174386,Q46970,INDUSTRY,Industry
Q101575325,Q43015,INDUSTRY,Industry
Q1435010,Q638608,INDUSTRY,Industry
Q108440424,Q21157865,INDUSTRY,Industry
Q108440424, Q13405640,INDUSTRY,Industry
Q108440424, Q1660132,INDUSTRY,Industry
Q86010050,Q10494269,INDUSTRY,Industry
Q86010050, Q484847,INDUSTRY,Industry
Q69383317,Q126793,INDUSTRY,Industry
Q105536146,Q899277,INDUSTRY,Industry
Q105536146, Q11661,INDUSTRY,Industry
Q111527166,Q484847,INDUSTRY,Industry
Q111204681,Q746359,INDUSTRY,Industry
Q20984297,Q484847,INDUSTRY,Industry
Q29946462,Q10494269,INDUSTRY,Industry
Q115012348,Q115112137,CEO,Person
Q111086347,Q111077342,CEO,Person
Q55083418,Q55384505,CEO,Person
Q108440424,Q107862674,CEO,Person
Q108440424,Q107862674,CHAIRMAN,Person
Q105536146,Q105536595,CHAIRMAN,Person
Q115012348,Q1858,HEADQUARTERS,Location
Q55190480,Q1858,HEADQUARTERS,Location
Q28972626,Q1858,HEADQUARTERS,Location
Q63863118,Q1903012,HEADQUARTERS,Location
Q843490,Q1854,HEADQUARTERS,Location
