company_id,val_id,edge_typ,node_typ
Q138133,Q1326594,INDUSTRY,Industry
Q138133, Q2151621,INDUSTRY,Industry
Q138133, Q1341477,INDUSTRY,Industry
Q7390019,Q177777,INDUSTRY,Industry
Q16926211,Q82811,INDUSTRY,Industry
Q7538148,Q11650,INDUSTRY,Industry
Q3674725,Q11469,INDUSTRY,Industry
Q746413,Q3972943,INDUSTRY,Industry
Q29366,Q190117,INDUSTRY,Industry
Q10875882,Q941594,INDUSTRY,Industry
Q1575470,Q837171,INDUSTRY,Industry
Q1262858,Q445832,INDUSTRY,Industry
Q47004383,Q2575347,INDUSTRY,Industry
Q1479375,Q695829,INDUSTRY,Industry
Q1479375, Q178512,INDUSTRY,Industry
Q56811344,Q30022,INDUSTRY,Industry
Q8071259,Q3565868,INDUSTRY,Industry
Q39057776,Q941594,INDUSTRY,Industry
Q683146,Q3972943,INDUSTRY,Industry
Q29468800,Q581105,INDUSTRY,Industry
Q29468800, Q212920,INDUSTRY,Industry
Q110959120,Q190117,INDUSTRY,Industry
Q110959120, Q126793,INDUSTRY,Industry
Q7168080,Q941594,INDUSTRY,Industry
Q108938000,Q941594,INDUSTRY,Industry
Q28025298,Q10611118,INDUSTRY,Industry
Q107377209,Q11828862,INDUSTRY,Industry
Q107377209, Q5100735,INDUSTRY,Industry
Q107377209, Q2661018,INDUSTRY,Industry
Q107377209, Q484847,INDUSTRY,Industry
Q107377209, Q126793,INDUSTRY,Industry
Q15907772,Q484847,INDUSTRY,Industry
Q7267707,Q7397,INDUSTRY,Industry
Q98456772,Q126793,INDUSTRY,Industry
Q2819353,Q112166047,INDUSTRY,Industry
Q41171672,Q126793,INDUSTRY,Industry
Q51846184,Q21157865,INDUSTRY,Industry
Q910401,Q190117,INDUSTRY,Industry
Q48937899,Q97486561,INDUSTRY,Industry
Q47015754,Q941594,INDUSTRY,Industry
Q109936106,Q14859880,INDUSTRY,Industry
Q109936106, Q581105,INDUSTRY,Industry
Q814825,Q190117,INDUSTRY,Industry
Q1073540,Q25245117,INDUSTRY,Industry
Q160120,Q25245117,INDUSTRY,Industry
Q160120, Q5358497,INDUSTRY,Industry
Q160120, Q5268834,INDUSTRY,Industry
Q13220217,Q126793,INDUSTRY,Industry
Q17001808,Q190117,INDUSTRY,Industry
Q5894319,Q25245117,INDUSTRY,Industry
Q13646560,Q126793,INDUSTRY,Industry
Q10884665,Q941594,INDUSTRY,Industry
Q109581933,Q941594,INDUSTRY,Industry
Q28415694,Q2986369,INDUSTRY,Industry
Q1432633,Q190117,INDUSTRY,Industry
Q97348394,Q941594,INDUSTRY,Industry
Q1359568,Q484847,INDUSTRY,Industry
Q29904317,Q484847,INDUSTRY,Industry
Q117083142,Q941594,INDUSTRY,Industry
Q19060036,Q14859880,INDUSTRY,Industry
Q19060036, Q581105,INDUSTRY,Industry
Q26299,Q1416657,INDUSTRY,Industry
Q104868523,Q2516512,INDUSTRY,Industry
Q18708812,Q19595701,INDUSTRY,Industry
Q846884,Q941594,INDUSTRY,Industry
Q77146064,Q3246832,INDUSTRY,Industry
Q77146064, Q187939,INDUSTRY,Industry
Q109422605,Q941594,INDUSTRY,Industry
Q23890897,Q941594,INDUSTRY,Industry
Q23890897, Q269415,INDUSTRY,Industry
Q1518607,Q3150593,INDUSTRY,Industry
Q47313237,Q190117,INDUSTRY,Industry
Q28452620,Q11650,INDUSTRY,Industry
Q733958,Q11016,INDUSTRY,Industry
Q733958, Q11650,INDUSTRY,Industry
Q733958, Q11456,INDUSTRY,Industry
Q842099,Q507443,INDUSTRY,Industry
Q14799,Q11650,INDUSTRY,Industry
Q14799, Q3966,INDUSTRY,Industry
Q739000,Q190117,INDUSTRY,Industry
Q1544535,Q11650,INDUSTRY,Industry
Q109821613,Q1368944,INDUSTRY,Industry
Q860580,Q941594,INDUSTRY,Industry
Q860580, Q11661,INDUSTRY,Industry
Q2389456,Q190117,INDUSTRY,Industry
Q118136762,Q2518196,INDUSTRY,Industry
Q22098822,Q180846,INDUSTRY,Industry
Q93497501,Q941594,INDUSTRY,Industry
Q55438436,Q941594,INDUSTRY,Industry
Q503182,Q862571,INDUSTRY,Industry
Q1143917,Q581105,INDUSTRY,Industry
Q106798056,Q57264543,INDUSTRY,Industry
Q106798056, Q126793,INDUSTRY,Industry
Q118921697,Q1742264,INDUSTRY,Industry
Q5124105,Q126793,INDUSTRY,Industry
Q5105515,Q684740,INDUSTRY,Industry
Q5105515, Q161439,INDUSTRY,Industry
Q5105515, Q133215,INDUSTRY,Industry
Q5105515, Q121359,INDUSTRY,Industry
Q5191790,Q9323634,INDUSTRY,Industry
Q18111506,Q4011416,INDUSTRY,Industry
Q18125122,Q581105,INDUSTRY,Industry
Q699142,Q540912,INDUSTRY,Industry
Q97325212,Q941594,INDUSTRY,Industry
Q97486387,Q97486588,INDUSTRY,Industry
Q106323633,Q941594,INDUSTRY,Industry
Q5104600,Q837171,INDUSTRY,Industry
Q10876705,Q177777,INDUSTRY,Industry
Q120199662,Q4438117,INDUSTRY,Industry
Q18204710,Q253613,INDUSTRY,Industry
Q18124524,Q3798668,INDUSTRY,Industry
Q18124524, Q2876213,INDUSTRY,Industry
Q63196664,Q193692,INDUSTRY,Industry
Q111077434,Q57264543,INDUSTRY,Industry
Q111077434, Q126793,INDUSTRY,Industry
Q8423751,Q1495452,INDUSTRY,Industry
Q117188257,Q187939,INDUSTRY,Industry
Q117188257, Q7108,INDUSTRY,Industry
Q698528,Q872,INDUSTRY,Industry
Q56448838,Q17517,INDUSTRY,Industry
Q1852050,Q25245117,INDUSTRY,Industry
Q15079468,Q175122,INDUSTRY,Industry
Q111339643,Q57262277,INDUSTRY,Industry
Q111339643, Q484847,INDUSTRY,Industry
Q12599540,Q1751445,INDUSTRY,Industry
Q12599540, Q171141,INDUSTRY,Industry
Q55606242,Q11661,INDUSTRY,Industry
Q55606242, Q75,INDUSTRY,Industry
Q106610106,Q837171,INDUSTRY,Industry
Q5299559,Q75,INDUSTRY,Industry
Q38960,Q22687,INDUSTRY,Industry
Q15910313,Q20708021,INDUSTRY,Industry
Q3082637,Q190117,INDUSTRY,Industry
Q16951366,Q507443,INDUSTRY,Industry
Q719625,Q837171,INDUSTRY,Industry
Q115592005,Q1007870,INDUSTRY,Industry
Q114670262,Q941594,INDUSTRY,Industry
Q15899929,Q56598901,INDUSTRY,Industry
Q15899929, Q25245117,INDUSTRY,Industry
Q115047062,Q581105,INDUSTRY,Industry
Q1617677,Q190117,INDUSTRY,Industry
Q1195543,Q289,INDUSTRY,Industry
Q21190510,Q2516512,INDUSTRY,Industry
Q18301787,Q5358499,INDUSTRY,Industry
Q905009,Q190117,INDUSTRY,Industry
Q1068485,Q56598901,INDUSTRY,Industry
Q1068485, Q25245117,INDUSTRY,Industry
Q56275466,Q581105,INDUSTRY,Industry
Q10941095,Q2836940,INDUSTRY,Industry
Q16499972,Q25245117,INDUSTRY,Industry
Q1859143,Q5358497,INDUSTRY,Industry
