company_id,val_id,edge_typ,node_typ
Q112650982,Q11425,INDUSTRY,Industry
Q12581771,Q1415395,INDUSTRY,Industry
Q138133,Q2151621,INDUSTRY,Industry
Q138133, Q1341477,INDUSTRY,Industry
Q138133, Q1326594,INDUSTRY,Industry
Q265176,Q11023,INDUSTRY,Industry
Q483938,Q10302058,INDUSTRY,Industry
Q483938, Q638,INDUSTRY,Industry
Q746413,Q3972943,INDUSTRY,Industry
Q21576613,Q746359,INDUSTRY,Industry
Q1316175,Q112165934,INDUSTRY,Industry
Q55735496,Q941594,INDUSTRY,Industry
Q482539,Q645292,INDUSTRY,Industry
Q5012261,Q1415395,INDUSTRY,Industry
Q255363,Q746359,INDUSTRY,Industry
Q494369,Q837171,INDUSTRY,Industry
Q489899,Q300920,INDUSTRY,Industry
Q492718,Q1415395,INDUSTRY,Industry
Q11233843,Q173799,INDUSTRY,Industry
Q21554828,Q746359,INDUSTRY,Industry
Q487230,Q1416657,INDUSTRY,Industry
Q15730367,Q55638,INDUSTRY,Industry
Q55732070,Q57262286,INDUSTRY,Industry
Q109256792,Q638,INDUSTRY,Industry
Q485908,Q56598901,INDUSTRY,Industry
Q485908, Q25245117,INDUSTRY,Industry
Q101110778,Q941594,INDUSTRY,Industry
Q11285896,Q173799,INDUSTRY,Industry
Q136778,Q778575,INDUSTRY,Industry
Q59243,Q190117,INDUSTRY,Industry
Q20716,Q778575,INDUSTRY,Industry
Q107394173,Q11828862,INDUSTRY,Industry
Q65266336,Q746359,INDUSTRY,Industry
Q55643246,Q126793,INDUSTRY,Industry
Q15615204,Q3565868,INDUSTRY,Industry
Q483238,Q638,INDUSTRY,Industry
Q12591271,Q5503,INDUSTRY,Industry
Q21709935,Q746359,INDUSTRY,Industry
Q106967377,Q11828862,INDUSTRY,Industry
Q106967377, Q484847,INDUSTRY,Industry
Q116993592,Q57262286,INDUSTRY,Industry
Q625975,Q746359,INDUSTRY,Industry
Q498825,Q26398,INDUSTRY,Industry
Q65332179,Q746359,INDUSTRY,Industry
Q699142,Q540912,INDUSTRY,Industry
Q493145,Q56598901,INDUSTRY,Industry
Q493145, Q25245117,INDUSTRY,Industry
Q490371,Q126793,INDUSTRY,Industry
Q50595,Q19595701,INDUSTRY,Industry
Q497382,Q75,INDUSTRY,Industry
Q123281883,Q941594,INDUSTRY,Industry
Q162345,Q212920,INDUSTRY,Industry
Q28699048,Q5503,INDUSTRY,Industry
Q94649502,Q941594,INDUSTRY,Industry
Q31180108,Q746359,INDUSTRY,Industry
Q123841093,Q638,INDUSTRY,Industry
Q112674508,Q57262286,INDUSTRY,Industry
Q142054,Q8434,INDUSTRY,Industry
Q3206859,Q746359,INDUSTRY,Industry
Q100573246,Q21198548,INDUSTRY,Industry
Q100573246, Q867147,INDUSTRY,Industry
Q65233413,Q24887239,INDUSTRY,Industry
Q65233413, Q220499,INDUSTRY,Industry
Q17063093,Q1415395,INDUSTRY,Industry
Q491998,Q746359,INDUSTRY,Industry
Q483280,Q177777,INDUSTRY,Industry
Q115780935,Q746359,INDUSTRY,Industry
Q16161254,Q1068473,INDUSTRY,Industry
Q16161254, Q746359,INDUSTRY,Industry
Q16161254, Q8434,INDUSTRY,Industry
Q124632006,Q625568,INDUSTRY,Industry
Q124632006, Q638,INDUSTRY,Industry
Q122338679,Q941594,INDUSTRY,Industry
Q20445830,Q941594,INDUSTRY,Industry
Q107394133,Q11828862,INDUSTRY,Industry
Q109342790,Q63241860,INDUSTRY,Industry
Q109342790, Q184973,INDUSTRY,Industry
Q105221824,Q941594,INDUSTRY,Industry
Q624041,Q7361709,INDUSTRY,Industry
Q625647,Q941594,INDUSTRY,Industry
Q97203011,Q10932402,INDUSTRY,Industry
Q31179359,Q746359,INDUSTRY,Industry
Q115973454,Q19595701,INDUSTRY,Industry
Q115973454, Q10302058,INDUSTRY,Industry
Q16174772,Q746359,INDUSTRY,Industry
Q21120876,Q99529212,INDUSTRY,Industry
Q5459069,Q5503,INDUSTRY,Industry
Q17684312,Q75,INDUSTRY,Industry
Q563107,Q2876213,INDUSTRY,Industry
Q12607562,Q998426,INDUSTRY,Industry
Q35349,Q190117,INDUSTRY,Industry
Q484047,Q837171,INDUSTRY,Industry
Q18351757,Q60061622,INDUSTRY,Industry
Q12599540,Q1751445,INDUSTRY,Industry
Q12599540, Q171141,INDUSTRY,Industry
Q106636398,Q19595701,INDUSTRY,Industry
Q106636398, Q746359,INDUSTRY,Industry
Q110118012,Q746359,INDUSTRY,Industry
Q626185,Q21198548,INDUSTRY,Industry
Q12620832,Q625568,INDUSTRY,Industry
Q16167317,Q173799,INDUSTRY,Industry
Q123377537,Q941594,INDUSTRY,Industry
Q5150442,Q210167,INDUSTRY,Industry
Q494158,Q778575,INDUSTRY,Industry
Q483018,Q540912,INDUSTRY,Industry
Q50596,Q746359,INDUSTRY,Industry
Q19794482,Q625568,INDUSTRY,Industry
Q104541491,Q941594,INDUSTRY,Industry
Q13424955,Q19595701,INDUSTRY,Industry
Q16176785,Q998426,INDUSTRY,Industry
Q489428,Q638,INDUSTRY,Industry
Q111457865,Q746359,INDUSTRY,Industry
Q12580769,Q19595701,INDUSTRY,Industry
Q4035237,Q941594,INDUSTRY,Industry
Q489247,Q778575,INDUSTRY,Industry
Q12580836,Q7361709,INDUSTRY,Industry
Q55736184,Q173799,INDUSTRY,Industry
Q483036,Q941594,INDUSTRY,Industry
Q7628201,Q1415395,INDUSTRY,Industry
Q54132750,Q941594,INDUSTRY,Industry
Q483883,Q5503,INDUSTRY,Industry
Q489243,Q1957908,INDUSTRY,Industry
Q6987076,Q746359,INDUSTRY,Industry
Q29514946,Q746359,INDUSTRY,Industry
Q55730575,Q171141,INDUSTRY,Industry
Q484449,Q638,INDUSTRY,Industry
Q484449, Q19595701,INDUSTRY,Industry
Q487590,Q11030,INDUSTRY,Industry
Q20718,Q5358497,INDUSTRY,Industry
Q483855,Q22687,INDUSTRY,Industry
Q18169,Q3565868,INDUSTRY,Industry
Q105697039,Q941594,INDUSTRY,Industry
Q326715,Q126793,INDUSTRY,Industry
Q124047821,Q625568,INDUSTRY,Industry
Q124047821, Q638,INDUSTRY,Industry
Q12599305,Q746359,INDUSTRY,Industry
Q85846910,Q2729047,INDUSTRY,Industry
Q624022,Q3565868,INDUSTRY,Industry
Q11133743,Q625568,INDUSTRY,Industry
Q6872554,Q837171,INDUSTRY,Industry
Q116168259,Q11425,INDUSTRY,Industry
