company_id,val_id,edge_typ,node_typ
Q699142,Q540912,INDUSTRY,Industry
Q113858405,Q12147,INDUSTRY,Industry
Q76099070,Q4899370,INDUSTRY,Industry
Q76099070, Q540912,INDUSTRY,Industry
Q6026518,Q1364904,INDUSTRY,Industry
Q2378901,Q126793,INDUSTRY,Industry
Q25537289,Q2561317,INDUSTRY,Industry
Q25537289, Q368290,INDUSTRY,Industry
Q18712406,Q484847,INDUSTRY,Industry
Q6411959,Q545609,INDUSTRY,Industry
Q107560201,Q21198548,INDUSTRY,Industry
Q107560201, Q867147,INDUSTRY,Industry
Q83981657,Q56611700,INDUSTRY,Industry
Q83981657, Q56611639,INDUSTRY,Industry
Q2038986,Q1416657,INDUSTRY,Industry
Q2038986, Q837171,INDUSTRY,Industry
Q2038986, Q806718,INDUSTRY,Industry
Q2038986, Q43183,INDUSTRY,Industry
Q2038986, Q22687,INDUSTRY,Industry
Q1524008,Q41958,INDUSTRY,Industry
Q105640480,Q941594,INDUSTRY,Industry
Q858665,Q126793,INDUSTRY,Industry
Q4039161,Q1407228,INDUSTRY,Industry
Q4039161, Q932586,INDUSTRY,Industry
Q7200907,Q57262286,INDUSTRY,Industry
Q6642534,Q126793,INDUSTRY,Industry
Q108049683,Q1495452,INDUSTRY,Industry
Q1155797,Q56598901,INDUSTRY,Industry
Q1155797, Q25245117,INDUSTRY,Industry
Q962865,Q837171,INDUSTRY,Industry
Q962865, Q806718,INDUSTRY,Industry
Q962865, Q22687,INDUSTRY,Industry
Q5060703,Q126793,INDUSTRY,Industry
Q1810389,Q862571,INDUSTRY,Industry
Q276557,Q22687,INDUSTRY,Industry
Q782537,Q22687,INDUSTRY,Industry
Q806483,Q1416657,INDUSTRY,Industry
Q806483, Q837171,INDUSTRY,Industry
Q806483, Q806718,INDUSTRY,Industry
Q67765140,Q1495452,INDUSTRY,Industry
Q1527826,Q837171,INDUSTRY,Industry
Q109564605,Q941594,INDUSTRY,Industry
Q6579719,Q862571,INDUSTRY,Industry
Q35980843,Q1407228,INDUSTRY,Industry
Q35980843, Q932586,INDUSTRY,Industry
Q113086389,Q746359,INDUSTRY,Industry
Q2413520,Q41958,INDUSTRY,Industry
Q4923294,Q10302058,INDUSTRY,Industry
Q4923294, Q11033,INDUSTRY,Industry
Q29563269,Q1415395,INDUSTRY,Industry
Q29563269, Q1407228,INDUSTRY,Industry
Q7825140,Q1076291,INDUSTRY,Industry
Q60754365,Q3798668,INDUSTRY,Industry
Q38116375,Q17229042,CEO,Person
Q4923294,Q16307519,CEO,Person
Q6411959,Q57941850,CHAIRMAN,Person
Q4923294,Q16140407,CHAIRMAN,Person
Q699142,Q1867,HEADQUARTERS,Location
Q6583778,Q1019658,HEADQUARTERS,Location
Q113858405,Q334,HEADQUARTERS,Location
Q76099070,Q569548,HEADQUARTERS,Location
Q6026518,Q1861,HEADQUARTERS,Location
Q2378901,Q1861,HEADQUARTERS,Location
Q38116375,Q1490,HEADQUARTERS,Location
Q188710,Q1019658,HEADQUARTERS,Location
Q25537289,Q4922609,HEADQUARTERS,Location
Q18712406,Q334,HEADQUARTERS,Location
Q1071609,Q476008,HEADQUARTERS,Location
Q6411959,Q1861,HEADQUARTERS,Location
Q99662518,Q15735803,HEADQUARTERS,Location
Q806491,Q1403340,HEADQUARTERS,Location
Q4013942,Q84,HEADQUARTERS,Location
Q3050569,Q15199204,HEADQUARTERS,Location
Q107560201,Q1861,HEADQUARTERS,Location
Q1189248,Q1861,HEADQUARTERS,Location
Q83981657,Q1861,HEADQUARTERS,Location
Q2038986,Q1861,HEADQUARTERS,Location
Q1524008,Q1403340,HEADQUARTERS,Location
Q1524008, Q1861,HEADQUARTERS,Location
Q2603792,Q1008352,HEADQUARTERS,Location
Q105640480,Q1861,HEADQUARTERS,Location
Q5570097,Q1861,HEADQUARTERS,Location
Q858665,Q1861,HEADQUARTERS,Location
Q57661897,Q1861,HEADQUARTERS,Location
Q4923091,Q1019658,HEADQUARTERS,Location
Q4039161,Q15735821,HEADQUARTERS,Location
Q16307513,Q1861,HEADQUARTERS,Location
Q3012106,Q1008352,HEADQUARTERS,Location
Q1065088,Q45744,HEADQUARTERS,Location
Q15818414,Q1861,HEADQUARTERS,Location
Q6128861,Q1861,HEADQUARTERS,Location
Q20586293,Q1861,HEADQUARTERS,Location
Q15043926,Q1861,HEADQUARTERS,Location
Q108049683,Q24036139,HEADQUARTERS,Location
Q1155797,Q1861,HEADQUARTERS,Location
Q962865,Q1861,HEADQUARTERS,Location
Q5060703,Q1861,HEADQUARTERS,Location
Q1810389,Q15735843,HEADQUARTERS,Location
Q89472108,Q1861,HEADQUARTERS,Location
Q276557,Q1861,HEADQUARTERS,Location
Q782537,Q1861,HEADQUARTERS,Location
Q806483,Q1861,HEADQUARTERS,Location
Q1527826,Q1861,HEADQUARTERS,Location
Q6579719,Q15735843,HEADQUARTERS,Location
Q113086389,Q33842255,HEADQUARTERS,Location
Q2413520,Q1861,HEADQUARTERS,Location
Q4923294,Q33842255,HEADQUARTERS,Location
Q29563269,Q15735821,HEADQUARTERS,Location
Q7419002,Q1861,HEADQUARTERS,Location
Q3107913,Q1403340,HEADQUARTERS,Location
Q2305581,Q1861,HEADQUARTERS,Location
Q60754365,Q1861,HEADQUARTERS,Location
Q1318400,Q1019658,HEADQUARTERS,Location
Q12125952,Q1861,HEADQUARTERS,Location
Q107966593,Q2427907,GROUPED_IN,Group
Q40736405,Q869,RESIDES_IN,Location
Q699142,Q148,RESIDES_IN,Location
Q6583778,Q869,RESIDES_IN,Location
Q113858405,Q865,RESIDES_IN,Location
Q113768864,Q869,RESIDES_IN,Location
Q109295941,Q334,RESIDES_IN,Location
Q76099070,Q148,RESIDES_IN,Location
Q6026518,Q869,RESIDES_IN,Location
Q2378901,Q869,RESIDES_IN,Location
Q38116375,Q252,RESIDES_IN,Location
Q188710,Q869,RESIDES_IN,Location
Q60178765,Q869,RESIDES_IN,Location
Q25537289,Q869,RESIDES_IN,Location
Q18712406,Q252,RESIDES_IN,Location
Q113674694,Q869,RESIDES_IN,Location
Q1071609,Q869,RESIDES_IN,Location
Q6411959,Q869,RESIDES_IN,Location
Q50413529,Q869,RESIDES_IN,Location
Q99662518,Q869,RESIDES_IN,Location
Q60685137,Q869,RESIDES_IN,Location
Q113661368,Q869,RESIDES_IN,Location
Q806491,Q869,RESIDES_IN,Location
Q111124653,Q869,RESIDES_IN,Location
Q4013942,Q1030,RESIDES_IN,Location
Q3050569,Q869,RESIDES_IN,Location
Q107560201,Q869,RESIDES_IN,Location
Q1189248,Q869,RESIDES_IN,Location
Q4802293,Q869,RESIDES_IN,Location
Q83981657,Q869,RESIDES_IN,Location
Q59156498,Q869,RESIDES_IN,Location
Q50676558,Q869,RESIDES_IN,Location
Q16947993,Q869,RESIDES_IN,Location
Q56199506,Q869,RESIDES_IN,Location
Q2038986,Q869,RESIDES_IN,Location
Q1524008,Q869,RESIDES_IN,Location
Q2603792,Q869,RESIDES_IN,Location
Q105640480,Q869,RESIDES_IN,Location
Q59492165,Q869,RESIDES_IN,Location
Q5570097,Q869,RESIDES_IN,Location
Q111698599,Q869,RESIDES_IN,Location
Q113644053,Q869,RESIDES_IN,Location
Q858665,Q869,RESIDES_IN,Location
Q81495406,Q869,RESIDES_IN,Location
Q38573292,Q869,RESIDES_IN,Location
Q47518776,Q869,RESIDES_IN,Location
Q57661897,Q869,RESIDES_IN,Location
Q53672435,Q869,RESIDES_IN,Location
Q4923091,Q869,RESIDES_IN,Location
Q4039161,Q869,RESIDES_IN,Location
Q62970160,Q869,RESIDES_IN,Location
Q16307513,Q869,RESIDES_IN,Location
Q29870678,Q869,RESIDES_IN,Location
Q7200907,Q869,RESIDES_IN,Location
Q61897167,Q869,RESIDES_IN,Location
Q62298612,Q869,RESIDES_IN,Location
Q3012106,Q869,RESIDES_IN,Location
Q62391732,Q869,RESIDES_IN,Location
Q1065088,Q869,RESIDES_IN,Location
Q26878946,Q869,RESIDES_IN,Location
Q15818414,Q869,RESIDES_IN,Location
Q6128861,Q869,RESIDES_IN,Location
Q20586293,Q869,RESIDES_IN,Location
Q15043926,Q869,RESIDES_IN,Location
Q6577874,Q869,RESIDES_IN,Location
Q6642534,Q869,RESIDES_IN,Location
Q108049683,Q869,RESIDES_IN,Location
Q1155797,Q869,RESIDES_IN,Location
Q962865,Q869,RESIDES_IN,Location
Q5060703,Q869,RESIDES_IN,Location
Q113679214,Q869,RESIDES_IN,Location
Q1810389,Q869,RESIDES_IN,Location
Q60156848,Q869,RESIDES_IN,Location
Q107966593,Q869,RESIDES_IN,Location
Q89472108,Q869,RESIDES_IN,Location
Q276557,Q869,RESIDES_IN,Location
Q6636924,Q869,RESIDES_IN,Location
Q782537,Q869,RESIDES_IN,Location
Q806483,Q869,RESIDES_IN,Location
Q62083729,Q869,RESIDES_IN,Location
Q48989823,Q869,RESIDES_IN,Location
Q67765140,Q869,RESIDES_IN,Location
Q1527826,Q869,RESIDES_IN,Location
Q109564605,Q869,RESIDES_IN,Location
Q56759840,Q869,RESIDES_IN,Location
Q6579719,Q869,RESIDES_IN,Location
Q35980843,Q869,RESIDES_IN,Location
Q66658603,Q869,RESIDES_IN,Location
Q111672589,Q869,RESIDES_IN,Location
Q113086389,Q869,RESIDES_IN,Location
Q55589884,Q869,RESIDES_IN,Location
Q2413520,Q869,RESIDES_IN,Location
