,company.type,company.value,owner.type,owner.value,acquiredate.datatype,acquiredate.type,acquiredate.value
0,uri,http://www.wikidata.org/entity/Q53227,uri,http://www.wikidata.org/entity/Q463094,,,
1,uri,http://www.wikidata.org/entity/Q1150302,uri,http://www.wikidata.org/entity/Q51756,,,
2,uri,http://www.wikidata.org/entity/Q10566880,uri,http://www.wikidata.org/entity/Q51756,,,
3,uri,http://www.wikidata.org/entity/Q15434492,uri,http://www.wikidata.org/entity/Q51756,,,
4,uri,http://www.wikidata.org/entity/Q113691064,uri,http://www.wikidata.org/entity/Q186012,,,
5,uri,http://www.wikidata.org/entity/Q186012,uri,http://www.wikidata.org/entity/Q633839,,,
6,uri,http://www.wikidata.org/entity/Q701761,uri,http://www.wikidata.org/entity/Q715113,,,
7,uri,http://www.wikidata.org/entity/Q10566880,uri,http://www.wikidata.org/entity/Q701761,,,
8,uri,http://www.wikidata.org/entity/Q10915446,uri,http://www.wikidata.org/entity/Q5964699,,,
9,uri,http://www.wikidata.org/entity/Q11063876,uri,http://www.wikidata.org/entity/Q4642867,,,
10,uri,http://www.wikidata.org/entity/Q28416350,uri,http://www.wikidata.org/entity/Q4642867,,,
11,uri,http://www.wikidata.org/entity/Q108909041,uri,http://www.wikidata.org/entity/Q746413,http://www.w3.org/2001/XMLSchema#dateTime,literal,2013-01-01T00:00:00Z
12,uri,http://www.wikidata.org/entity/Q4044531,uri,http://www.wikidata.org/entity/Q746413,http://www.w3.org/2001/XMLSchema#dateTime,literal,2001-01-01T00:00:00Z
13,uri,http://www.wikidata.org/entity/Q48976578,uri,http://www.wikidata.org/entity/Q746413,http://www.w3.org/2001/XMLSchema#dateTime,literal,2022-06-01T00:00:00Z
14,uri,http://www.wikidata.org/entity/Q4892016,uri,http://www.wikidata.org/entity/Q746413,http://www.w3.org/2001/XMLSchema#dateTime,literal,2017-08-02T00:00:00Z
15,uri,http://www.wikidata.org/entity/Q715113,uri,http://www.wikidata.org/entity/Q711850,,,
16,uri,http://www.wikidata.org/entity/Q5071627,uri,http://www.wikidata.org/entity/Q709259,,,
17,uri,http://www.wikidata.org/entity/Q5071627,uri,http://www.wikidata.org/entity/Q709757,,,
18,uri,http://www.wikidata.org/entity/Q5071627,uri,http://www.wikidata.org/entity/Q11602128,,,
19,uri,http://www.wikidata.org/entity/Q6136958,uri,http://www.wikidata.org/entity/Q30946058,,,
20,uri,http://www.wikidata.org/entity/Q10883132,uri,http://www.wikidata.org/entity/Q30326392,,,
21,uri,http://www.wikidata.org/entity/Q28064765,uri,http://www.wikidata.org/entity/Q28064765,,,
22,uri,http://www.wikidata.org/entity/Q52667636,uri,http://www.wikidata.org/entity/Q746413,,,
23,uri,http://www.wikidata.org/entity/Q67934746,uri,http://www.wikidata.org/entity/Q697293,,,
24,uri,http://www.wikidata.org/entity/Q67934746,uri,http://www.wikidata.org/entity/Q5100191,,,
25,uri,http://www.wikidata.org/entity/Q67934746,uri,http://www.wikidata.org/entity/Q5434486,,,
26,uri,http://www.wikidata.org/entity/Q67934746,uri,http://www.wikidata.org/entity/Q5943259,,,
27,uri,http://www.wikidata.org/entity/Q67934746,uri,http://www.wikidata.org/entity/Q15927195,,,
