,company.type,company.value,owner.type,owner.value
0,uri,http://www.wikidata.org/entity/Q513457,uri,http://www.wikidata.org/entity/Q513457
1,uri,http://www.wikidata.org/entity/Q579747,uri,http://www.wikidata.org/entity/Q579747
2,uri,http://www.wikidata.org/entity/Q5270729,uri,http://www.wikidata.org/entity/Q5270729
3,uri,http://www.wikidata.org/entity/Q5446777,uri,http://www.wikidata.org/entity/Q5446777
4,uri,http://www.wikidata.org/entity/Q5452342,uri,http://www.wikidata.org/entity/Q5452342
5,uri,http://www.wikidata.org/entity/Q7537673,uri,http://www.wikidata.org/entity/Q7537673
6,uri,http://www.wikidata.org/entity/Q7885401,uri,http://www.wikidata.org/entity/Q7885401
7,uri,http://www.wikidata.org/entity/Q105699439,uri,http://www.wikidata.org/entity/Q104522362
8,uri,http://www.wikidata.org/entity/Q106600361,uri,http://www.wikidata.org/entity/Q104522362
9,uri,http://www.wikidata.org/entity/Q527612,uri,http://www.wikidata.org/entity/Q527612
10,uri,http://www.wikidata.org/entity/Q3341382,uri,http://www.wikidata.org/entity/Q3341382
11,uri,http://www.wikidata.org/entity/Q5978240,uri,http://www.wikidata.org/entity/Q5978240
12,uri,http://www.wikidata.org/entity/Q7767316,uri,http://www.wikidata.org/entity/Q7767316
13,uri,http://www.wikidata.org/entity/Q7914812,uri,http://www.wikidata.org/entity/Q7914812
14,uri,http://www.wikidata.org/entity/Q17109416,uri,http://www.wikidata.org/entity/Q17109416
15,uri,http://www.wikidata.org/entity/Q21485092,uri,http://www.wikidata.org/entity/Q21485092
