,company.type,company.value,owner.type,owner.value,acquiredate.datatype,acquiredate.type,acquiredate.value
0,uri,http://www.wikidata.org/entity/Q56230193,uri,http://www.wikidata.org/entity/Q215392,,,
1,uri,http://www.wikidata.org/entity/Q56405371,uri,http://www.wikidata.org/entity/Q215392,,,
2,uri,http://www.wikidata.org/entity/Q1504847,uri,http://www.wikidata.org/entity/Q1309851,http://www.w3.org/2001/XMLSchema#dateTime,literal,1998-01-01T00:00:00Z
3,uri,http://www.wikidata.org/entity/Q389458,uri,http://www.wikidata.org/entity/Q1309851,http://www.w3.org/2001/XMLSchema#dateTime,literal,1996-05-02T00:00:00Z
4,uri,http://www.wikidata.org/entity/Q8061,uri,http://www.wikidata.org/entity/Q845632,http://www.w3.org/2001/XMLSchema#dateTime,literal,2019-01-01T00:00:00Z
5,uri,http://www.wikidata.org/entity/Q11962699,uri,http://www.wikidata.org/entity/Q819558,http://www.w3.org/2001/XMLSchema#dateTime,literal,2005-01-01T00:00:00Z
6,uri,http://www.wikidata.org/entity/Q1302944,uri,http://www.wikidata.org/entity/Q970769,,,
7,uri,http://www.wikidata.org/entity/Q1374315,uri,http://www.wikidata.org/entity/Q970769,,,
8,uri,http://www.wikidata.org/entity/Q1632461,uri,http://www.wikidata.org/entity/Q970769,,,
9,uri,http://www.wikidata.org/entity/Q2298492,uri,http://www.wikidata.org/entity/Q970769,,,
10,uri,http://www.wikidata.org/entity/Q3197950,uri,http://www.wikidata.org/entity/Q970769,,,
11,uri,http://www.wikidata.org/entity/Q3280364,uri,http://www.wikidata.org/entity/Q970769,,,
12,uri,http://www.wikidata.org/entity/Q3391735,uri,http://www.wikidata.org/entity/Q970769,,,
13,uri,http://www.wikidata.org/entity/Q15139453,uri,http://www.wikidata.org/entity/Q215392,,,
14,uri,http://www.wikidata.org/entity/Q55595435,uri,http://www.wikidata.org/entity/Q970769,,,
15,uri,http://www.wikidata.org/entity/Q79977467,uri,http://www.wikidata.org/entity/Q1309851,,,
16,uri,http://www.wikidata.org/entity/Q293572,uri,http://www.wikidata.org/entity/Q1309851,,,
17,uri,http://www.wikidata.org/entity/Q388841,uri,http://www.wikidata.org/entity/Q1309851,,,
18,uri,http://www.wikidata.org/entity/Q643177,uri,http://www.wikidata.org/entity/Q1309851,,,
19,uri,http://www.wikidata.org/entity/Q688785,uri,http://www.wikidata.org/entity/Q417431,,,
20,uri,http://www.wikidata.org/entity/Q1479263,uri,http://www.wikidata.org/entity/Q1309851,,,
21,uri,http://www.wikidata.org/entity/Q7000460,uri,http://www.wikidata.org/entity/Q83825,,,
22,uri,http://www.wikidata.org/entity/Q17050121,uri,http://www.wikidata.org/entity/Q1771628,,,
23,uri,http://www.wikidata.org/entity/Q19382469,uri,http://www.wikidata.org/entity/Q190238,,,
24,uri,http://www.wikidata.org/entity/Q21139295,uri,http://www.wikidata.org/entity/Q1309851,,,
25,uri,http://www.wikidata.org/entity/Q22811612,uri,http://www.wikidata.org/entity/Q215392,,,
26,uri,http://www.wikidata.org/entity/Q29017831,uri,http://www.wikidata.org/entity/Q215392,,,
27,uri,http://www.wikidata.org/entity/Q29017875,uri,http://www.wikidata.org/entity/Q215392,,,
28,uri,http://www.wikidata.org/entity/Q42512186,uri,http://www.wikidata.org/entity/Q1771628,,,
29,uri,http://www.wikidata.org/entity/Q60456802,uri,http://www.wikidata.org/entity/Q215392,,,
30,uri,http://www.wikidata.org/entity/Q936563,uri,http://www.wikidata.org/entity/Q842108,,,
31,uri,http://www.wikidata.org/entity/Q1155797,uri,http://www.wikidata.org/entity/Q845632,,,
32,uri,http://www.wikidata.org/entity/Q1784973,uri,http://www.wikidata.org/entity/Q845632,,,
33,uri,http://www.wikidata.org/entity/Q11993855,uri,http://www.wikidata.org/entity/Q6515085,,,
34,uri,http://www.wikidata.org/entity/Q16255869,uri,http://www.wikidata.org/entity/Q215639,,,
35,uri,http://www.wikidata.org/entity/Q19397877,uri,http://www.wikidata.org/entity/Q1761865,,,
36,uri,http://www.wikidata.org/entity/Q19978157,uri,http://www.wikidata.org/entity/Q6515085,,,
37,uri,http://www.wikidata.org/entity/Q24035910,uri,http://www.wikidata.org/entity/Q845632,,,
38,uri,http://www.wikidata.org/entity/Q643177,uri,http://www.wikidata.org/entity/Q1479263,,,
39,uri,http://www.wikidata.org/entity/Q4355084,uri,http://www.wikidata.org/entity/Q1681145,,,
40,uri,http://www.wikidata.org/entity/Q4891601,uri,http://www.wikidata.org/entity/Q1681145,,,
41,uri,http://www.wikidata.org/entity/Q11959918,uri,http://www.wikidata.org/entity/Q4891601,,,
42,uri,http://www.wikidata.org/entity/Q20857751,uri,http://www.wikidata.org/entity/Q99525174,,,
43,uri,http://www.wikidata.org/entity/Q25424437,uri,http://www.wikidata.org/entity/Q6515085,,,
