owned_id,owner_id,date
Q5430190,Q16999054,2018-12-07T00:00:00Z
Q4997829,Q908144,
Q5012733,Q1200904,
Q96016136,Q61930516,
Q24939514,Q1200904,2022-01-01T00:00:00Z
Q4856817,Q285328,2008-10-08T00:00:00Z
Q1606050,Q2031726,2008-01-01T00:00:00Z
Q79929572,Q2031726,2007-01-01T00:00:00Z
Q117433,Q32491,
Q767627,Q32491,
Q108278820,Q108279449,
Q108280420,Q108279449,
Q108280445,Q108279449,
Q116771375,Q4849261,
Q119444659,Q96412731,
Q297214,Q285328,
Q295862,Q714641,
Q1619253,Q1479654,
Q4314912,Q1075994,
Q4546499,Q1064071,
Q4856151,Q2031726,
Q6811908,Q319078,
Q22079626,Q1075994,
Q98599338,Q7939276,
Q111081969,Q6177098,
Q343225,Q292374,
Q343225,Q6177098,
Q806687,Q1430985,
Q1327775,Q862718,
Q2283837,Q908144,
Q727697,Q56273715,
Q2588605,Q7836817,
Q6421682,Q908144,
Q6552220,Q7836817,
Q7569821,Q1200904,
Q7685854,Q908144,
Q7671152,Q7939276,
Q16252604,Q7671152,
Q23023711,Q5322604,
Q1522899,Q781365,
Q2818999,Q781365,
Q4546646,Q781365,
Q4546705,Q781365,
Q4548278,Q781365,
Q4641741,Q781365,
Q4642168,Q781365,
Q4642975,Q781365,
Q4643141,Q781365,
Q4643638,Q781365,
Q4645772,Q781365,
Q4645884,Q781365,
Q4646125,Q781365,
Q4646280,Q781365,
Q4650138,Q781365,
Q4650136,Q781365,
Q4650137,Q781365,
Q4650143,Q781365,
Q4650151,Q781365,
Q4650157,Q781365,
Q4650160,Q781365,
Q4650206,Q781365,
Q4650211,Q781365,
Q4650213,Q781365,
Q4650223,Q781365,
Q4650239,Q781365,
Q4650236,Q781365,
Q4650240,Q781365,
Q4650256,Q781365,
Q4650257,Q781365,
Q4650264,Q781365,
Q4650270,Q781365,
Q4650271,Q781365,
Q7280922,Q781365,
Q7884139,Q781365,
Q14934746,Q781365,
Q14934747,Q781365,
Q14934748,Q781365,
Q1055882,Q7418330,
Q2092499,Q2092490,
Q3312221,Q23023711,
Q1432195,Q16999054,
Q6502903,Q683146,
Q18643770,Q16999054,
Q24191331,Q3403196,
Q5829004,Q1200904,
Q6422005,Q1479654,2019-01-01T00:00:00Z
Q7079486,Q908144,
Q7258927,Q1200904,
Q7278004,Q862718,
Q7600946,Q1142936,
Q7800671,Q16999054,
Q7932815,Q908144,
Q15995238,Q1200904,
Q16989244,Q1479654,2021-12-01T00:00:00Z
Q18166370,Q28224393,
Q21404084,Q21404084,
Q24895941,Q21404084,2014-12-01T00:00:00Z
Q30598508,Q1816526,
Q64326907,Q61930516,
Q64328922,Q61930516,
Q64329386,Q61930516,
Q65090427,Q7380542,
Q87159815,Q4748528,
Q97968817,Q1200904,
Q104636302,Q18357355,
Q107657589,Q1816526,
