owned_id,owner_id,date
Q11349102,Q499071,
Q111043023,Q271413,
Q11527757,Q513679,
Q11602894,Q83538,
Q15715712,Q2115012,
Q15955248,Q973054,2017-01-01T00:00:00Z
Q16989244,Q1479654,2021-12-01T00:00:00Z
Q17056197,Q53268,
Q17219616,Q11320256,
Q17219445,Q1407078,
Q18455742,Q201653,
Q19839171,Q1189945,
Q20651008,Q8093,
Q22812960,Q848490,
Q24836652,Q207784,
Q30343919,Q8093,
Q65556946,Q1365015,
Q65233332,Q11304138,
Q107618413,Q770328,
Q111116584,Q11312063,
Q111117192,Q11312063,
Q111977364,Q770328,
Q87724117,Q11253593,
Q92599119,Q11253593,
Q11363306,Q11362596,
Q11415798,Q30850,
Q8190558,Q499071,
Q10851158,Q513679,
Q11566124,Q30850,
Q11526982,Q1332242,
Q11527949,Q83584,
