owned_id,owner_id,date
Q47813586,Q142348,
Q47813586,Q218765,
Q47813586,Q742587,
Q47813586,Q815748,
Q47813586,Q923193,
Q47813586,Q2408451,
Q47813586,Q3088647,
Q47813586,Q3211144,
Q19704710,Q188273,2016-01-01T00:00:00Z
Q104529353,Q59222994,
Q109932485,Q59222994,
Q87940280,Q212599,
Q19906,Q2120364,
Q2110465,Q270363,
Q51135597,Q504998,
Q3078567,Q3006236,
Q1455437,Q642627,
Q20744004,Q499707,
Q1411372,Q806941,
Q30085423,Q499707,2002-01-01T00:00:00Z
Q1583701,Q270363,
Q57657789,Q57657260,
Q57657934,Q57657260,
Q21605526,Q13646,
Q93090957,Q13646,
Q97172588,Q13646,
Q2689639,Q3117359,
Q55221138,Q3117359,
Q61959392,Q3060526,
Q105306275,Q3059202,
Q157974,Q504998,
Q2420096,Q2670967,
Q2940187,Q3117359,
Q274,Q504998,
Q98278043,Q3153200,
Q1066858,Q504998,
Q109414146,Q499707,
Q16668220,Q1431486,
Q111716870,Q2925142,
Q114007642,Q114054681,
Q3027831,Q1127887,
Q191485,Q504998,
Q3866664,Q1365773,
Q894874,Q931207,
Q13882231,Q931207,
Q28496959,Q131005,
Q12162653,Q806575,
Q2530120,Q3117359,
Q112175059,Q112181654,
Q112181644,Q112181654,
Q112181879,Q112181654,
Q1653380,Q13646,
Q115236626,Q87071060,
Q2825393,Q806575,
Q5527684,Q913462,
Q688893,Q309084,
Q688893,Q309084,2021-01-01T00:00:00Z
Q500799,Q188273,
Q695299,Q188273,
Q846884,Q188273,
Q945060,Q188273,
Q1947354,Q1127887,
Q1466613,Q188273,2008-01-01T00:00:00Z
Q2868739,Q3117359,
Q2083518,Q188273,
Q2353010,Q859575,
Q3087263,Q188273,
Q3547650,Q188273,
Q4052312,Q188273,
Q15070370,Q188273,
Q111390901,Q212599,
Q107257663,Q188273,
Q107358425,Q689093,2018-12-01T00:00:00Z
Q107215601,Q188273,
Q107215620,Q188273,
Q56666057,Q3117481,
Q69529331,Q3117481,
Q59187,Q97439162,2021-01-16T00:00:00Z
Q35962,Q97439162,
Q98930155,Q6686,
Q55074950,Q664399,
Q3347517,Q1431486,
Q3347517,Q2663746,
Q97366585,Q2663746,
Q71022064,Q63335,
Q108232933,Q63335,
Q6746,Q97439162,
