owned_id,owner_id,date
Q117043738,Q157617,
Q463494,Q21096327,
Q1619253,Q1479654,
Q1076074,Q21096327,
Q2135877,Q59165,
Q21096327,Q127005,
Q180419,Q21096327,2015-01-01T00:00:00Z
Q680214,Q680214,2016-01-01T00:00:00Z
Q108250509,Q487292,
Q191269,Q680090,
Q541909,Q166637,
Q180419,Q21096327,
Q880568,Q680090,
Q1066989,Q156913,
Q1665030,Q680090,
Q2136144,Q659320,
Q6387088,Q671990,
Q14552531,Q541909,
Q15852339,Q2124721,
Q21969102,Q821856,
Q170127,Q879018,2013-01-01T00:00:00Z
Q44353,Q552912,
Q44353,Q9322,
Q94695026,Q48781517,2019-01-01T00:00:00Z
Q327634,Q9396,
Q425956,Q9396,
Q470412,Q680090,
Q1681243,Q680090,
Q309867,Q19951610,
Q122590961,Q135992,
Q66731094,Q156913,
Q49653,Q158948,1992-01-01T00:00:00Z
Q3045727,Q270223,
Q153770,Q49653,
Q5944134,Q153770,
Q1004951,Q586581,2009-01-01T00:00:00Z
Q1019662,Q2510139,2017-01-01T00:00:00Z
Q1661918,Q21096327,2015-01-01T00:00:00Z
Q1750561,Q1204376,
Q1796710,Q1204376,2001-01-01T00:00:00Z
Q2908540,Q156913,
Q2908540,Q156913,2019-01-01T00:00:00Z
Q1253717,Q312653,
Q6502903,Q683146,
Q15789039,Q459029,
Q122801434,Q2510139,2017-01-01T00:00:00Z
Q2328468,Q644304,
Q17592555,Q1882061,2004-05-01T00:00:00Z
Q62390177,Q701755,
Q1022827,Q701755,
Q2052213,Q570747,
Q2543504,Q659320,
Q458944,Q9396,
Q470696,Q9396,
Q540733,Q9396,
Q593786,Q9396,
Q4682711,Q3895,
Q5322942,Q327634,
Q1134915,Q553658,
Q1254151,Q705361,
Q57450576,Q701755,
Q57519344,Q16968817,
Q76504823,Q659320,
Q76504823,Q2381223,
Q108403242,Q875796,
Q135992,Q95988259,
Q118074688,Q1686071,
Q520524,Q502698,
Q481536,Q156913,
Q744182,Q156913,
Q43079454,Q2135877,
Q61195304,Q163560,
Q798891,Q451814,
Q1113764,Q157617,
Q902027,Q561418,
Q1811384,Q2124721,
Q2124721,Q270223,
Q2506364,Q644304,
Q16854888,Q644304,
Q1203255,Q152106,1995-01-31T00:00:00Z
Q1583701,Q466688,
Q7380124,Q3895,
Q552912,Q9322,
Q589575,Q651946,2022-01-01T00:00:00Z
Q55499626,Q15712258,
Q64212458,Q30644989,
Q300632,Q322598,
Q879858,Q701755,
Q5447158,Q552581,2014-03-01T00:00:00Z
Q1750581,Q701755,
Q16968817,Q573266,
Q85224313,Q573266,
Q5894768,Q2516698,
Q200491,Q156913,
Q2442970,Q573266,
Q2408854,Q2516698,2016-01-01T00:00:00Z
Q2239261,Q18287350,
Q124377743,Q1273411,
Q9325,Q62589018,
Q164222,Q9325,2017-12-01T00:00:00Z
Q153571,Q62589018,
Q155038,Q9325,2005-01-01T00:00:00Z
Q153571,Q62589018,2017-01-09T00:00:00Z
