owned_id,owner_id,date
Q1389535,Q647462,2012-04-20T00:00:00Z
Q672934,Q168238,
Q672349,Q262386,
Q1755034,Q168238,
Q877547,Q70339467,
Q56388481,Q70339467,
Q1685091,Q681316,2008-01-01T00:00:00Z
Q7969414,Q555273,2019-01-01T00:00:00Z
Q7541907,Q1310001,2001-01-01T00:00:00Z
Q65044269,Q1457468,2020-11-01T00:00:00Z
Q341100,Q1310001,2018-01-01T00:00:00Z
Q341100,Q1310001,
Q106195741,Q1457468,
Q108266482,Q877006,
Q293586,Q262386,
Q279847,Q688755,
Q677273,Q1457468,
Q696867,Q1310001,
Q826186,Q688755,
Q806149,Q1310001,
Q972745,Q1457468,
Q1458317,Q1457468,
Q5647718,Q1457468,
Q6502903,Q683146,
Q16696876,Q877006,
Q23253782,Q1457468,
Q51074647,Q107483089,
Q57550022,Q1823138,
Q101000846,Q1735474,
Q115972319,Q1763505,
Q115972600,Q1763505,
Q115972849,Q1763505,
Q310481,Q477875,
Q553658,Q555273,
Q1458317,Q555273,
Q1888809,Q688755,
Q1941592,Q688755,
Q2127541,Q2127528,
Q3919658,Q2127528,
Q4389243,Q2127528,
Q7283806,Q2127528,
Q7283807,Q2127528,
Q16522506,Q2127528,
Q18619118,Q555273,
Q24282825,Q2127528,
