owned_id,owner_id,date
Q104905694,Q671465,
Q217623,Q1636545,
Q1827419,Q210534,
Q1947144,Q1636545,
Q2288463,Q1562826,
Q2390965,Q1636545,
Q2529835,Q122141,
Q2529841,Q122141,
Q3269655,Q1318049,
Q7766168,Q546976,
Q471958,Q7186887,2018-01-01T00:00:00Z
Q667886,Q568642,2021-12-16T00:00:00Z
Q1562664,Q1562826,2009-01-01T00:00:00Z
Q1746945,Q643626,2022-01-11T00:00:00Z
Q2717882,Q1424962,2003-01-01T00:00:00Z
Q17509697,Q251266,2012-01-01T00:00:00Z
Q48976578,Q746413,2022-06-01T00:00:00Z
Q650467,Q1562826,2011-01-01T00:00:00Z
Q96076302,Q487494,
Q295261,Q190464,
Q304769,Q152057,
Q465952,Q152057,
Q471891,Q541451,
Q846031,Q122141,
Q1540525,Q122141,
Q1856518,Q122141,
Q2529830,Q122141,
Q4352110,Q122141,
Q5322942,Q593786,
Q7939276,Q122141,
Q7939294,Q122141,
Q55640416,Q122141,
Q282903,Q1044059,
Q293469,Q1044059,
Q656554,Q1044059,
Q730587,Q1044059,
Q745700,Q1044059,
Q1136349,Q1044059,
Q1624735,Q1044059,
Q1759468,Q1044059,
Q20539284,Q494917,
Q313882,Q157062,2000-01-01T00:00:00Z
Q1560372,Q122141,2014-04-01T00:00:00Z
Q3070672,Q1636545,2010-01-01T00:00:00Z
Q20756653,Q122141,2020-01-01T00:00:00Z
Q4015982,Q122141,2001-01-01T00:00:00Z
Q7963123,Q30688042,2021-01-01T00:00:00Z
Q590271,Q245343,
Q689059,Q152096,
Q795933,Q154950,
Q806680,Q190464,
Q816412,Q157062,
Q1134915,Q553658,
Q1325951,Q494917,
Q1575470,Q190464,
Q1619376,Q157062,
Q2319266,Q161140,
Q13218434,Q152096,
Q21008564,Q4943180,
Q28939648,Q494917,
Q2248698,Q1318049,2011-01-01T00:00:00Z
Q3486990,Q122141,2005-01-01T00:00:00Z
Q6414654,Q5258868,
Q87715158,Q1318049,
Q108049683,Q1424962,
Q221986,Q1105124,
Q966971,Q683098,
Q1049970,Q152057,
Q1017062,Q1318049,
Q1432506,Q138133,
Q1640639,Q122141,
Q1656673,Q122141,
Q1784943,Q122141,
Q1825730,Q1424962,
Q2717882,Q1424962,
Q2746220,Q1424962,
Q2925725,Q259013,
Q3250375,Q1424962,
Q5032010,Q1424962,
Q5476491,Q4633377,
Q5880423,Q1424962,
Q5911596,Q1424962,
Q7605116,Q1424962,
Q30133334,Q7168181,
Q60750454,Q1424962,
Q110062785,Q680946,
Q1379710,Q641555,
Q5035441,Q5570585,
Q52667636,Q746413,
Q192632,Q3146794,
Q2647037,Q2108217,
Q3567082,Q861799,
Q5000795,Q30688042,2021-01-01T00:00:00Z
Q954828,Q880582,
Q1076074,Q2108217,
Q1619253,Q1479654,
Q3246464,Q16980420,
Q6369889,Q30688042,
Q14463124,Q494917,
Q19870995,Q7235675,
