owned_id,owner_id,date
Q108909041,Q746413,2013-01-01T00:00:00Z
Q4044531,Q746413,2001-01-01T00:00:00Z
Q48976578,Q746413,2022-06-01T00:00:00Z
Q5058164,Q746413,1999-04-01T00:00:00Z
Q4892016,Q746413,2017-08-02T00:00:00Z
Q1150302,Q51756,
Q73421997,Q463094,
Q10566880,Q51756,
Q15434492,Q51756,
Q124499942,Q124499879,
Q701761,Q715113,
Q2571518,Q746413,
Q4811943,Q152864,
Q4892016,Q746413,
Q5071627,Q709259,
Q5071627,Q1307619,
Q10566880,Q701761,
Q10915446,Q5964699,
Q11063876,Q4642867,
Q28416350,Q4642867,
Q52667636,Q746413,
Q55639089,Q152864,
Q67934746,Q5434486,
Q67934746,Q5943259,
Q53227,Q463094,2016-04-02T00:00:00Z
Q300784,Q152864,2011-01-01T00:00:00Z
Q99541396,Q4207171,
Q113691064,Q186012,
Q93894,Q152864,
Q186012,Q633839,
Q715113,Q711850,
Q697293,Q4207171,
Q3943583,Q703248,
Q5014664,Q699106,
Q5014619,Q707546,
Q5071627,Q709757,
Q5071627,Q11602128,
Q6136958,Q30946058,
Q7121040,Q712020,
Q10876575,Q717531,
Q11103574,Q5330522,
Q11103579,Q5330522,
Q10883132,Q30326392,
Q15911098,Q699106,
Q15942047,Q4207171,
Q15933515,Q7968116,
Q28064765,Q28064765,
Q67934746,Q697293,
Q67934746,Q5100191,
Q67934746,Q15927195,
