,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,employees.datatype,employees.type,employees.value,officialname.xml:lang,officialname.type,officialname.value,country
0,uri,http://www.wikidata.org/entity/Q17061030,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q1033,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q1024647,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,4000,en,literal,Jumia,wd:Q114
1,uri,http://www.wikidata.org/entity/Q5416938,en,literal,Eveready East Africa,http://www.w3.org/2001/XMLSchema#dateTime,literal,1967-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q114,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3870,literal,,,,,,,,wd:Q114
2,uri,http://www.wikidata.org/entity/Q30667942,en,literal,K24,,,,uri,http://www.wikidata.org/entity/Q114,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q114
3,uri,http://www.wikidata.org/entity/Q17061030,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q1036,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q1024647,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,4000,en,literal,Jumia,wd:Q114
4,uri,http://www.wikidata.org/entity/Q7398410,en,literal,Safaricom,http://www.w3.org/2001/XMLSchema#dateTime,literal,1997-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q114,literal,"http://www.wikidata.org/entity/Q56598901, http://www.wikidata.org/entity/Q25245117",literal,,literal,,literal,http://www.wikidata.org/entity/Q3870,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,3000,,,,wd:Q114
5,uri,http://www.wikidata.org/entity/Q17061030,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q1041,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q1024647,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,4000,en,literal,Jumia,wd:Q114
6,uri,http://www.wikidata.org/entity/Q4853463,en,literal,Bamburi Cement,http://www.w3.org/2001/XMLSchema#dateTime,literal,1951-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q114,literal,http://www.wikidata.org/entity/Q385378,literal,,literal,,literal,http://www.wikidata.org/entity/Q3870,literal,,,,,,,,wd:Q114
7,uri,http://www.wikidata.org/entity/Q17061030,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q79,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q1024647,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,4000,en,literal,Jumia,wd:Q114
8,uri,http://www.wikidata.org/entity/Q5331123,en,literal,Nation FM,http://www.w3.org/2001/XMLSchema#dateTime,literal,2002-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q114,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q114
9,uri,http://www.wikidata.org/entity/Q123472713,en,literal,Twiga Foods,http://www.w3.org/2001/XMLSchema#dateTime,literal,2014-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q114,literal,"http://www.wikidata.org/entity/Q2294553, http://www.wikidata.org/entity/Q1295201, http://www.wikidata.org/entity/Q179310, http://www.wikidata.org/entity/Q11451",literal,http://www.wikidata.org/entity/Q116672570,literal,,literal,http://www.wikidata.org/entity/Q3870,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,18000,mul,literal,Twiga Foods Ltd.,wd:Q114
10,uri,http://www.wikidata.org/entity/Q1665444,en,literal,The New Humanitarian,http://www.w3.org/2001/XMLSchema#dateTime,literal,1994-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q114,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3870,literal,,,,,,,,wd:Q114
11,uri,http://www.wikidata.org/entity/Q122672981,en,literal,Ceuvoe Group,http://www.w3.org/2001/XMLSchema#dateTime,literal,2018-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q114,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q693093,literal,,,,,,,,wd:Q114
12,uri,http://www.wikidata.org/entity/Q24236287,en,literal,Scott Christian University,http://www.w3.org/2001/XMLSchema#dateTime,literal,1989-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q114,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q114
13,uri,http://www.wikidata.org/entity/Q638900,en,literal,Kenya Airways,http://www.w3.org/2001/XMLSchema#dateTime,literal,1977-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q114,literal,,literal,http://www.wikidata.org/entity/Q7810321,literal,,literal,http://www.wikidata.org/entity/Q5369414,literal,,,,,,,,wd:Q114
14,uri,http://www.wikidata.org/entity/Q28134152,en,literal,SportPesa,http://www.w3.org/2001/XMLSchema#dateTime,literal,2014-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q114,literal,,literal,http://www.wikidata.org/entity/Q65847532,literal,,literal,http://www.wikidata.org/entity/Q3870,literal,,,,,,,,wd:Q114
15,uri,http://www.wikidata.org/entity/Q18358469,en,literal,BitPesa,http://www.w3.org/2001/XMLSchema#dateTime,literal,2013-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q114,literal,http://www.wikidata.org/entity/Q20514253,literal,,literal,,literal,http://www.wikidata.org/entity/Q3870,literal,,,,,,,,wd:Q114
16,uri,http://www.wikidata.org/entity/Q1434496,en,literal,Fly540,http://www.w3.org/2001/XMLSchema#dateTime,literal,2006-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q114,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3870,literal,,,,,,,,wd:Q114
17,uri,http://www.wikidata.org/entity/Q24236287,en,literal,Scott Christian University,http://www.w3.org/2001/XMLSchema#dateTime,literal,1962-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q114,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q114
18,uri,http://www.wikidata.org/entity/Q16958562,en,literal,Citizen TV,http://www.w3.org/2001/XMLSchema#dateTime,literal,1999-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q114,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3870,literal,,,,,,,,wd:Q114
19,uri,http://www.wikidata.org/entity/Q3431904,en,literal,Rift Valley Railways Consortium,http://www.w3.org/2001/XMLSchema#dateTime,literal,2005-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q1036,literal,http://www.wikidata.org/entity/Q3565868,literal,,literal,,literal,http://www.wikidata.org/entity/Q3870,literal,,,,,,,,wd:Q114
20,uri,http://www.wikidata.org/entity/Q120783615,en,literal,Goodlife Pharmacy,,,,uri,http://www.wikidata.org/entity/Q114,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3870,literal,,,,,,,,wd:Q114
21,uri,http://www.wikidata.org/entity/Q17061030,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q114,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q1024647,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,4000,en,literal,Jumia,wd:Q114
22,uri,http://www.wikidata.org/entity/Q4646193,en,literal,98.4 Capital FM,http://www.w3.org/2001/XMLSchema#dateTime,literal,1996-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q114,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q114
23,uri,http://www.wikidata.org/entity/Q17061030,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q948,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q1024647,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,4000,en,literal,Jumia,wd:Q114
24,uri,http://www.wikidata.org/entity/Q6959786,en,literal,Nairobi Java House,,,,uri,http://www.wikidata.org/entity/Q114,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q114
25,uri,http://www.wikidata.org/entity/Q6955529,en,literal,NTV,http://www.w3.org/2001/XMLSchema#dateTime,literal,1999-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q114,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3870,literal,,,,,,,,wd:Q114
26,uri,http://www.wikidata.org/entity/Q17061030,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q117,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q1024647,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,4000,en,literal,Jumia,wd:Q114
27,uri,http://www.wikidata.org/entity/Q16937029,en,literal,Pamoja FM,,,,uri,http://www.wikidata.org/entity/Q114,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q114
28,uri,http://www.wikidata.org/entity/Q6970049,en,literal,Nation Media Group,http://www.w3.org/2001/XMLSchema#dateTime,literal,1959-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q114,literal,http://www.wikidata.org/entity/Q11033,literal,http://www.wikidata.org/entity/Q37746087,literal,http://www.wikidata.org/entity/Q8001826,literal,http://www.wikidata.org/entity/Q3870,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,1400,,,,wd:Q114
29,uri,http://www.wikidata.org/entity/Q2510227,en,literal,Central Bank of Kenya,http://www.w3.org/2001/XMLSchema#dateTime,literal,1966-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q114,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3870,literal,,,,,,,,wd:Q114
30,uri,http://www.wikidata.org/entity/Q117160191,en,literal,Gamepawa,http://www.w3.org/2001/XMLSchema#dateTime,literal,2021-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q114,literal,http://www.wikidata.org/entity/Q11416,literal,,literal,,literal,,literal,,,,,,,,wd:Q114
31,uri,http://www.wikidata.org/entity/Q43897916,en,literal,Tuko.co.ke,http://www.w3.org/2001/XMLSchema#dateTime,literal,2015-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q114,literal,http://www.wikidata.org/entity/Q38926,literal,,literal,,literal,http://www.wikidata.org/entity/Q3870,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,20,,,,wd:Q114
32,uri,http://www.wikidata.org/entity/Q6392752,en,literal,Kenya Television Network,http://www.w3.org/2001/XMLSchema#dateTime,literal,1990-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q114,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3870,literal,,,,,,,,wd:Q114
33,uri,http://www.wikidata.org/entity/Q61971936,en,literal,Cloud9xp,,,,uri,http://www.wikidata.org/entity/Q114,literal,,literal,,literal,http://www.wikidata.org/entity/Q61970825,literal,,literal,,,,,,,,wd:Q114
34,uri,http://www.wikidata.org/entity/Q18164704,en,literal,East African Portland Cement Company,http://www.w3.org/2001/XMLSchema#dateTime,literal,1933-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q114,literal,http://www.wikidata.org/entity/Q385378,literal,,literal,,literal,http://www.wikidata.org/entity/Q4813647,literal,,,,,,,,wd:Q114
35,uri,http://www.wikidata.org/entity/Q5384664,en,literal,Equity Bank Kenya,http://www.w3.org/2001/XMLSchema#dateTime,literal,2014-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q114,literal,http://www.wikidata.org/entity/Q22687,literal,,literal,,literal,http://www.wikidata.org/entity/Q7898689,literal,,,,,,,,wd:Q114
36,uri,http://www.wikidata.org/entity/Q3431904,en,literal,Rift Valley Railways Consortium,http://www.w3.org/2001/XMLSchema#dateTime,literal,2005-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q114,literal,http://www.wikidata.org/entity/Q3565868,literal,,literal,,literal,http://www.wikidata.org/entity/Q3870,literal,,,,,,,,wd:Q114
37,uri,http://www.wikidata.org/entity/Q55605275,en,literal,Betika,http://www.w3.org/2001/XMLSchema#dateTime,literal,2016-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q114,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3870,literal,,,,,,,,wd:Q114
