,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,origindate.datatype,origindate.type,origindate.value,country
0,uri,http://www.wikidata.org/entity/Q118164921,en,literal,"PLANET Co., Ltd",uri,http://www.wikidata.org/entity/Q819,literal,,literal,,literal,,literal,,literal,,,,,wd:Q819
1,uri,http://www.wikidata.org/entity/Q122922491,en,literal,Indochina Research,uri,http://www.wikidata.org/entity/Q819,literal,"http://www.wikidata.org/entity/Q913709, http://www.wikidata.org/entity/Q49958",literal,,literal,,literal,http://www.wikidata.org/entity/Q1854,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1994-01-01T00:00:00Z,wd:Q819
2,uri,http://www.wikidata.org/entity/Q119691948,,literal,Q119691948,uri,http://www.wikidata.org/entity/Q819,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q15095962,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1975-12-02T00:00:00Z,wd:Q819
3,uri,http://www.wikidata.org/entity/Q122922491,en,literal,Indochina Research,uri,http://www.wikidata.org/entity/Q836,literal,"http://www.wikidata.org/entity/Q913709, http://www.wikidata.org/entity/Q49958",literal,,literal,,literal,http://www.wikidata.org/entity/Q1854,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1994-01-01T00:00:00Z,wd:Q819
4,uri,http://www.wikidata.org/entity/Q122922491,en,literal,Indochina Research,uri,http://www.wikidata.org/entity/Q424,literal,"http://www.wikidata.org/entity/Q913709, http://www.wikidata.org/entity/Q49958",literal,,literal,,literal,http://www.wikidata.org/entity/Q1854,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1994-01-01T00:00:00Z,wd:Q819
5,uri,http://www.wikidata.org/entity/Q122922491,en,literal,Indochina Research,uri,http://www.wikidata.org/entity/Q881,literal,"http://www.wikidata.org/entity/Q913709, http://www.wikidata.org/entity/Q49958",literal,,literal,,literal,http://www.wikidata.org/entity/Q1854,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1994-01-01T00:00:00Z,wd:Q819
6,uri,http://www.wikidata.org/entity/Q4739924,en,literal,Amantaka,uri,http://www.wikidata.org/entity/Q819,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2009-01-01T00:00:00Z,wd:Q819
7,uri,http://www.wikidata.org/entity/Q756172,en,literal,Lao Airlines,uri,http://www.wikidata.org/entity/Q819,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q9326,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1976-01-01T00:00:00Z,wd:Q819
