,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,employees.datatype,employees.type,employees.value,officialname.xml:lang,officialname.type,officialname.value,profit.datatype,profit.type,profit.value,country
0,uri,http://www.wikidata.org/entity/Q7190735,en,literal,Pick n Pay,http://www.w3.org/2001/XMLSchema#dateTime,literal,1967-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q1030,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q5179456,literal,,,,,,,,,,,wd:Q258
1,uri,http://www.wikidata.org/entity/Q111726588,en,literal,LocalSquare,,,,uri,http://www.wikidata.org/entity/Q258,literal,http://www.wikidata.org/entity/Q484847,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q258
2,uri,http://www.wikidata.org/entity/Q116431114,en,literal,Archive,,,,uri,http://www.wikidata.org/entity/Q258,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q258
3,uri,http://www.wikidata.org/entity/Q118399311,en,literal,Khula Agriculture Technology,,,,uri,http://www.wikidata.org/entity/Q258,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q34647,literal,,,,,,,,,,,wd:Q258
4,uri,http://www.wikidata.org/entity/Q111184141,en,literal,The Bulb World,http://www.w3.org/2001/XMLSchema#dateTime,literal,2017-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q258,literal,"http://www.wikidata.org/entity/Q210064, http://www.wikidata.org/entity/Q11650",literal,,literal,,literal,http://www.wikidata.org/entity/Q3919,literal,,,,,,,,,,,wd:Q258
5,uri,http://www.wikidata.org/entity/Q116290280,en,literal,Footgear,,,,uri,http://www.wikidata.org/entity/Q258,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q258
6,uri,http://www.wikidata.org/entity/Q7281014,en,literal,Radio Rosestad,http://www.w3.org/2001/XMLSchema#dateTime,literal,1995-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q258,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q258
7,uri,http://www.wikidata.org/entity/Q17103499,en,literal,MedicAlert,http://www.w3.org/2001/XMLSchema#dateTime,literal,1956-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q189,literal,http://www.wikidata.org/entity/Q870895,literal,,literal,,literal,http://www.wikidata.org/entity/Q1011205,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,18,,,,,,,wd:Q258
8,uri,http://www.wikidata.org/entity/Q3643144,en,literal,5FM,http://www.w3.org/2001/XMLSchema#dateTime,literal,1975-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q258,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q258
9,uri,http://www.wikidata.org/entity/Q17103499,en,literal,MedicAlert,http://www.w3.org/2001/XMLSchema#dateTime,literal,1956-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q229,literal,http://www.wikidata.org/entity/Q870895,literal,,literal,,literal,http://www.wikidata.org/entity/Q1011205,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,21,,,,,,,wd:Q258
10,uri,http://www.wikidata.org/entity/Q912920,en,literal,South African Reserve Bank,http://www.w3.org/2001/XMLSchema#dateTime,literal,1921-06-30T00:00:00Z,uri,http://www.wikidata.org/entity/Q258,literal,,literal,,literal,http://www.wikidata.org/entity/Q19666670,literal,http://www.wikidata.org/entity/Q59159622,literal,,,,,zu,literal,iBhange-ngodla laseNingizimu Afrika,,,,wd:Q258
11,uri,http://www.wikidata.org/entity/Q7939581,en,literal,Voice of the Cape,http://www.w3.org/2001/XMLSchema#dateTime,literal,1995-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q258,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q258
