,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,officialname.xml:lang,officialname.type,officialname.value,employees.datatype,employees.type,employees.value,profit.datatype,profit.type,profit.value,assets.datatype,assets.type,assets.value,equity.datatype,equity.type,equity.value,country
72,uri,http://www.wikidata.org/entity/Q7553274,en,literal,Sodimac,http://www.w3.org/2001/XMLSchema#dateTime,literal,1952-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q155,literal,http://www.wikidata.org/entity/Q26643,literal,,literal,,literal,http://www.wikidata.org/entity/Q2887,literal,,,,,,,,,,,,,,,,,wd:Q414
73,uri,http://www.wikidata.org/entity/Q56377600,en,literal,Súper Liga Americana de Rugby,http://www.w3.org/2001/XMLSchema#dateTime,literal,2020-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q414
74,uri,http://www.wikidata.org/entity/Q2876788,en,literal,BBVA Argentina,http://www.w3.org/2001/XMLSchema#dateTime,literal,1886-10-14T00:00:00Z,uri,http://www.wikidata.org/entity/Q30,literal,http://www.wikidata.org/entity/Q837171,literal,,literal,,literal,http://www.wikidata.org/entity/Q1486,literal,,,,,,,,,,,,,,,,,wd:Q414
75,uri,http://www.wikidata.org/entity/Q855988,en,literal,Super Rugby,http://www.w3.org/2001/XMLSchema#dateTime,literal,1996-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q664,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q414
76,uri,http://www.wikidata.org/entity/Q113027866,en,literal,Sony Music Argentina,,,,uri,http://www.wikidata.org/entity/Q414,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q414
77,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q717,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,es,literal,"Organización de Estados Iberoamericanos para la Educación, la Ciencia y la Cultura",,,,,,,,,,,,,wd:Q414
78,uri,http://www.wikidata.org/entity/Q5718035,en,literal,Supervielle,http://www.w3.org/2001/XMLSchema#dateTime,literal,1887-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,"http://www.wikidata.org/entity/Q1416657, http://www.wikidata.org/entity/Q837171, http://www.wikidata.org/entity/Q806718",literal,,literal,,literal,http://www.wikidata.org/entity/Q1486,literal,,,,,,,,,,,,,,,,,wd:Q414
79,uri,http://www.wikidata.org/entity/Q6979278,en,literal,National University of Tres de Febrero,http://www.w3.org/2001/XMLSchema#dateTime,literal,1995-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q414
80,uri,http://www.wikidata.org/entity/Q1053372,en,literal,Cencosud,http://www.w3.org/2001/XMLSchema#dateTime,literal,1960-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,"http://www.wikidata.org/entity/Q14484, http://www.wikidata.org/entity/Q2887",literal,,,,,,,,,,,,,,,,,wd:Q414
81,uri,http://www.wikidata.org/entity/Q6135978,en,literal,Supermercados Disco,http://www.w3.org/2001/XMLSchema#dateTime,literal,1961-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q44210,literal,,,,,,,,,,,,,,,,,wd:Q414
82,uri,http://www.wikidata.org/entity/Q380022,en,literal,Grupo Arcor,http://www.w3.org/2001/XMLSchema#dateTime,literal,1951-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,"http://www.wikidata.org/entity/Q540912, http://www.wikidata.org/entity/Q396622",literal,,literal,,literal,http://www.wikidata.org/entity/Q671062,literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,19700,,,,,,,,,,wd:Q414
83,uri,http://www.wikidata.org/entity/Q98561757,en,literal,El Ciudadano (Rosario),http://www.w3.org/2001/XMLSchema#dateTime,literal,1998-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q414
84,uri,http://www.wikidata.org/entity/Q265866,en,literal,Universidad Nacional del Litoral,http://www.w3.org/2001/XMLSchema#dateTime,literal,1889-10-16T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q414
85,uri,http://www.wikidata.org/entity/Q5918049,en,literal,Instituto de Botánica del Nordeste,http://www.w3.org/2001/XMLSchema#dateTime,literal,1977-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,,literal,,literal,,literal,,literal,,es,literal,Instituto de Botánica del Nordeste,,,,,,,,,,,,,wd:Q414
86,uri,http://www.wikidata.org/entity/Q6156577,en,literal,National University of Avellaneda,http://www.w3.org/2001/XMLSchema#dateTime,literal,2010-06-18T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q414
87,uri,http://www.wikidata.org/entity/Q2918415,en,literal,Codere,http://www.w3.org/2001/XMLSchema#dateTime,literal,1980-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q804,literal,"http://www.wikidata.org/entity/Q664702, http://www.wikidata.org/entity/Q1506462",literal,,literal,,literal,http://www.wikidata.org/entity/Q2807,literal,http://www.wikidata.org/entity/Q82059,it,literal,Codere Scommesse S.R.L,,,,,,,,,,,,,wd:Q414
88,uri,http://www.wikidata.org/entity/Q5885724,en,literal,Grido Helado,http://www.w3.org/2001/XMLSchema#dateTime,literal,2000-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,http://www.wikidata.org/entity/Q185217,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q414
89,uri,http://www.wikidata.org/entity/Q5975004,en,literal,Libros del Zorzal,http://www.w3.org/2001/XMLSchema#dateTime,literal,2000-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1486,literal,,,,,,,,,,,,,,,,,wd:Q414
90,uri,http://www.wikidata.org/entity/Q5771250,en,literal,CTI Movil,http://www.w3.org/2001/XMLSchema#dateTime,literal,2008-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,http://www.wikidata.org/entity/Q418,literal,http://www.wikidata.org/entity/Q42596895,literal,,literal,http://www.wikidata.org/entity/Q1486,literal,,,,,,,,,,,,,,,,,wd:Q414
91,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q983,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,pt,literal,"Organização de Estados Ibero-Americanos para a Educação, a Ciência e a Cultura",,,,,,,,,,,,,wd:Q414
92,uri,http://www.wikidata.org/entity/Q1736398,en,literal,Catholic University of Cordoba,http://www.w3.org/2001/XMLSchema#dateTime,literal,1956-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q44210,literal,,,,,,,,,,,,,,,,,wd:Q414
93,uri,http://www.wikidata.org/entity/Q112846158,en,literal,Cont.ar,http://www.w3.org/2001/XMLSchema#dateTime,literal,2018-05-17T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q414
94,uri,http://www.wikidata.org/entity/Q5858872,en,literal,Interamerican Open University,http://www.w3.org/2001/XMLSchema#dateTime,literal,1995-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q414
95,uri,http://www.wikidata.org/entity/Q28823999,en,literal,Freddo,http://www.w3.org/2001/XMLSchema#dateTime,literal,1969-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1486,literal,,,,,,,,,,,,,,,,,wd:Q414
96,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q1183,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,es,literal,"Organización de Estados Iberoamericanos para la Educación, la Ciencia y la Cultura",,,,,,,,,,,,,wd:Q414
97,uri,http://www.wikidata.org/entity/Q690146,en,literal,National University of Misiones,http://www.w3.org/2001/XMLSchema#dateTime,literal,1973-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q414
98,uri,http://www.wikidata.org/entity/Q1209139,en,literal,Diario Popular,http://www.w3.org/2001/XMLSchema#dateTime,literal,1974-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1486,literal,,,,,,,,,,,,,,,,,wd:Q414
99,uri,http://www.wikidata.org/entity/Q98515337,en,literal,El Sureño,http://www.w3.org/2001/XMLSchema#dateTime,literal,1991-06-14T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1005221,literal,,,,,,,,,,,,,,,,,wd:Q414
100,uri,http://www.wikidata.org/entity/Q6085235,en,literal,Workers' Press,http://www.w3.org/2001/XMLSchema#dateTime,literal,1982-12-14T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1486,literal,,,,,,,,,,,,,,,,,wd:Q414
101,uri,http://www.wikidata.org/entity/Q2918415,en,literal,Codere,http://www.w3.org/2001/XMLSchema#dateTime,literal,1980-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q38,literal,"http://www.wikidata.org/entity/Q664702, http://www.wikidata.org/entity/Q1506462",literal,,literal,,literal,http://www.wikidata.org/entity/Q2807,literal,http://www.wikidata.org/entity/Q82059,it,literal,Codere Scommesse S.R.L,,,,,,,,,,,,,wd:Q414
102,uri,http://www.wikidata.org/entity/Q4810370,en,literal,La Capital,http://www.w3.org/2001/XMLSchema#dateTime,literal,1867-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q52535,literal,,,,,,,,,,,,,,,,,wd:Q414
103,uri,http://www.wikidata.org/entity/Q9091048,en,literal,Grupo América,http://www.w3.org/2001/XMLSchema#dateTime,literal,1983-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,http://www.wikidata.org/entity/Q11033,literal,,literal,http://www.wikidata.org/entity/Q5798765,literal,http://www.wikidata.org/entity/Q44237,literal,,,,,,,,,,,,,,,,,wd:Q414
104,uri,http://www.wikidata.org/entity/Q17619857,en,literal,AMC Networks International Latin America,http://www.w3.org/2001/XMLSchema#dateTime,literal,2014-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,,literal,,literal,,literal,"http://www.wikidata.org/entity/Q8652, http://www.wikidata.org/entity/Q1486",literal,,,,,,,,,,,,,,,,,wd:Q414
105,uri,http://www.wikidata.org/entity/Q5657839,en,literal,Trenes Argentinos Infraestructura,http://www.w3.org/2001/XMLSchema#dateTime,literal,2008-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,http://www.wikidata.org/entity/Q3565868,literal,,literal,,literal,http://www.wikidata.org/entity/Q1486,literal,http://www.wikidata.org/entity/Q19619342,,,,,,,,,,,,,,,,wd:Q414
106,uri,http://www.wikidata.org/entity/Q100375843,en,literal,Popart Discos,http://www.w3.org/2001/XMLSchema#dateTime,literal,2000-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q414
107,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q792,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,es,literal,"Organización de Estados Iberoamericanos para la Educación, la Ciencia y la Cultura",,,,,,,,,,,,,wd:Q414
108,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q298,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,pt,literal,"Organização de Estados Ibero-Americanos para a Educação, a Ciência e a Cultura",,,,,,,,,,,,,wd:Q414
109,uri,http://www.wikidata.org/entity/Q7553274,en,literal,Sodimac,http://www.w3.org/2001/XMLSchema#dateTime,literal,1952-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q77,literal,http://www.wikidata.org/entity/Q26643,literal,,literal,,literal,http://www.wikidata.org/entity/Q2887,literal,,,,,,,,,,,,,,,,,wd:Q414
110,uri,http://www.wikidata.org/entity/Q17619857,en,literal,AMC Networks International Latin America,http://www.w3.org/2001/XMLSchema#dateTime,literal,2014-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,"http://www.wikidata.org/entity/Q8652, http://www.wikidata.org/entity/Q1486",literal,,,,,,,,,,,,,,,,,wd:Q414
111,uri,http://www.wikidata.org/entity/Q56377600,en,literal,Súper Liga Americana de Rugby,http://www.w3.org/2001/XMLSchema#dateTime,literal,2020-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q77,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q414
112,uri,http://www.wikidata.org/entity/Q3393926,en,literal,El Día,http://www.w3.org/2001/XMLSchema#dateTime,literal,1884-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q44059,literal,,,,,,,,,,,,,,,,,wd:Q414
113,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q750,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,pt,literal,"Organização de Estados Ibero-Americanos para a Educação, a Ciência e a Cultura",,,,,,,,,,,,,wd:Q414
114,uri,http://www.wikidata.org/entity/Q5962678,en,literal,La Capital de Mar del Plata,,,,uri,http://www.wikidata.org/entity/Q414,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q52607,literal,,,,,,,,,,,,,,,,,wd:Q414
115,uri,http://www.wikidata.org/entity/Q6118237,,literal,Q6118237,http://www.w3.org/2001/XMLSchema#dateTime,literal,2011-10-16T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q44241,literal,,,,,,,,,,,,,,,,,wd:Q414
116,uri,http://www.wikidata.org/entity/Q4819957,en,literal,La Gaceta,http://www.w3.org/2001/XMLSchema#dateTime,literal,1912-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q44255,literal,,,,,,,,,,,,,,,,,wd:Q414
117,uri,http://www.wikidata.org/entity/Q110454268,en,literal,Cooperativa Obrera,http://www.w3.org/2001/XMLSchema#dateTime,literal,1920-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,http://www.wikidata.org/entity/Q540912,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q414
118,uri,http://www.wikidata.org/entity/Q18419538,en,literal,Ecobici,http://www.w3.org/2001/XMLSchema#dateTime,literal,2010-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q414
119,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q800,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,es,literal,"Organización de Estados Iberoamericanos para la Educación, la Ciencia y la Cultura",,,,,,,,,,,,,wd:Q414
120,uri,http://www.wikidata.org/entity/Q16635133,en,literal,Sociedad Argentina de Botánica,,,,uri,http://www.wikidata.org/entity/Q414,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q414
121,uri,http://www.wikidata.org/entity/Q2882676,en,literal,Banchero,http://www.w3.org/2001/XMLSchema#dateTime,literal,1893-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5713301,literal,,,,,,,,,,,,,,,,,wd:Q414
122,uri,http://www.wikidata.org/entity/Q30919076,en,literal,CINE.AR Play,,,,uri,http://www.wikidata.org/entity/Q414,literal,http://www.wikidata.org/entity/Q173799,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q414
123,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q804,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,es,literal,"Organización de Estados Iberoamericanos para la Educación, la Ciencia y la Cultura",,,,,,,,,,,,,wd:Q414
124,uri,http://www.wikidata.org/entity/Q3030794,en,literal,Energía Argentina,http://www.w3.org/2001/XMLSchema#dateTime,literal,2004-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,http://www.wikidata.org/entity/Q862571,literal,,literal,,literal,http://www.wikidata.org/entity/Q1486,literal,,,,,,,,,,,,,,,,,wd:Q414
125,uri,http://www.wikidata.org/entity/Q918208,en,literal,Ternium,http://www.w3.org/2001/XMLSchema#dateTime,literal,2005-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,http://www.wikidata.org/entity/Q2285982,literal,,literal,,literal,http://www.wikidata.org/entity/Q1486,literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,16600,,,,,,,,,,wd:Q414
126,uri,http://www.wikidata.org/entity/Q5191494,en,literal,Crónica,http://www.w3.org/2001/XMLSchema#dateTime,literal,1963-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1486,literal,,,,,,,,,,,,,,,,,wd:Q414
127,uri,http://www.wikidata.org/entity/Q2918415,en,literal,Codere,http://www.w3.org/2001/XMLSchema#dateTime,literal,1980-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q739,literal,"http://www.wikidata.org/entity/Q664702, http://www.wikidata.org/entity/Q1506462",literal,,literal,,literal,http://www.wikidata.org/entity/Q2807,literal,http://www.wikidata.org/entity/Q82059,it,literal,Codere Scommesse S.R.L,,,,,,,,,,,,,wd:Q414
128,uri,http://www.wikidata.org/entity/Q4856209,en,literal,Bank of the Province of Buenos Aires,http://www.w3.org/2001/XMLSchema#dateTime,literal,1822-09-06T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,"http://www.wikidata.org/entity/Q837171, http://www.wikidata.org/entity/Q806718",literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q414
129,uri,http://www.wikidata.org/entity/Q112020394,en,literal,Hemisferio Films,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,http://www.wikidata.org/entity/Q932586,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q414
130,uri,http://www.wikidata.org/entity/Q6046871,en,literal,New Bank of Santa Fe,http://www.w3.org/2001/XMLSchema#dateTime,literal,1874-06-05T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,"http://www.wikidata.org/entity/Q837171, http://www.wikidata.org/entity/Q806718",literal,,literal,,literal,http://www.wikidata.org/entity/Q44244,literal,,,,,,,,,,,,,,,,,wd:Q414
131,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q811,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,es,literal,"Organización de Estados Iberoamericanos para la Educación, la Ciencia y la Cultura",,,,,,,,,,,,,wd:Q414
132,uri,http://www.wikidata.org/entity/Q112020394,en,literal,Hemisferio Films,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q30,literal,http://www.wikidata.org/entity/Q932586,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q414
133,uri,http://www.wikidata.org/entity/Q6317539,en,literal,National University of Entre Ríos,http://www.w3.org/2001/XMLSchema#dateTime,literal,1973-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q727464,literal,,,,,,,,,,,,,,,,,wd:Q414
134,uri,http://www.wikidata.org/entity/Q5805259,en,literal,Diario Diagonales,,,,uri,http://www.wikidata.org/entity/Q414,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q44059,literal,,,,,,,,,,,,,,,,,wd:Q414
135,uri,http://www.wikidata.org/entity/Q7512944,en,literal,Signia,http://www.w3.org/2001/XMLSchema#dateTime,literal,1999-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,"http://www.wikidata.org/entity/Q59677346, http://www.wikidata.org/entity/Q607081",literal,,literal,,literal,http://www.wikidata.org/entity/Q1486,literal,,,,,,,,,,,,,,,,,wd:Q414
136,uri,http://www.wikidata.org/entity/Q5271856,en,literal,Diario Norte,http://www.w3.org/2001/XMLSchema#dateTime,literal,1968-07-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q44206,literal,,,,,,,,,,,,,,,,,wd:Q414
137,uri,http://www.wikidata.org/entity/Q6973624,en,literal,National Institute of Cinema and Audiovisual Arts,http://www.w3.org/2001/XMLSchema#dateTime,literal,1968-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q414
138,uri,http://www.wikidata.org/entity/Q9091578,en,literal,National University of Santiago del Estero,http://www.w3.org/2001/XMLSchema#dateTime,literal,1973-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q414
139,uri,http://www.wikidata.org/entity/Q9088220,,literal,Q9088220,http://www.w3.org/2001/XMLSchema#dateTime,literal,1991-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q414
140,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q77,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,pt,literal,"Organização de Estados Ibero-Americanos para a Educação, a Ciência e a Cultura",,,,,,,,,,,,,wd:Q414
141,uri,http://www.wikidata.org/entity/Q1507630,en,literal,La Nación,http://www.w3.org/2001/XMLSchema#dateTime,literal,1870-01-04T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1486,literal,,,,,,,,,,,,,,,,,wd:Q414
142,uri,http://www.wikidata.org/entity/Q7553274,en,literal,Sodimac,http://www.w3.org/2001/XMLSchema#dateTime,literal,1952-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q96,literal,http://www.wikidata.org/entity/Q26643,literal,,literal,,literal,http://www.wikidata.org/entity/Q2887,literal,,,,,,,,,,,,,,,,,wd:Q414
143,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q228,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,pt,literal,"Organização de Estados Ibero-Americanos para a Educação, a Ciência e a Cultura",,,,,,,,,,,,,wd:Q414
144,uri,http://www.wikidata.org/entity/Q4036566,en,literal,Correo Oficial de la Republica Argentina,http://www.w3.org/2001/XMLSchema#dateTime,literal,1748-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,http://www.wikidata.org/entity/Q49845,literal,,literal,,literal,http://www.wikidata.org/entity/Q1486,literal,,,,,,,,,,,,,,,,,wd:Q414
145,uri,http://www.wikidata.org/entity/Q5255905,en,literal,Universidad Nacional de Rosario,http://www.w3.org/2001/XMLSchema#dateTime,literal,1968-11-29T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,,literal,,literal,,literal,,literal,,es,literal,Universidad Nacional de Rosario,,,,,,,,,,,,,wd:Q414
146,uri,http://www.wikidata.org/entity/Q2900869,en,literal,Havanna,http://www.w3.org/2001/XMLSchema#dateTime,literal,1948-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,"http://www.wikidata.org/entity/Q56254772, http://www.wikidata.org/entity/Q540912, http://www.wikidata.org/entity/Q171141",literal,,literal,,literal,http://www.wikidata.org/entity/Q52607,literal,,es,literal,Havanna Holding S.A.,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,139815118,http://www.w3.org/2001/XMLSchema#decimal,literal,2974690524,http://www.w3.org/2001/XMLSchema#decimal,literal,1573635438,wd:Q414
147,uri,http://www.wikidata.org/entity/Q6979284,en,literal,National University of Tucumán,http://www.w3.org/2001/XMLSchema#dateTime,literal,1914-05-25T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q414
148,uri,http://www.wikidata.org/entity/Q2843192,en,literal,Edenor,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,http://www.wikidata.org/entity/Q1951366,literal,,literal,,literal,http://www.wikidata.org/entity/Q1486,literal,,,,,,,,,,,,,,,,,wd:Q414
149,uri,http://www.wikidata.org/entity/Q5717952,en,literal,Galicia Bank,http://www.w3.org/2001/XMLSchema#dateTime,literal,1905-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,"http://www.wikidata.org/entity/Q1416657, http://www.wikidata.org/entity/Q837171, http://www.wikidata.org/entity/Q806718",literal,,literal,,literal,http://www.wikidata.org/entity/Q10972183,literal,,,,,,,,,,,,,,,,,wd:Q414
150,uri,http://www.wikidata.org/entity/Q100562100,en,literal,Marolio,,,,uri,http://www.wikidata.org/entity/Q414,literal,http://www.wikidata.org/entity/Q540912,literal,,literal,,literal,http://www.wikidata.org/entity/Q9018883,literal,,,,,,,,,,,,,,,,,wd:Q414
