,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,employees.datatype,employees.type,employees.value,country
0,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q1049,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,wd:Q974
1,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q79,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,wd:Q974
2,uri,http://www.wikidata.org/entity/Q106413558,en,literal,Anti-Corruption Research Center,http://www.w3.org/2001/XMLSchema#dateTime,literal,2017-04-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q974,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3838,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,13,wd:Q974
3,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q796,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,wd:Q974
4,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q810,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,wd:Q974
5,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q817,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,wd:Q974
6,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q822,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,wd:Q974
7,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q974,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,wd:Q974
8,uri,http://www.wikidata.org/entity/Q112685013,en,literal,Strong2kin Moov,http://www.w3.org/2001/XMLSchema#dateTime,literal,2018-01-23T00:00:00Z,uri,http://www.wikidata.org/entity/Q974,literal,,literal,http://www.wikidata.org/entity/Q112845612,literal,,literal,http://www.wikidata.org/entity/Q2886204,literal,,,,,wd:Q974
9,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q842,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,wd:Q974
10,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q846,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,wd:Q974
11,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q398,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,wd:Q974
12,uri,http://www.wikidata.org/entity/Q21178738,en,literal,Equity Bank Congo,http://www.w3.org/2001/XMLSchema#dateTime,literal,2005-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q974,literal,http://www.wikidata.org/entity/Q837171,literal,,literal,,literal,http://www.wikidata.org/entity/Q3838,literal,,,,,wd:Q974
13,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q851,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,wd:Q974
14,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,wd:Q974
15,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,wd:Q974
