,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,officialname.xml:lang,officialname.type,officialname.value,origindate.datatype,origindate.type,origindate.value,employees.datatype,employees.type,employees.value,profit.datatype,profit.type,profit.value,assets.datatype,assets.type,assets.value,country
116,uri,http://www.wikidata.org/entity/Q122763238,en,literal,ProCredit Bank (Bulgaria),uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q219
117,uri,http://www.wikidata.org/entity/Q124151519,en,literal,Helikon,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q219
118,uri,http://www.wikidata.org/entity/Q5159718,en,literal,Nu Boyana Film Studios,uri,http://www.wikidata.org/entity/Q219,literal,http://www.wikidata.org/entity/Q932586,literal,,literal,,literal,http://www.wikidata.org/entity/Q472,literal,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2007-01-01T00:00:00Z,,,,,,,,,,wd:Q219
119,uri,http://www.wikidata.org/entity/Q111784576,,literal,Q111784576,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q472,literal,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,,,,,,,,,,wd:Q219
120,uri,http://www.wikidata.org/entity/Q115656774,en,literal,Viva Credit,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q219
121,uri,http://www.wikidata.org/entity/Q108032108,en,literal,Strezov Sampling,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q472,literal,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-12-01T00:00:00Z,,,,,,,,,,wd:Q219
122,uri,http://www.wikidata.org/entity/Q7884635,en,literal,UniCredit Bulbank,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q472,literal,,bg,literal,„УниКредит Булбанк“ АД,http://www.w3.org/2001/XMLSchema#dateTime,literal,1964-01-01T00:00:00Z,,,,,,,,,,wd:Q219
123,uri,http://www.wikidata.org/entity/Q124281587,en,literal,TED,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q219
124,uri,http://www.wikidata.org/entity/Q124151524,en,literal,Orange,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q219
125,uri,http://www.wikidata.org/entity/Q139886,en,literal,Nova,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q472,literal,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1994-07-16T00:00:00Z,,,,,,,,,,wd:Q219
126,uri,http://www.wikidata.org/entity/Q106094537,en,literal,"Butcher Shop Dimqt - ""Workshop""",uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,,literal,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1998-01-01T00:00:00Z,,,,,,,,,,wd:Q219
127,uri,http://www.wikidata.org/entity/Q118558924,en,literal,Pizza Lab,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q219
128,uri,http://www.wikidata.org/entity/Q19370762,en,literal,Pensoft Publishers,uri,http://www.wikidata.org/entity/Q31,literal,,literal,http://www.wikidata.org/entity/Q21781591,literal,,literal,http://www.wikidata.org/entity/Q472,literal,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,,,,,,,,,,wd:Q219
129,uri,http://www.wikidata.org/entity/Q98225196,en,literal,neosat,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q219
130,uri,http://www.wikidata.org/entity/Q6951374,en,literal,N-JOY,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,,literal,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2006-06-01T00:00:00Z,,,,,,,,,,wd:Q219
131,uri,http://www.wikidata.org/entity/Q19707473,en,literal,Sunny Music,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,,literal,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1996-01-01T00:00:00Z,,,,,,,,,,wd:Q219
132,uri,http://www.wikidata.org/entity/Q115656510,en,literal,Berezka,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q219
133,uri,http://www.wikidata.org/entity/Q123298436,en,literal,3labels.com,uri,http://www.wikidata.org/entity/Q183,literal,http://www.wikidata.org/entity/Q83405,literal,,literal,,literal,,literal,,en,literal,3labels.com,,,,,,,,,,,,,wd:Q219
134,uri,http://www.wikidata.org/entity/Q65224484,en,literal,SDI broker,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,,literal,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2004-01-01T00:00:00Z,,,,,,,,,,wd:Q219
