,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,employees.datatype,employees.type,employees.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,profit.datatype,profit.type,profit.value,markcap.datatype,markcap.type,markcap.value,officialname.xml:lang,officialname.type,officialname.value,assets.datatype,assets.type,assets.value,equity.datatype,equity.type,equity.value,country
13,uri,http://www.wikidata.org/entity/Q342813,en,literal,Acronis,http://www.w3.org/2001/XMLSchema#decimal,literal,2000,http://www.w3.org/2001/XMLSchema#dateTime,literal,2003-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q39,literal,"http://www.wikidata.org/entity/Q3510521, http://www.wikidata.org/entity/Q880371",literal,,literal,,literal,"http://www.wikidata.org/entity/Q9009, http://www.wikidata.org/entity/Q334",literal,,,,,,,,,,,,,,,,,wd:Q334
14,uri,http://www.wikidata.org/entity/Q699142,en,literal,Din Tai Fung,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1991-05-07T00:00:00Z,uri,http://www.wikidata.org/entity/Q148,literal,http://www.wikidata.org/entity/Q540912,literal,,literal,,literal,http://www.wikidata.org/entity/Q1867,literal,,,,,,,,,,,,,,,,,wd:Q334
15,uri,http://www.wikidata.org/entity/Q683146,en,literal,LexisNexis,http://www.w3.org/2001/XMLSchema#decimal,literal,10000,http://www.w3.org/2001/XMLSchema#dateTime,literal,1973-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q32,literal,http://www.wikidata.org/entity/Q3972943,literal,,literal,,literal,http://www.wikidata.org/entity/Q60,literal,,,,,,,,,,,,,,,,,wd:Q334
16,uri,http://www.wikidata.org/entity/Q102347657,en,literal,IRVINS,,,,,,,uri,http://www.wikidata.org/entity/Q334,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q334,literal,,,,,,,,,,,,,,,,,wd:Q334
17,uri,http://www.wikidata.org/entity/Q54321831,en,literal,Singapore Pro Wrestling,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q334,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q334
18,uri,http://www.wikidata.org/entity/Q548679,en,literal,Marina Bay Sands,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2010-06-23T00:00:00Z,uri,http://www.wikidata.org/entity/Q334,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q334
19,uri,http://www.wikidata.org/entity/Q110959120,en,literal,Tyreplus,,,,,,,uri,http://www.wikidata.org/entity/Q833,literal,"http://www.wikidata.org/entity/Q190117, http://www.wikidata.org/entity/Q126793",literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q334
20,uri,http://www.wikidata.org/entity/Q746413,en,literal,Elsevier BV,http://www.w3.org/2001/XMLSchema#decimal,literal,6900,http://www.w3.org/2001/XMLSchema#dateTime,literal,1993-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q8646,literal,http://www.wikidata.org/entity/Q3972943,literal,,literal,,literal,"http://www.wikidata.org/entity/Q2662373, http://www.wikidata.org/entity/Q1345",literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,600000000,,,,,,,,,,,,,wd:Q334
21,uri,http://www.wikidata.org/entity/Q18712593,en,literal,Twelve Cupcakes,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2011-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q334,literal,http://www.wikidata.org/entity/Q41958,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q334
22,uri,http://www.wikidata.org/entity/Q63371124,en,literal,Guardian,,,,,,,uri,http://www.wikidata.org/entity/Q252,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q334
23,uri,http://www.wikidata.org/entity/Q110959120,en,literal,Tyreplus,,,,,,,uri,http://www.wikidata.org/entity/Q148,literal,"http://www.wikidata.org/entity/Q190117, http://www.wikidata.org/entity/Q126793",literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q334
24,uri,http://www.wikidata.org/entity/Q114789061,en,literal,Giti Group,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1930-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q334,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q334
25,uri,http://www.wikidata.org/entity/Q138133,en,literal,RWE,http://www.w3.org/2001/XMLSchema#decimal,literal,18246,http://www.w3.org/2001/XMLSchema#dateTime,literal,1898-04-25T00:00:00Z,uri,http://www.wikidata.org/entity/Q334,literal,"http://www.wikidata.org/entity/Q2151621, http://www.wikidata.org/entity/Q1341477, http://www.wikidata.org/entity/Q1326594",literal,"http://www.wikidata.org/entity/Q15842921, http://www.wikidata.org/entity/Q2078625, http://www.wikidata.org/entity/Q108936810",literal,http://www.wikidata.org/entity/Q110984154,literal,http://www.wikidata.org/entity/Q2066,literal,"http://www.wikidata.org/entity/Q155718, http://www.wikidata.org/entity/Q874430, http://www.wikidata.org/entity/Q1230458, http://www.wikidata.org/entity/Q6571804",http://www.w3.org/2001/XMLSchema#decimal,literal,1569000000,http://www.w3.org/2001/XMLSchema#decimal,literal,28327000000,,,,,,,,,,wd:Q334
