,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,officialname.xml:lang,officialname.type,officialname.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,employees.datatype,employees.type,employees.value,profit.datatype,profit.type,profit.value,assets.datatype,assets.type,assets.value,markcap.datatype,markcap.type,markcap.value,country
86,uri,http://www.wikidata.org/entity/Q842108,en,literal,Euronext,nl,literal,Euronext N.V.,http://www.w3.org/2001/XMLSchema#dateTime,literal,2000-09-22T00:00:00Z,uri,http://www.wikidata.org/entity/Q27,literal,"http://www.wikidata.org/entity/Q112166008, http://www.wikidata.org/entity/Q837171",literal,http://www.wikidata.org/entity/Q33290562,literal,,literal,"http://www.wikidata.org/entity/Q53865133, http://www.wikidata.org/entity/Q90",literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,2129,,,,,,,,,,wd:Q20
87,uri,http://www.wikidata.org/entity/Q110975364,en,literal,Lumi Gruppen,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2017-10-27T00:00:00Z,uri,http://www.wikidata.org/entity/Q20,literal,,literal,,literal,http://www.wikidata.org/entity/Q5704523,literal,http://www.wikidata.org/entity/Q585,literal,,,,,,,,,,,,,,wd:Q20
88,uri,http://www.wikidata.org/entity/Q2020649,en,literal,Nordic Investment Bank,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1976-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q33,literal,http://www.wikidata.org/entity/Q837171,literal,,literal,,literal,http://www.wikidata.org/entity/Q1757,literal,,,,,,,,,,,,,,wd:Q20
89,uri,http://www.wikidata.org/entity/Q11966962,en,literal,Export Credit Norway,nb,literal,Eksportkreditt Norge AS,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-06-25T00:00:00Z,uri,http://www.wikidata.org/entity/Q20,literal,http://www.wikidata.org/entity/Q2470676,literal,,literal,http://www.wikidata.org/entity/Q4576108,literal,http://www.wikidata.org/entity/Q585,literal,,,,,,,,,,,,,,wd:Q20
90,uri,http://www.wikidata.org/entity/Q24817391,en,literal,Tons of Rock,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2014-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q20,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q20
91,uri,http://www.wikidata.org/entity/Q50824508,en,literal,Jansen Plateproduksjon,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2009-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q20,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q585,literal,,,,,,,,,,,,,,wd:Q20
92,uri,http://www.wikidata.org/entity/Q19388379,en,literal,Sibelco Nordic,en,literal,North Cape Minerals,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q20,literal,http://www.wikidata.org/entity/Q306093,literal,,literal,,literal,http://www.wikidata.org/entity/Q1503983,literal,,,,,,,,,,,,,,wd:Q20
93,uri,http://www.wikidata.org/entity/Q970769,en,literal,Norges Bank,nn,literal,Noregs Bank,http://www.w3.org/2001/XMLSchema#dateTime,literal,1816-06-14T00:00:00Z,uri,http://www.wikidata.org/entity/Q20,literal,,literal,,literal,http://www.wikidata.org/entity/Q110126862,literal,http://www.wikidata.org/entity/Q585,literal,,,,,,,,,,,,,,wd:Q20
94,uri,http://www.wikidata.org/entity/Q1764501,en,literal,Romerikes Blad,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1902-09-03T00:00:00Z,uri,http://www.wikidata.org/entity/Q20,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1289596,literal,,,,,,,,,,,,,,wd:Q20
95,uri,http://www.wikidata.org/entity/Q842108,en,literal,Euronext,nl,literal,Euronext N.V.,http://www.w3.org/2001/XMLSchema#dateTime,literal,2000-09-22T00:00:00Z,uri,http://www.wikidata.org/entity/Q31,literal,"http://www.wikidata.org/entity/Q112166008, http://www.wikidata.org/entity/Q837171",literal,http://www.wikidata.org/entity/Q33290562,literal,,literal,"http://www.wikidata.org/entity/Q53865133, http://www.wikidata.org/entity/Q90",literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,2129,,,,,,,,,,wd:Q20
