,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,officialname.xml:lang,officialname.type,officialname.value,employees.datatype,employees.type,employees.value,profit.datatype,profit.type,profit.value,country
0,uri,http://www.wikidata.org/entity/Q12629608,en,literal,Daruvarske toplice,http://www.w3.org/2001/XMLSchema#dateTime,literal,1762-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q224,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q224
1,uri,http://www.wikidata.org/entity/Q62274622,en,literal,Crodux,,,,uri,http://www.wikidata.org/entity/Q224,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1435,literal,,hr,literal,Crodux derivati dva d.o.o.,,,,,,,wd:Q224
2,uri,http://www.wikidata.org/entity/Q7334368,en,literal,Rimac Automobili,http://www.w3.org/2001/XMLSchema#dateTime,literal,2009-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q224,literal,http://www.wikidata.org/entity/Q190117,literal,,literal,,literal,http://www.wikidata.org/entity/Q856385,literal,,,,,,,,,,,wd:Q224
3,uri,http://www.wikidata.org/entity/Q114806702,en,literal,Radio Rojc,,,,uri,http://www.wikidata.org/entity/Q224,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3512536,literal,,,,,,,,,,,wd:Q224
4,uri,http://www.wikidata.org/entity/Q787388,en,literal,University of Rijeka,http://www.w3.org/2001/XMLSchema#dateTime,literal,1973-05-17T00:00:00Z,uri,http://www.wikidata.org/entity/Q224,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q224
5,uri,http://www.wikidata.org/entity/Q12627396,en,literal,Autotrolej,http://www.w3.org/2001/XMLSchema#dateTime,literal,1899-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q224,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1647,literal,,,,,,,,,,,wd:Q224
6,uri,http://www.wikidata.org/entity/Q123016754,en,literal,Con Film Hrvatska,http://www.w3.org/2001/XMLSchema#dateTime,literal,2010-12-21T00:00:00Z,uri,http://www.wikidata.org/entity/Q224,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1435,literal,,,,,,,,,,,wd:Q224
7,uri,http://www.wikidata.org/entity/Q65971584,en,literal,Studenac Market,http://www.w3.org/2001/XMLSchema#dateTime,literal,1973-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q224,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q224
8,uri,http://www.wikidata.org/entity/Q3514208,en,literal,Jabuka TV,,,,uri,http://www.wikidata.org/entity/Q224,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q224
9,uri,http://www.wikidata.org/entity/Q124392555,,literal,Q124392555,,,,uri,http://www.wikidata.org/entity/Q224,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1435,literal,,,,,,,,,,,wd:Q224
10,uri,http://www.wikidata.org/entity/Q12643627,en,literal,Tisak,http://www.w3.org/2001/XMLSchema#dateTime,literal,1972-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q224,literal,http://www.wikidata.org/entity/Q1193236,literal,,literal,,literal,http://www.wikidata.org/entity/Q1435,literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,3690,,,,wd:Q224
11,uri,http://www.wikidata.org/entity/Q123354027,en,literal,Nukleus film,http://www.w3.org/2001/XMLSchema#dateTime,literal,2004-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q224,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1435,literal,,,,,,,,,,,wd:Q224
12,uri,http://www.wikidata.org/entity/Q308974,en,literal,Croatia Airlines,http://www.w3.org/2001/XMLSchema#dateTime,literal,1990-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q224,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1435,literal,,,,,,,,,,,wd:Q224
13,uri,http://www.wikidata.org/entity/Q109407566,en,literal,Pine Studio,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q224,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,http://www.wikidata.org/entity/Q390587,literal,,,,,,,,,,,wd:Q224
14,uri,http://www.wikidata.org/entity/Q118151894,en,literal,Orqa,http://www.w3.org/2001/XMLSchema#dateTime,literal,2018-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q224,literal,http://www.wikidata.org/entity/Q5358497,literal,,literal,,literal,http://www.wikidata.org/entity/Q1640,literal,,,,,,,,,,,wd:Q224
15,uri,http://www.wikidata.org/entity/Q140381,en,literal,Zagrebačka banka,http://www.w3.org/2001/XMLSchema#dateTime,literal,1914-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q224,literal,http://www.wikidata.org/entity/Q22687,literal,,literal,,literal,http://www.wikidata.org/entity/Q1435,literal,,,,,,,,,,,wd:Q224
16,uri,http://www.wikidata.org/entity/Q120377404,,literal,Q120377404,,,,uri,http://www.wikidata.org/entity/Q224,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1435,literal,,,,,,,,,,,wd:Q224
17,uri,http://www.wikidata.org/entity/Q106866275,en,literal,GetByBus,,,,uri,http://www.wikidata.org/entity/Q224,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1663,literal,,,,,,,,,,,wd:Q224
18,uri,http://www.wikidata.org/entity/Q7199671,en,literal,Pivovara Ličanka,http://www.w3.org/2001/XMLSchema#dateTime,literal,1997-08-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q224,literal,http://www.wikidata.org/entity/Q869095,literal,,literal,,literal,http://www.wikidata.org/entity/Q319276,literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,20,,,,wd:Q224
19,uri,http://www.wikidata.org/entity/Q101617829,en,literal,Binx Interactive,,,,uri,http://www.wikidata.org/entity/Q224,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q224
20,uri,http://www.wikidata.org/entity/Q1958759,en,literal,Müller,http://www.w3.org/2001/XMLSchema#dateTime,literal,1953-03-05T00:00:00Z,uri,http://www.wikidata.org/entity/Q28,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,"http://www.wikidata.org/entity/Q64990, http://www.wikidata.org/entity/Q3012, http://www.wikidata.org/entity/Q1741",literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,33635,,,,wd:Q224
21,uri,http://www.wikidata.org/entity/Q1143457,en,literal,Croatian National Bank,http://www.w3.org/2001/XMLSchema#dateTime,literal,1990-12-21T00:00:00Z,uri,http://www.wikidata.org/entity/Q224,literal,,literal,,literal,"http://www.wikidata.org/entity/Q1564292, http://www.wikidata.org/entity/Q6771291, http://www.wikidata.org/entity/Q12627038, http://www.wikidata.org/entity/Q12628155, http://www.wikidata.org/entity/Q12639527",literal,http://www.wikidata.org/entity/Q1435,literal,,,,,,,,,,,wd:Q224
22,uri,http://www.wikidata.org/entity/Q1958759,en,literal,Müller,http://www.w3.org/2001/XMLSchema#dateTime,literal,1953-03-05T00:00:00Z,uri,http://www.wikidata.org/entity/Q183,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,"http://www.wikidata.org/entity/Q64990, http://www.wikidata.org/entity/Q3012, http://www.wikidata.org/entity/Q1741",literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,33635,,,,wd:Q224
23,uri,http://www.wikidata.org/entity/Q1958759,en,literal,Müller,http://www.w3.org/2001/XMLSchema#dateTime,literal,1953-03-05T00:00:00Z,uri,http://www.wikidata.org/entity/Q29,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,"http://www.wikidata.org/entity/Q64990, http://www.wikidata.org/entity/Q3012, http://www.wikidata.org/entity/Q1741",literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,33635,,,,wd:Q224
24,uri,http://www.wikidata.org/entity/Q65133381,en,literal,Laudato TV,http://www.w3.org/2001/XMLSchema#dateTime,literal,2015-12-25T00:00:00Z,uri,http://www.wikidata.org/entity/Q224,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1435,literal,,,,,,,,,,,wd:Q224
25,uri,http://www.wikidata.org/entity/Q16111775,en,literal,Antena Zadar,,,,uri,http://www.wikidata.org/entity/Q224,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q224
26,uri,http://www.wikidata.org/entity/Q12643718,en,literal,Tommy,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q224,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1663,literal,,,,,,,,,,,wd:Q224
27,uri,http://www.wikidata.org/entity/Q106775805,en,literal,Room-C Games,,,,uri,http://www.wikidata.org/entity/Q224,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,http://www.wikidata.org/entity/Q1435,literal,,,,,,,,,,,wd:Q224
28,uri,http://www.wikidata.org/entity/Q2496046,en,literal,University of Dubrovnik,http://www.w3.org/2001/XMLSchema#dateTime,literal,2003-10-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q224,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q224
29,uri,http://www.wikidata.org/entity/Q1958759,en,literal,Müller,http://www.w3.org/2001/XMLSchema#dateTime,literal,1953-03-05T00:00:00Z,uri,http://www.wikidata.org/entity/Q39,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,"http://www.wikidata.org/entity/Q64990, http://www.wikidata.org/entity/Q3012, http://www.wikidata.org/entity/Q1741",literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,33635,,,,wd:Q224
30,uri,http://www.wikidata.org/entity/Q1958759,en,literal,Müller,http://www.w3.org/2001/XMLSchema#dateTime,literal,1953-03-05T00:00:00Z,uri,http://www.wikidata.org/entity/Q40,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,"http://www.wikidata.org/entity/Q64990, http://www.wikidata.org/entity/Q3012, http://www.wikidata.org/entity/Q1741",literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,33635,,,,wd:Q224
31,uri,http://www.wikidata.org/entity/Q20526419,en,literal,Udruga Obnova,,,,uri,http://www.wikidata.org/entity/Q224,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3549,literal,,,,,,,,,,,wd:Q224
32,uri,http://www.wikidata.org/entity/Q117195375,en,literal,BoxNow Croatia,,,,uri,http://www.wikidata.org/entity/Q224,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q224
33,uri,http://www.wikidata.org/entity/Q2340010,en,literal,Croteam,http://www.w3.org/2001/XMLSchema#dateTime,literal,1993-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q224,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,http://www.wikidata.org/entity/Q1435,literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,40,,,,wd:Q224
