,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,officialname.xml:lang,officialname.type,officialname.value,country
0,uri,http://www.wikidata.org/entity/Q7895663,en,literal,University of Management and Technology,http://www.w3.org/2001/XMLSchema#dateTime,literal,1990-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q843,literal,,literal,,literal,,literal,,literal,,,,,wd:Q843
1,uri,http://www.wikidata.org/entity/Q1549932,en,literal,University of the Punjab,http://www.w3.org/2001/XMLSchema#dateTime,literal,1882-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q843,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q11739,literal,,ur,literal,جامعہ پنجاب,wd:Q843
2,uri,http://www.wikidata.org/entity/Q5437851,en,literal,Fatima Jinnah Women University,http://www.w3.org/2001/XMLSchema#dateTime,literal,1998-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q843,literal,,literal,,literal,,literal,,literal,,,,,wd:Q843
3,uri,http://www.wikidata.org/entity/Q7637775,en,literal,Summit Bank,http://www.w3.org/2001/XMLSchema#dateTime,literal,2006-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q843,literal,"http://www.wikidata.org/entity/Q1416657, http://www.wikidata.org/entity/Q837171, http://www.wikidata.org/entity/Q806718",literal,,literal,,literal,http://www.wikidata.org/entity/Q8660,literal,,,,,wd:Q843
4,uri,http://www.wikidata.org/entity/Q204887,en,literal,Pakistan International Airlines,http://www.w3.org/2001/XMLSchema#dateTime,literal,1955-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q843,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q61052,literal,,en,literal,Pakistan International Airlines,wd:Q843
5,uri,http://www.wikidata.org/entity/Q6540200,en,literal,Liaquat University of Medical and Health Sciences,http://www.w3.org/2001/XMLSchema#dateTime,literal,1881-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q843,literal,,literal,,literal,,literal,,literal,,,,,wd:Q843
6,uri,http://www.wikidata.org/entity/Q1092544,en,literal,National University of Modern Languages,http://www.w3.org/2001/XMLSchema#dateTime,literal,1970-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q843,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1362,literal,,,,,wd:Q843
7,uri,http://www.wikidata.org/entity/Q85769600,en,literal,Interloop Limited,,,,uri,http://www.wikidata.org/entity/Q843,literal,http://www.wikidata.org/entity/Q607081,literal,,literal,,literal,http://www.wikidata.org/entity/Q173985,literal,,,,,wd:Q843
8,uri,http://www.wikidata.org/entity/Q7635291,en,literal,Sui Southern Gas Company,http://www.w3.org/2001/XMLSchema#dateTime,literal,1989-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q843,literal,http://www.wikidata.org/entity/Q862571,literal,,literal,,literal,http://www.wikidata.org/entity/Q8660,literal,,,,,wd:Q843
9,uri,http://www.wikidata.org/entity/Q94575896,en,literal,JTR Media House,,,,uri,http://www.wikidata.org/entity/Q843,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q8660,literal,,,,,wd:Q843
10,uri,http://www.wikidata.org/entity/Q97096183,en,literal,Daily Aeen,,,,uri,http://www.wikidata.org/entity/Q843,literal,,literal,,literal,,literal,,literal,,,,,wd:Q843
11,uri,http://www.wikidata.org/entity/Q64853074,en,literal,Pakistan Tourism Portal,http://www.w3.org/2001/XMLSchema#dateTime,literal,2020-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q843,literal,"http://www.wikidata.org/entity/Q9323634, http://www.wikidata.org/entity/Q1995666, http://www.wikidata.org/entity/Q49389",literal,,literal,,literal,,literal,,en,literal,Pakistan Tourism Portal,wd:Q843
12,uri,http://www.wikidata.org/entity/Q31301994,en,literal,Lahore Transport Company,http://www.w3.org/2001/XMLSchema#dateTime,literal,1984-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q843,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q11739,literal,,,,,wd:Q843
13,uri,http://www.wikidata.org/entity/Q19345791,en,literal,University of Haripur,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q843,literal,,literal,,literal,,literal,,literal,,,,,wd:Q843
14,uri,http://www.wikidata.org/entity/Q2402245,en,literal,Dawn Media Group,http://www.w3.org/2001/XMLSchema#dateTime,literal,1947-02-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q843,literal,"http://www.wikidata.org/entity/Q15078788, http://www.wikidata.org/entity/Q3972943",literal,,literal,,literal,http://www.wikidata.org/entity/Q8660,literal,,,,,wd:Q843
15,uri,http://www.wikidata.org/entity/Q19599801,en,literal,Talár,http://www.w3.org/2001/XMLSchema#dateTime,literal,2004-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q843,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q185458,literal,,,,,wd:Q843
16,uri,http://www.wikidata.org/entity/Q61119510,en,literal,Punjabi Adbi Board,http://www.w3.org/2001/XMLSchema#dateTime,literal,1975-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q843,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q11739,literal,,pa,literal,پاکستان پنجابی ادبی بورڈ,wd:Q843
17,uri,http://www.wikidata.org/entity/Q6883917,en,literal,Mixed Martial Arts Pakistan,http://www.w3.org/2001/XMLSchema#dateTime,literal,2007-12-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q843,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q11739,literal,,,,,wd:Q843
18,uri,http://www.wikidata.org/entity/Q52200626,en,literal,we.R.play,http://www.w3.org/2001/XMLSchema#dateTime,literal,2010-08-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q843,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,http://www.wikidata.org/entity/Q1362,literal,,,,,wd:Q843
19,uri,http://www.wikidata.org/entity/Q65089529,en,literal,Easypaisa,http://www.w3.org/2001/XMLSchema#dateTime,literal,2009-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q843,literal,http://www.wikidata.org/entity/Q837171,literal,,literal,,literal,http://www.wikidata.org/entity/Q8660,literal,,,,,wd:Q843
