,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,officialname.xml:lang,officialname.type,officialname.value,employees.datatype,employees.type,employees.value,country
0,uri,http://www.wikidata.org/entity/Q114267317,en,literal,Prime 9ja Online,http://www.w3.org/2001/XMLSchema#dateTime,literal,2016-03-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q1033,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q682704,literal,,,,,,,,wd:Q1033
1,uri,http://www.wikidata.org/entity/Q4688832,en,literal,Afe Babalola University,http://www.w3.org/2001/XMLSchema#dateTime,literal,2009-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q1033,literal,,literal,,literal,,literal,,literal,,en,literal,Afe Babalola University,,,,wd:Q1033
2,uri,http://www.wikidata.org/entity/Q17061030,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q1033,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q1024647,literal,,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#decimal,literal,4000,wd:Q1033
3,uri,http://www.wikidata.org/entity/Q110949336,en,literal,Authority 91.9FM,,,,uri,http://www.wikidata.org/entity/Q1033,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q1033
4,uri,http://www.wikidata.org/entity/Q113530696,en,literal,Radio Station,,,,uri,http://www.wikidata.org/entity/Q1033,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q1033
5,uri,http://www.wikidata.org/entity/Q112189220,en,literal,Ifesinachi Transport Ltd,http://www.w3.org/2001/XMLSchema#dateTime,literal,1965-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q1033,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q8673,literal,,,,,,,,wd:Q1033
6,uri,http://www.wikidata.org/entity/Q39046315,en,literal,Faaji FM,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-12-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q1033,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q1033
7,uri,http://www.wikidata.org/entity/Q17061030,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q1036,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q1024647,literal,,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#decimal,literal,4000,wd:Q1033
8,uri,http://www.wikidata.org/entity/Q110955443,en,literal,Rhema fm,,,,uri,http://www.wikidata.org/entity/Q1033,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q1033
9,uri,http://www.wikidata.org/entity/Q110953606,en,literal,The Beat 97.9 FM,,,,uri,http://www.wikidata.org/entity/Q1033,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q1033
