,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,officialname.xml:lang,officialname.type,officialname.value,employees.datatype,employees.type,employees.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,country
0,uri,http://www.wikidata.org/entity/Q17061030,en,literal,Jumia,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#decimal,literal,4000,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q1033,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q1024647,literal,,wd:Q117
1,uri,http://www.wikidata.org/entity/Q17061030,en,literal,Jumia,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#decimal,literal,4000,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q1036,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q1024647,literal,,wd:Q117
2,uri,http://www.wikidata.org/entity/Q86753037,en,literal,Focus FM,,,,,,,,,,uri,http://www.wikidata.org/entity/Q117,literal,,literal,,literal,,literal,,literal,,wd:Q117
3,uri,http://www.wikidata.org/entity/Q17061030,en,literal,Jumia,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#decimal,literal,4000,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q1041,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q1024647,literal,,wd:Q117
4,uri,http://www.wikidata.org/entity/Q1521346,en,literal,GCB Bank Limited,,,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1953-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q117,literal,"http://www.wikidata.org/entity/Q1416657, http://www.wikidata.org/entity/Q837171, http://www.wikidata.org/entity/Q806718",literal,,literal,,literal,http://www.wikidata.org/entity/Q3761,literal,,wd:Q117
5,uri,http://www.wikidata.org/entity/Q5446778,en,literal,Fidelity Bank Ghana,,,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1990-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q117,literal,http://www.wikidata.org/entity/Q837171,literal,,literal,,literal,http://www.wikidata.org/entity/Q3761,literal,,wd:Q117
6,uri,http://www.wikidata.org/entity/Q6706090,en,literal,Luv FM,,,,,,,,,,uri,http://www.wikidata.org/entity/Q117,literal,,literal,,literal,,literal,,literal,,wd:Q117
7,uri,http://www.wikidata.org/entity/Q28732582,en,literal,Radio Gold,,,,,,,,,,uri,http://www.wikidata.org/entity/Q117,literal,,literal,,literal,,literal,,literal,,wd:Q117
8,uri,http://www.wikidata.org/entity/Q17061030,en,literal,Jumia,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#decimal,literal,4000,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q79,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q1024647,literal,,wd:Q117
9,uri,http://www.wikidata.org/entity/Q6297121,en,literal,Joy FM,,,,,,,,,,uri,http://www.wikidata.org/entity/Q117,literal,,literal,,literal,,literal,,literal,,wd:Q117
10,uri,http://www.wikidata.org/entity/Q112259763,en,literal,Celebritieshits,,,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2019-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q117,literal,"http://www.wikidata.org/entity/Q97466012, http://www.wikidata.org/entity/Q56611639, http://www.wikidata.org/entity/Q11030",literal,,literal,,literal,http://www.wikidata.org/entity/Q1785891,literal,,wd:Q117
11,uri,http://www.wikidata.org/entity/Q20854899,en,literal,Citi FM,,,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2004-11-05T00:00:00Z,uri,http://www.wikidata.org/entity/Q117,literal,,literal,,literal,,literal,,literal,,wd:Q117
12,uri,http://www.wikidata.org/entity/Q110677522,en,literal,The Ghanaian Standard,en,literal,GhStandard News,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2021-11-22T00:00:00Z,uri,http://www.wikidata.org/entity/Q117,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3761,literal,,wd:Q117
13,uri,http://www.wikidata.org/entity/Q16733539,en,literal,GH One TV,,,,,,,,,,uri,http://www.wikidata.org/entity/Q117,literal,http://www.wikidata.org/entity/Q1727518,literal,,literal,,literal,,literal,,wd:Q117
14,uri,http://www.wikidata.org/entity/Q16733924,en,literal,NET 2 Television,,,,,,,,,,uri,http://www.wikidata.org/entity/Q117,literal,,literal,,literal,,literal,,literal,,wd:Q117
15,uri,http://www.wikidata.org/entity/Q17061030,en,literal,Jumia,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#decimal,literal,4000,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q114,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q1024647,literal,,wd:Q117
16,uri,http://www.wikidata.org/entity/Q4352110,en,literal,Vodafone Ghana,,,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1974-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q117,literal,http://www.wikidata.org/entity/Q25245117,literal,,literal,,literal,http://www.wikidata.org/entity/Q3761,literal,,wd:Q117
17,uri,http://www.wikidata.org/entity/Q17061030,en,literal,Jumia,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#decimal,literal,4000,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q948,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q1024647,literal,,wd:Q117
18,uri,http://www.wikidata.org/entity/Q112232552,en,literal,MTA Ghana,,,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2021-01-15T00:00:00Z,uri,http://www.wikidata.org/entity/Q117,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q109395324,literal,,wd:Q117
19,uri,http://www.wikidata.org/entity/Q17061030,en,literal,Jumia,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#decimal,literal,4000,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q117,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q1024647,literal,,wd:Q117
20,uri,http://www.wikidata.org/entity/Q389754,en,literal,GTV,,,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1965-07-31T00:00:00Z,uri,http://www.wikidata.org/entity/Q117,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3761,literal,,wd:Q117
21,uri,http://www.wikidata.org/entity/Q4689607,en,literal,Africa World Airlines,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,381,http://www.w3.org/2001/XMLSchema#dateTime,literal,2010-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q117,literal,,literal,,literal,http://www.wikidata.org/entity/Q18394603,literal,http://www.wikidata.org/entity/Q3761,literal,,wd:Q117
22,uri,http://www.wikidata.org/entity/Q60174302,en,literal,Leti Arts,,,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2007-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q117,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,http://www.wikidata.org/entity/Q3761,literal,,wd:Q117
23,uri,http://www.wikidata.org/entity/Q61883237,en,literal,Twellium Industrial Company,,,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2013-09-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q117,literal,http://www.wikidata.org/entity/Q4899370,literal,,literal,,literal,,literal,,wd:Q117
24,uri,http://www.wikidata.org/entity/Q110962067,en,literal,GhREN,,,,,,,,,,uri,http://www.wikidata.org/entity/Q117,literal,,literal,,literal,,literal,,literal,,wd:Q117
25,uri,http://www.wikidata.org/entity/Q100273563,en,literal,Fox FM (Ghana),,,,,,,,,,uri,http://www.wikidata.org/entity/Q117,literal,"http://www.wikidata.org/entity/Q14350, http://www.wikidata.org/entity/Q11033",literal,,literal,,literal,,literal,,wd:Q117
26,uri,http://www.wikidata.org/entity/Q97654591,en,literal,Zaacoal,,,,,,,,,,uri,http://www.wikidata.org/entity/Q117,literal,,literal,,literal,,literal,,literal,,wd:Q117
27,uri,http://www.wikidata.org/entity/Q3104763,en,literal,Ghana Broadcasting Corporation,,,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1935-07-31T00:00:00Z,uri,http://www.wikidata.org/entity/Q117,literal,http://www.wikidata.org/entity/Q11033,literal,,literal,,literal,http://www.wikidata.org/entity/Q3761,literal,,wd:Q117
28,uri,http://www.wikidata.org/entity/Q76165362,en,literal,Tigo,,,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2004-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q117,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3761,literal,,wd:Q117
29,uri,http://www.wikidata.org/entity/Q4351971,en,literal,Ghana Post,,,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1995-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q117,literal,http://www.wikidata.org/entity/Q49845,literal,,literal,,literal,,literal,,wd:Q117
30,uri,http://www.wikidata.org/entity/Q17061030,en,literal,Jumia,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#decimal,literal,4000,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q1008,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q1024647,literal,,wd:Q117
31,uri,http://www.wikidata.org/entity/Q17061030,en,literal,Jumia,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#decimal,literal,4000,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q262,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q1024647,literal,,wd:Q117
32,uri,http://www.wikidata.org/entity/Q17061030,en,literal,Jumia,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#decimal,literal,4000,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q1009,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q1024647,literal,,wd:Q117
33,uri,http://www.wikidata.org/entity/Q5555373,en,literal,Ghana News Agency,,,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1957-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q117,literal,http://www.wikidata.org/entity/Q11033,literal,,literal,,literal,http://www.wikidata.org/entity/Q3761,literal,,wd:Q117
34,uri,http://www.wikidata.org/entity/Q48792241,en,literal,Yen.com.gh,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,20,http://www.w3.org/2001/XMLSchema#dateTime,literal,2015-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q117,literal,http://www.wikidata.org/entity/Q17329836,literal,,literal,,literal,http://www.wikidata.org/entity/Q3761,literal,,wd:Q117
35,uri,http://www.wikidata.org/entity/Q95763111,en,literal,Konkonsa TV,,,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2018-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q117,literal,,literal,,literal,,literal,,literal,,wd:Q117
36,uri,http://www.wikidata.org/entity/Q19978283,en,literal,Ghana Water Company Ltd.,,,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1993-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q117,literal,http://www.wikidata.org/entity/Q474883,literal,,literal,,literal,http://www.wikidata.org/entity/Q3761,literal,,wd:Q117
37,uri,http://www.wikidata.org/entity/Q17061030,en,literal,Jumia,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#decimal,literal,4000,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q1028,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q1024647,literal,,wd:Q117
38,uri,http://www.wikidata.org/entity/Q2303765,en,literal,University of Ghana,,,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1948-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q117,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q116977172,literal,http://www.wikidata.org/entity/Q15,wd:Q117
39,uri,http://www.wikidata.org/entity/Q110928553,en,literal,Acube Graphics,,,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2016-11-30T00:00:00Z,uri,http://www.wikidata.org/entity/Q117,literal,http://www.wikidata.org/entity/Q24962704,literal,,literal,,literal,http://www.wikidata.org/entity/Q3761,literal,,wd:Q117
