,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,origindate.datatype,origindate.type,origindate.value,officialname.xml:lang,officialname.type,officialname.value,employees.datatype,employees.type,employees.value,assets.datatype,assets.type,assets.value,equity.datatype,equity.type,equity.value,profit.datatype,profit.type,profit.value,markcap.datatype,markcap.type,markcap.value,country
155,uri,http://www.wikidata.org/entity/Q6887331,en,literal,Mobily,uri,http://www.wikidata.org/entity/Q851,literal,"http://www.wikidata.org/entity/Q56598901, http://www.wikidata.org/entity/Q25245117",literal,,literal,,literal,http://www.wikidata.org/entity/Q851,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2004-12-14T00:00:00Z,ar,literal,شركة إتحاد إتصالات,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,39262461000,http://www.w3.org/2001/XMLSchema#decimal,literal,14253837000,,,,,,,wd:Q851
156,uri,http://www.wikidata.org/entity/Q20401398,en,literal,SACO Hardware,uri,http://www.wikidata.org/entity/Q851,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q3692,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1984-11-19T00:00:00Z,ar,literal,الشركة السعودية للعدد والأدوات,http://www.w3.org/2001/XMLSchema#decimal,literal,2400,http://www.w3.org/2001/XMLSchema#decimal,literal,1763385000,http://www.w3.org/2001/XMLSchema#decimal,literal,540865000,,,,,,,wd:Q851
157,uri,http://www.wikidata.org/entity/Q679322,en,literal,Saudi Aramco,uri,http://www.wikidata.org/entity/Q851,literal,"http://www.wikidata.org/entity/Q12089268, http://www.wikidata.org/entity/Q1349660, http://www.wikidata.org/entity/Q862571, http://www.wikidata.org/entity/Q214261",literal,"http://www.wikidata.org/entity/Q6399442, http://www.wikidata.org/entity/Q19938961",literal,http://www.wikidata.org/entity/Q64853380,literal,http://www.wikidata.org/entity/Q268915,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1988-11-13T00:00:00Z,ar,literal,شركة الزيت العربية السعودية,http://www.w3.org/2001/XMLSchema#decimal,literal,79000,http://www.w3.org/2001/XMLSchema#decimal,literal,1494126000000,http://www.w3.org/2001/XMLSchema#decimal,literal,1046235000000,http://www.w3.org/2001/XMLSchema#decimal,literal,604005000000,http://www.w3.org/2001/XMLSchema#decimal,literal,2458000000000,wd:Q851
158,uri,http://www.wikidata.org/entity/Q5738371,en,literal,Herfy,uri,http://www.wikidata.org/entity/Q851,literal,"http://www.wikidata.org/entity/Q1442415, http://www.wikidata.org/entity/Q171141",literal,,literal,,literal,http://www.wikidata.org/entity/Q3692,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1981-03-03T00:00:00Z,ar,literal,هرفي,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,2033463000,http://www.w3.org/2001/XMLSchema#decimal,literal,997986000,,,,,,,wd:Q851
159,uri,http://www.wikidata.org/entity/Q12188903,en,literal,Saudi Electricity Company,uri,http://www.wikidata.org/entity/Q851,literal,http://www.wikidata.org/entity/Q20385848,literal,,literal,,literal,http://www.wikidata.org/entity/Q3692,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1999-01-01T00:00:00Z,ar,literal,الشركة السعودية للكهرباء,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,479829990000,http://www.w3.org/2001/XMLSchema#decimal,literal,72309407000,,,,,,,wd:Q851
160,uri,http://www.wikidata.org/entity/Q114678764,en,literal,Maeen Network,uri,http://www.wikidata.org/entity/Q851,literal,,literal,,literal,,literal,,literal,,,,,ar,literal,شبكة معين,,,,,,,,,,,,,,,,wd:Q851
161,uri,http://www.wikidata.org/entity/Q5738371,en,literal,Herfy,uri,http://www.wikidata.org/entity/Q851,literal,"http://www.wikidata.org/entity/Q1442415, http://www.wikidata.org/entity/Q171141",literal,,literal,,literal,http://www.wikidata.org/entity/Q3692,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1981-03-03T00:00:00Z,ar,literal,هرفي,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,2033463000,http://www.w3.org/2001/XMLSchema#decimal,literal,812550000,,,,,,,wd:Q851
162,uri,http://www.wikidata.org/entity/Q12242596,en,literal,Dr. Sulaiman Al Habib Medical Services Group,uri,http://www.wikidata.org/entity/Q878,literal,http://www.wikidata.org/entity/Q31207,literal,,literal,http://www.wikidata.org/entity/Q7635956,literal,http://www.wikidata.org/entity/Q3692,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1993-11-25T00:00:00Z,ar,literal,مجموعة الدكتور سليمان الحبيب للخدمات الطبية,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,8467304000,http://www.w3.org/2001/XMLSchema#decimal,literal,4328022000,,,,,,,wd:Q851
163,uri,http://www.wikidata.org/entity/Q12188930,en,literal,National Shipping Company of Saudi Arabia,uri,http://www.wikidata.org/entity/Q851,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3692,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1978-01-22T00:00:00Z,ar,literal,الشركة الوطنية السعودية للنقل البحري,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,20560827000,http://www.w3.org/2001/XMLSchema#decimal,literal,9377871000,,,,,,,wd:Q851
164,uri,http://www.wikidata.org/entity/Q3535226,en,literal,Almarai Company,uri,http://www.wikidata.org/entity/Q851,literal,http://www.wikidata.org/entity/Q540912,literal,,literal,,literal,http://www.wikidata.org/entity/Q3692,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1977-01-01T00:00:00Z,ar,literal,شركة المراعي,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,33148042000,http://www.w3.org/2001/XMLSchema#decimal,literal,13035593000,,,,,,,wd:Q851
165,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,uri,http://www.wikidata.org/entity/Q796,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q851
