,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,employees.datatype,employees.type,employees.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,officialname.xml:lang,officialname.type,officialname.value,assets.datatype,assets.type,assets.value,country
0,uri,http://www.wikidata.org/entity/Q17061030,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#decimal,literal,4000,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q1033,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q1024647,literal,,en,literal,Jumia,,,,wd:Q262
1,uri,http://www.wikidata.org/entity/Q2836026,en,literal,TV3,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2001-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q262,literal,,literal,,literal,,literal,"http://www.wikidata.org/entity/Q2918742, http://www.wikidata.org/entity/Q3561",literal,,,,,,,,wd:Q262
2,uri,http://www.wikidata.org/entity/Q3490327,en,literal,Sonelgaz,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1969-07-28T00:00:00Z,uri,http://www.wikidata.org/entity/Q262,literal,"http://www.wikidata.org/entity/Q1326624, http://www.wikidata.org/entity/Q40858",literal,,literal,,literal,http://www.wikidata.org/entity/Q3561,literal,,ar,literal,الشركة الوطنية للكهرباء والغاز,,,,wd:Q262
3,uri,http://www.wikidata.org/entity/Q1090717,en,literal,Sonatrach,http://www.w3.org/2001/XMLSchema#decimal,literal,200000,http://www.w3.org/2001/XMLSchema#dateTime,literal,1963-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q262,literal,"http://www.wikidata.org/entity/Q12089268, http://www.wikidata.org/entity/Q862571",literal,,literal,,literal,http://www.wikidata.org/entity/Q3561,literal,,,,,,,,wd:Q262
4,uri,http://www.wikidata.org/entity/Q17061030,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#decimal,literal,4000,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q1036,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q1024647,literal,,en,literal,Jumia,,,,wd:Q262
5,uri,http://www.wikidata.org/entity/Q86733398,en,literal,El Fadjr TV,,,,,,,uri,http://www.wikidata.org/entity/Q262,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q262
6,uri,http://www.wikidata.org/entity/Q86660761,en,literal,Banque extérieure d'Algérie,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1967-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q262,literal,http://www.wikidata.org/entity/Q837171,literal,,literal,,literal,http://www.wikidata.org/entity/Q262,literal,,ar,literal,بنك الجزائر الخارجي,http://www.w3.org/2001/XMLSchema#decimal,literal,230000000000,wd:Q262
7,uri,http://www.wikidata.org/entity/Q17061030,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#decimal,literal,4000,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q1041,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q1024647,literal,,en,literal,Jumia,,,,wd:Q262
8,uri,http://www.wikidata.org/entity/Q1162323,en,literal,Algeria Press Service,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1961-12-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q262,literal,"http://www.wikidata.org/entity/Q56611639, http://www.wikidata.org/entity/Q1193236",literal,,literal,,literal,"http://www.wikidata.org/entity/Q2534015, http://www.wikidata.org/entity/Q3561",literal,,,,,,,,wd:Q262
9,uri,http://www.wikidata.org/entity/Q114220301,en,literal,Medialgeria,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2001-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q262,literal,"http://www.wikidata.org/entity/Q3321471, http://www.wikidata.org/entity/Q133080, http://www.wikidata.org/entity/Q39809",literal,,literal,,literal,http://www.wikidata.org/entity/Q3561,literal,,,,,,,,wd:Q262
