,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,employees.datatype,employees.type,employees.value,officialname.xml:lang,officialname.type,officialname.value,country
0,uri,http://www.wikidata.org/entity/Q61463454,en,literal,Barcode Cafe,http://www.w3.org/2001/XMLSchema#dateTime,literal,2013-07-09T00:00:00Z,uri,http://www.wikidata.org/entity/Q902,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q902
1,uri,http://www.wikidata.org/entity/Q6304791,en,literal,Jugantor,http://www.w3.org/2001/XMLSchema#dateTime,literal,2000-02-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q902,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q902
2,uri,http://www.wikidata.org/entity/Q4732302,en,literal,Alliance Française de Dhaka,http://www.w3.org/2001/XMLSchema#dateTime,literal,1959-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q902,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1354,literal,,,,,,,,wd:Q902
3,uri,http://www.wikidata.org/entity/Q55232288,en,literal,Sairu Hill Resort,,,,uri,http://www.wikidata.org/entity/Q902,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q902
4,uri,http://www.wikidata.org/entity/Q104882072,en,literal,Hatil,http://www.w3.org/2001/XMLSchema#dateTime,literal,1989-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q902,literal,"http://www.wikidata.org/entity/Q507619, http://www.wikidata.org/entity/Q187939",literal,,literal,,literal,http://www.wikidata.org/entity/Q1354,literal,,,,,,,,wd:Q902
5,uri,http://www.wikidata.org/entity/Q51353880,en,literal,Mermaid Beach House Collection,,,,uri,http://www.wikidata.org/entity/Q902,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q902
6,uri,http://www.wikidata.org/entity/Q3350382,en,literal,Sonali Bank,http://www.w3.org/2001/XMLSchema#dateTime,literal,1972-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q902,literal,"http://www.wikidata.org/entity/Q1416657, http://www.wikidata.org/entity/Q837171, http://www.wikidata.org/entity/Q806718",literal,,literal,,literal,http://www.wikidata.org/entity/Q1354,literal,,,,,,,,wd:Q902
7,uri,http://www.wikidata.org/entity/Q98254251,en,literal,Amber IT,,,,uri,http://www.wikidata.org/entity/Q902,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q902
8,uri,http://www.wikidata.org/entity/Q8119721,en,literal,Teletalk,http://www.w3.org/2001/XMLSchema#dateTime,literal,2004-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q902,literal,"http://www.wikidata.org/entity/Q56598901, http://www.wikidata.org/entity/Q25245117",literal,,literal,,literal,http://www.wikidata.org/entity/Q1354,literal,,,,,,,,wd:Q902
9,uri,http://www.wikidata.org/entity/Q61388050,en,literal,Grand Sultan Tea Resort & Golf,,,,uri,http://www.wikidata.org/entity/Q902,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q902
10,uri,http://www.wikidata.org/entity/Q112299630,en,literal,Multi Art Azure,http://www.w3.org/2001/XMLSchema#dateTime,literal,2017-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q902,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1354,literal,,,,,,,,wd:Q902
11,uri,http://www.wikidata.org/entity/Q3347028,en,literal,Janata Bank,http://www.w3.org/2001/XMLSchema#dateTime,literal,1971-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q902,literal,"http://www.wikidata.org/entity/Q1416657, http://www.wikidata.org/entity/Q837171, http://www.wikidata.org/entity/Q806718",literal,,literal,,literal,http://www.wikidata.org/entity/Q1354,literal,,,,,,,,wd:Q902
12,uri,http://www.wikidata.org/entity/Q4855508,en,literal,Banglalink,http://www.w3.org/2001/XMLSchema#dateTime,literal,1999-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q902,literal,"http://www.wikidata.org/entity/Q56598901, http://www.wikidata.org/entity/Q25245117",literal,,literal,,literal,,literal,,,,,,,,wd:Q902
13,uri,http://www.wikidata.org/entity/Q17071713,en,literal,US-Bangla Airlines,http://www.w3.org/2001/XMLSchema#dateTime,literal,2013-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q902,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1354,literal,,,,,,,,wd:Q902
14,uri,http://www.wikidata.org/entity/Q18988838,en,literal,Rokomari.com,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-19T00:00:00Z,uri,http://www.wikidata.org/entity/Q902,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q6917695,literal,,,,,,,,wd:Q902
15,uri,http://www.wikidata.org/entity/Q47122673,en,literal,CtgShop.com,http://www.w3.org/2001/XMLSchema#dateTime,literal,2014-07-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q902,literal,http://www.wikidata.org/entity/Q17513419,literal,,literal,http://www.wikidata.org/entity/Q53756360,literal,http://www.wikidata.org/entity/Q376749,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,15,en,literal,CtgShop.com Limited,wd:Q902
