,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,employees.datatype,employees.type,employees.value,officialname.xml:lang,officialname.type,officialname.value,profit.datatype,profit.type,profit.value,assets.datatype,assets.type,assets.value,markcap.datatype,markcap.type,markcap.value,country
391,uri,http://www.wikidata.org/entity/Q114458426,en,literal,ViewApp,,,,uri,http://www.wikidata.org/entity/Q40,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q40
392,uri,http://www.wikidata.org/entity/Q12309283,en,literal,Eurospar,,,,uri,http://www.wikidata.org/entity/Q38,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q40
393,uri,http://www.wikidata.org/entity/Q12309283,en,literal,Eurospar,,,,uri,http://www.wikidata.org/entity/Q39,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q40
394,uri,http://www.wikidata.org/entity/Q279847,en,literal,A1 Telekom Austria,http://www.w3.org/2001/XMLSchema#dateTime,literal,2006-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q40,literal,http://www.wikidata.org/entity/Q2401749,literal,,literal,,literal,http://www.wikidata.org/entity/Q1741,literal,,,,,,,,,,,,,,,,,wd:Q40
395,uri,http://www.wikidata.org/entity/Q697619,en,literal,Bank Austria,http://www.w3.org/2001/XMLSchema#dateTime,literal,1991-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q40,literal,"http://www.wikidata.org/entity/Q837171, http://www.wikidata.org/entity/Q806718",literal,,literal,,literal,http://www.wikidata.org/entity/Q1741,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,35534,de,literal,UniCredit Bank Austria AG,,,,,,,,,,wd:Q40
396,uri,http://www.wikidata.org/entity/Q60998709,en,literal,Inigo,,,,uri,http://www.wikidata.org/entity/Q40,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q40
397,uri,http://www.wikidata.org/entity/Q634672,en,literal,Doka Group,http://www.w3.org/2001/XMLSchema#dateTime,literal,1958-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q40,literal,http://www.wikidata.org/entity/Q385378,literal,,literal,,literal,http://www.wikidata.org/entity/Q251231,literal,,,,,,,,,,,,,,,,,wd:Q40
398,uri,http://www.wikidata.org/entity/Q12309283,en,literal,Eurospar,,,,uri,http://www.wikidata.org/entity/Q36,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q40
399,uri,http://www.wikidata.org/entity/Q591359,en,literal,Steyr Arms,http://www.w3.org/2001/XMLSchema#dateTime,literal,1864-04-16T00:00:00Z,uri,http://www.wikidata.org/entity/Q40,literal,http://www.wikidata.org/entity/Q392933,literal,,literal,,literal,http://www.wikidata.org/entity/Q682115,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,150,de,literal,Österreichische Waffenfabriksgesellschaft,,,,,,,,,,wd:Q40
400,uri,http://www.wikidata.org/entity/Q1025605,en,literal,Cafe Gerstner,http://www.w3.org/2001/XMLSchema#dateTime,literal,1847-04-24T00:00:00Z,uri,http://www.wikidata.org/entity/Q40,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q40
