,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,officialname.xml:lang,officialname.type,officialname.value,country
0,uri,http://www.wikidata.org/entity/Q5384667,en,literal,Equity Bank Tanzania,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q924,literal,http://www.wikidata.org/entity/Q837171,literal,,literal,,literal,,literal,,,,,wd:Q924
1,uri,http://www.wikidata.org/entity/Q4050564,en,literal,TANESCO,http://www.w3.org/2001/XMLSchema#dateTime,literal,1964-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q924,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1960,literal,,,,,wd:Q924
2,uri,http://www.wikidata.org/entity/Q6974322,en,literal,NMB Bank Plc,http://www.w3.org/2001/XMLSchema#dateTime,literal,1997-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q924,literal,http://www.wikidata.org/entity/Q837171,literal,,literal,,literal,http://www.wikidata.org/entity/Q1960,literal,,,,,wd:Q924
3,uri,http://www.wikidata.org/entity/Q108057456,en,literal,Puaz Wear,,,,uri,http://www.wikidata.org/entity/Q924,literal,http://www.wikidata.org/entity/Q12684,literal,,literal,,literal,http://www.wikidata.org/entity/Q1960,literal,,,,,wd:Q924
4,uri,http://www.wikidata.org/entity/Q5013848,en,literal,CRDB Bank,http://www.w3.org/2001/XMLSchema#dateTime,literal,1996-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q924,literal,"http://www.wikidata.org/entity/Q1416657, http://www.wikidata.org/entity/Q837171, http://www.wikidata.org/entity/Q806718",literal,,literal,,literal,http://www.wikidata.org/entity/Q1960,literal,,,,,wd:Q924
5,uri,http://www.wikidata.org/entity/Q25339999,en,literal,Diamond Trust Bank,http://www.w3.org/2001/XMLSchema#dateTime,literal,1945-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q924,literal,http://www.wikidata.org/entity/Q837171,literal,,literal,,literal,,literal,,,,,wd:Q924
6,uri,http://www.wikidata.org/entity/Q7857932,en,literal,Twiga Cement,http://www.w3.org/2001/XMLSchema#dateTime,literal,1966-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q924,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1960,literal,,,,,wd:Q924
7,uri,http://www.wikidata.org/entity/Q1630751,en,literal,Young Africans S.C.,http://www.w3.org/2001/XMLSchema#dateTime,literal,1935-02-11T00:00:00Z,uri,http://www.wikidata.org/entity/Q924,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1960,literal,,en,literal,Young Africans Sports Club,wd:Q924
8,uri,http://www.wikidata.org/entity/Q106580836,en,literal,Vunjabei Group Limited,http://www.w3.org/2001/XMLSchema#dateTime,literal,2016-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q924,literal,http://www.wikidata.org/entity/Q126793,literal,http://www.wikidata.org/entity/Q99769426,literal,,literal,http://www.wikidata.org/entity/Q1960,literal,,,,,wd:Q924
9,uri,http://www.wikidata.org/entity/Q25054185,en,literal,Swala Gas and Oil,http://www.w3.org/2001/XMLSchema#dateTime,literal,2011-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q924,literal,http://www.wikidata.org/entity/Q862571,literal,,literal,,literal,http://www.wikidata.org/entity/Q1960,literal,,,,,wd:Q924
10,uri,http://www.wikidata.org/entity/Q106957508,en,literal,Kibo Peak Palace Hotel,http://www.w3.org/2001/XMLSchema#dateTime,literal,2014-12-20T00:00:00Z,uri,http://www.wikidata.org/entity/Q924,literal,http://www.wikidata.org/entity/Q27686,literal,,literal,,literal,http://www.wikidata.org/entity/Q458388,literal,,,,,wd:Q924
