,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,employees.datatype,employees.type,employees.value,country
0,uri,http://www.wikidata.org/entity/Q6199299,en,literal,Jimma University,http://www.w3.org/2001/XMLSchema#dateTime,literal,1983-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q115,literal,,literal,,literal,,literal,,literal,,,,,wd:Q115
1,uri,http://www.wikidata.org/entity/Q245233,en,literal,Ethiopian Airlines,http://www.w3.org/2001/XMLSchema#dateTime,literal,1945-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q115,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q44923,literal,,,,,wd:Q115
2,uri,http://www.wikidata.org/entity/Q107155267,en,literal,Canal+ Ethiopia,,,,uri,http://www.wikidata.org/entity/Q115,literal,http://www.wikidata.org/entity/Q721830,literal,,literal,,literal,,literal,,,,,wd:Q115
3,uri,http://www.wikidata.org/entity/Q112152570,en,literal,Qene Games,http://www.w3.org/2001/XMLSchema#dateTime,literal,2016-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q115,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,http://www.wikidata.org/entity/Q3624,literal,,,,,wd:Q115
4,uri,http://www.wikidata.org/entity/Q495172,en,literal,Commercial Bank of Ethiopia,http://www.w3.org/2001/XMLSchema#dateTime,literal,1963-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q115,literal,http://www.wikidata.org/entity/Q43015,literal,,literal,,literal,http://www.wikidata.org/entity/Q3624,literal,,,,,wd:Q115
5,uri,http://www.wikidata.org/entity/Q6199299,en,literal,Jimma University,http://www.w3.org/2001/XMLSchema#dateTime,literal,1999-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q115,literal,,literal,,literal,,literal,,literal,,,,,wd:Q115
6,uri,http://www.wikidata.org/entity/Q1276270,en,literal,EBC,http://www.w3.org/2001/XMLSchema#dateTime,literal,1972-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q115,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3624,literal,,,,,wd:Q115
7,uri,http://www.wikidata.org/entity/Q7590447,en,literal,St. Mary's University,http://www.w3.org/2001/XMLSchema#dateTime,literal,1998-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q115,literal,,literal,,literal,,literal,,literal,,,,,wd:Q115
8,uri,http://www.wikidata.org/entity/Q5403583,en,literal,ethio telecom,http://www.w3.org/2001/XMLSchema#dateTime,literal,1952-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q115,literal,"http://www.wikidata.org/entity/Q56598901, http://www.wikidata.org/entity/Q25245117",literal,,literal,,literal,http://www.wikidata.org/entity/Q3624,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,13549,wd:Q115
9,uri,http://www.wikidata.org/entity/Q116009324,en,literal,Ethio-Djibouti Standard Gauge Rail Transport S.C.,http://www.w3.org/2001/XMLSchema#dateTime,literal,2017-04-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q115,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3624,literal,,,,,wd:Q115
10,uri,http://www.wikidata.org/entity/Q1967889,en,literal,National Bank of Ethiopia,http://www.w3.org/2001/XMLSchema#dateTime,literal,1906-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q115,literal,http://www.wikidata.org/entity/Q1416657,literal,,literal,http://www.wikidata.org/entity/Q17749513,literal,http://www.wikidata.org/entity/Q3624,literal,,,,,wd:Q115
