,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,employees.datatype,employees.type,employees.value,profit.datatype,profit.type,profit.value,markcap.datatype,markcap.type,markcap.value,officialname.xml:lang,officialname.type,officialname.value,assets.datatype,assets.type,assets.value,equity.datatype,equity.type,equity.value,country
13,uri,http://www.wikidata.org/entity/Q806642,en,literal,Bank Polska Kasa Opieki,http://www.w3.org/2001/XMLSchema#dateTime,literal,1929-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q36,literal,"http://www.wikidata.org/entity/Q837171, http://www.wikidata.org/entity/Q806718",literal,,literal,,literal,http://www.wikidata.org/entity/Q62024749,literal,,,,,,,,,,,pl,literal,Bank Polska Kasa Opieki Spółka Akcyjna,,,,,,,wd:Q36
14,uri,http://www.wikidata.org/entity/Q53430,en,literal,MPK Poznań Sp. z o.o.,http://www.w3.org/2001/XMLSchema#dateTime,literal,1880-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q36,literal,http://www.wikidata.org/entity/Q178512,literal,,literal,,literal,http://www.wikidata.org/entity/Q268,literal,,,,,,,,,,,pl,literal,Miejskie Przedsiębiorstwo Komunikacyjne w Poznaniu Spółka z o.o.,,,,,,,wd:Q36
15,uri,http://www.wikidata.org/entity/Q9251859,en,literal,Eko,http://www.w3.org/2001/XMLSchema#dateTime,literal,1996-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q36,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q36
16,uri,http://www.wikidata.org/entity/Q108599511,en,literal,Livio,,,,uri,http://www.wikidata.org/entity/Q36,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q36
17,uri,http://www.wikidata.org/entity/Q86681898,en,literal,Pijalnia Wódki i Piwa,,,,uri,http://www.wikidata.org/entity/Q36,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q36
18,uri,http://www.wikidata.org/entity/Q11974290,en,literal,"Hard Rock Café, Warsaw",http://www.w3.org/2001/XMLSchema#dateTime,literal,2007-02-08T00:00:00Z,uri,http://www.wikidata.org/entity/Q36,literal,,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q918151,,,,,,,,,,,,,,,,,,,wd:Q36
19,uri,http://www.wikidata.org/entity/Q11694239,en,literal,Dino,http://www.w3.org/2001/XMLSchema#dateTime,literal,1999-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q36,literal,http://www.wikidata.org/entity/Q601401,literal,,literal,,literal,http://www.wikidata.org/entity/Q984538,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,16530,http://www.w3.org/2001/XMLSchema#decimal,literal,1132087000,,,,mul,literal,DINO POLSKA S.A.,,,,,,,wd:Q36
20,uri,http://www.wikidata.org/entity/Q2033727,en,literal,OLT Express,http://www.w3.org/2001/XMLSchema#dateTime,literal,2011-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q36,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1792,literal,,,,,,,,,,,,,,,,,,,,wd:Q36
21,uri,http://www.wikidata.org/entity/Q11699009,en,literal,Fugazi,,,,uri,http://www.wikidata.org/entity/Q36,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q36
22,uri,http://www.wikidata.org/entity/Q122842019,en,literal,Namaste Travelers Club,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q36,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,pl,literal,Namaste,,,,,,,wd:Q36
23,uri,http://www.wikidata.org/entity/Q1724518,en,literal,TVP Info,http://www.w3.org/2001/XMLSchema#dateTime,literal,2007-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q36,literal,http://www.wikidata.org/entity/Q11030,literal,,literal,,literal,http://www.wikidata.org/entity/Q270,literal,,,,,,,,,,,,,,,,,,,,wd:Q36
24,uri,http://www.wikidata.org/entity/Q56056109,en,literal,SimFabric,,,,uri,http://www.wikidata.org/entity/Q36,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,http://www.wikidata.org/entity/Q270,literal,,,,,,,,,,,,,,,,,,,,wd:Q36
25,uri,http://www.wikidata.org/entity/Q115921434,en,literal,Cofix Global,http://www.w3.org/2001/XMLSchema#dateTime,literal,2013-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q184,literal,,literal,http://www.wikidata.org/entity/Q115921261,literal,,literal,http://www.wikidata.org/entity/Q229,literal,,,,,,,,,,,,,,,,,,,,wd:Q36
26,uri,http://www.wikidata.org/entity/Q107378372,en,literal,Polyslash,http://www.w3.org/2001/XMLSchema#dateTime,literal,2015-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q36,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,http://www.wikidata.org/entity/Q31487,literal,,,,,,,,,,,,,,,,,,,,wd:Q36
27,uri,http://www.wikidata.org/entity/Q142095,en,literal,Polityka,http://www.w3.org/2001/XMLSchema#dateTime,literal,1957-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q36,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q36
28,uri,http://www.wikidata.org/entity/Q110573154,en,literal,Dev4Play,,,,uri,http://www.wikidata.org/entity/Q36,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,http://www.wikidata.org/entity/Q270,literal,,,,,,,,,,,,,,,,,,,,wd:Q36
29,uri,http://www.wikidata.org/entity/Q348402,en,literal,Adam Mickiewicz University in Poznań,http://www.w3.org/2001/XMLSchema#dateTime,literal,1919-05-07T00:00:00Z,uri,http://www.wikidata.org/entity/Q36,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q268,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,5226,,,,,,,nn,literal,Adam Mickiewicz-universitetet<br />(1920–1955: Universitetet i Poznań),,,,,,,wd:Q36
30,uri,http://www.wikidata.org/entity/Q11837058,en,literal,Topaz,http://www.w3.org/2001/XMLSchema#dateTime,literal,1993-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q36,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q1613105,literal,,,,,,,,,,,pl,literal,"PACZÓSKI ZBIGNIEW PRZEDSIĘBIORSTWO HANDLOWO-USŁUGOWE ""TOPAZ""",,,,,,,wd:Q36
31,uri,http://www.wikidata.org/entity/Q41171373,en,literal,Aldi Nord,http://www.w3.org/2001/XMLSchema#dateTime,literal,1960-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q142,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q2066,literal,http://www.wikidata.org/entity/Q125054,,,,,,,,,,,,,,,,,,,wd:Q36
32,uri,http://www.wikidata.org/entity/Q104673490,en,literal,Radio 357,http://www.w3.org/2001/XMLSchema#dateTime,literal,2021-01-05T00:00:00Z,uri,http://www.wikidata.org/entity/Q36,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q270,literal,,,,,,,,,,,,,,,,,,,,wd:Q36
33,uri,http://www.wikidata.org/entity/Q11821937,en,literal,Polomarket,http://www.w3.org/2001/XMLSchema#dateTime,literal,1997-09-11T00:00:00Z,uri,http://www.wikidata.org/entity/Q36,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q5559746,literal,,,,,,,,,,,,,,,,,,,,wd:Q36
34,uri,http://www.wikidata.org/entity/Q109587952,en,literal,Star Drifters,,,,uri,http://www.wikidata.org/entity/Q36,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,http://www.wikidata.org/entity/Q270,literal,,,,,,,,,,,,,,,,,,,,wd:Q36
35,uri,http://www.wikidata.org/entity/Q98455928,en,literal,Wektormedia,,,,uri,http://www.wikidata.org/entity/Q36,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q158459,literal,,,,,,,,,,,,,,,,,,,,wd:Q36
36,uri,http://www.wikidata.org/entity/Q100452287,en,literal,Kebab i Pizza Stey,,,,uri,http://www.wikidata.org/entity/Q36,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q36
37,uri,http://www.wikidata.org/entity/Q115921434,en,literal,Cofix Global,http://www.w3.org/2001/XMLSchema#dateTime,literal,2013-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q36,literal,,literal,http://www.wikidata.org/entity/Q115921261,literal,,literal,http://www.wikidata.org/entity/Q229,literal,,,,,,,,,,,,,,,,,,,,wd:Q36
38,uri,http://www.wikidata.org/entity/Q3198646,en,literal,Konfrontacja Sztuk Walki,http://www.w3.org/2001/XMLSchema#dateTime,literal,2004-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q36,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q270,literal,,,,,,,,,,,,,,,,,,,,wd:Q36
39,uri,http://www.wikidata.org/entity/Q677662,en,literal,Pedagogical University of Kraków,http://www.w3.org/2001/XMLSchema#dateTime,literal,1946-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q36,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q31487,literal,,,,,,,,,,,pl,literal,Uniwersytet Pedagogiczny im. Komisji Edukacji Narodowej w Krakowie,,,,,,,wd:Q36
40,uri,http://www.wikidata.org/entity/Q9386219,en,literal,Gdańskie Autobusy i Tramwaje,http://www.w3.org/2001/XMLSchema#dateTime,literal,1991-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q36,literal,"http://www.wikidata.org/entity/Q3565868, http://www.wikidata.org/entity/Q178512",literal,,literal,,literal,http://www.wikidata.org/entity/Q1792,literal,,,,,,,,,,,pl,literal,Zakład Komunikacji Miejskiej w Gdańsku,,,,,,,wd:Q36
41,uri,http://www.wikidata.org/entity/Q109828151,en,literal,Yellow Dot,,,,uri,http://www.wikidata.org/entity/Q36,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,http://www.wikidata.org/entity/Q1792,literal,,,,,,,,,,,,,,,,,,,,wd:Q36
42,uri,http://www.wikidata.org/entity/Q2589061,en,literal,Żabka,http://www.w3.org/2001/XMLSchema#dateTime,literal,1998-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q36,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q268,literal,http://www.wikidata.org/entity/Q126793,http://www.w3.org/2001/XMLSchema#decimal,literal,1425,http://www.w3.org/2001/XMLSchema#decimal,literal,-35100000,,,,pl,literal,Żabka Polska sp. z.o.o.,,,,,,,wd:Q36
43,uri,http://www.wikidata.org/entity/Q116819340,en,literal,Drago Entertainment,http://www.w3.org/2001/XMLSchema#dateTime,literal,1998-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q36,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,http://www.wikidata.org/entity/Q31487,literal,,,,,,,,,,,,,,,,,,,,wd:Q36
44,uri,http://www.wikidata.org/entity/Q106436003,en,literal,Covenant.dev,http://www.w3.org/2001/XMLSchema#dateTime,literal,2020-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q36,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,http://www.wikidata.org/entity/Q270,literal,,,,,,,,,,,,,,,,,,,,wd:Q36
45,uri,http://www.wikidata.org/entity/Q106918849,en,literal,Klabater,http://www.w3.org/2001/XMLSchema#dateTime,literal,2016-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q36,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,http://www.wikidata.org/entity/Q270,literal,,,,,,,,,,,,,,,,,,,,wd:Q36
46,uri,http://www.wikidata.org/entity/Q110801119,en,literal,Stokrotka Express,http://www.w3.org/2001/XMLSchema#dateTime,literal,2017-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q36,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,pl,literal,Stokrotka Express,,,,,,,wd:Q36
47,uri,http://www.wikidata.org/entity/Q1550912,en,literal,GMV Innovating Solutions,http://www.w3.org/2001/XMLSchema#dateTime,literal,1984-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q218,literal,"http://www.wikidata.org/entity/Q190117, http://www.wikidata.org/entity/Q5268834, http://www.wikidata.org/entity/Q3510521, http://www.wikidata.org/entity/Q2729047, http://www.wikidata.org/entity/Q936518, http://www.wikidata.org/entity/Q508378",literal,"http://www.wikidata.org/entity/Q26637897, http://www.wikidata.org/entity/Q26638506",literal,http://www.wikidata.org/entity/Q26639858,literal,http://www.wikidata.org/entity/Q910410,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,2792,http://www.w3.org/2001/XMLSchema#decimal,literal,6605351.15,,,,es,literal,GMV Innovating Solutions,,,,,,,wd:Q36
48,uri,http://www.wikidata.org/entity/Q111907295,en,literal,Revulo Games,,,,uri,http://www.wikidata.org/entity/Q36,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,http://www.wikidata.org/entity/Q31487,literal,,,,,,,,,,,,,,,,,,,,wd:Q36
49,uri,http://www.wikidata.org/entity/Q9356024,en,literal,Jan Kochanowski Theatre,http://www.w3.org/2001/XMLSchema#dateTime,literal,1945-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q36,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q36
50,uri,http://www.wikidata.org/entity/Q116764575,en,literal,Blue Sunset Games,http://www.w3.org/2001/XMLSchema#dateTime,literal,2016-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q36,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,http://www.wikidata.org/entity/Q1792,literal,,,,,,,,,,,,,,,,,,,,wd:Q36
51,uri,http://www.wikidata.org/entity/Q113070760,en,literal,Cyprian Kamil Norwid Theatre,http://www.w3.org/2001/XMLSchema#dateTime,literal,1904-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q36,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q36
52,uri,http://www.wikidata.org/entity/Q9325152,en,literal,Ryłko,http://www.w3.org/2001/XMLSchema#dateTime,literal,1964-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q36,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q389860,literal,,,,,,,,,,,,,,,,,,,,wd:Q36
53,uri,http://www.wikidata.org/entity/Q9356050,en,literal,Korez Theatre,http://www.w3.org/2001/XMLSchema#dateTime,literal,1990-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q36,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q36
54,uri,http://www.wikidata.org/entity/Q1139703,en,literal,Polregio,http://www.w3.org/2001/XMLSchema#dateTime,literal,2001-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q36,literal,http://www.wikidata.org/entity/Q3565868,literal,,literal,,literal,"http://www.wikidata.org/entity/Q99769138, http://www.wikidata.org/entity/Q270",literal,,,,,,,,,,,,,,,,,,,,wd:Q36
55,uri,http://www.wikidata.org/entity/Q120651326,en,literal,Piana Vyshnia,,,,uri,http://www.wikidata.org/entity/Q28,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q36
