,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,officialname.xml:lang,officialname.type,officialname.value,country
18,uri,http://www.wikidata.org/entity/Q5846785,en,literal,Movistar Ecuador,http://www.w3.org/2001/XMLSchema#dateTime,literal,1993-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q736,literal,"http://www.wikidata.org/entity/Q56598901, http://www.wikidata.org/entity/Q25245117",literal,,literal,,literal,http://www.wikidata.org/entity/Q2900,literal,,,,,wd:Q736
19,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q811,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,pt,literal,"Organização de Estados Ibero-Americanos para a Educação, a Ciência e a Cultura",wd:Q736
20,uri,http://www.wikidata.org/entity/Q2495648,en,literal,Universidad Andina Simón Bolívar,http://www.w3.org/2001/XMLSchema#dateTime,literal,1985-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q750,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q2907,literal,,es,literal,Universidad Andina Simón Bolívar,wd:Q736
21,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,es,literal,"Organización de Estados Iberoamericanos para la Educación, la Ciencia y la Cultura",wd:Q736
22,uri,http://www.wikidata.org/entity/Q62122344,en,literal,Banco del Austro,,,,uri,http://www.wikidata.org/entity/Q736,literal,,literal,,literal,,literal,,literal,,,,,wd:Q736
23,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q29,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,es,literal,"Organización de Estados Iberoamericanos para la Educación, la Ciencia y la Cultura",wd:Q736
24,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q419,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,es,literal,"Organización de Estados Iberoamericanos para la Educación, la Ciencia y la Cultura",wd:Q736
25,uri,http://www.wikidata.org/entity/Q5013202,en,literal,CNT EP,http://www.w3.org/2001/XMLSchema#dateTime,literal,2008-10-30T00:00:00Z,uri,http://www.wikidata.org/entity/Q736,literal,http://www.wikidata.org/entity/Q6175,literal,,literal,,literal,http://www.wikidata.org/entity/Q2900,literal,,,,,wd:Q736
26,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q717,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,es,literal,"Organización de Estados Iberoamericanos para la Educación, la Ciencia y la Cultura",wd:Q736
27,uri,http://www.wikidata.org/entity/Q2495708,en,literal,UTE University,http://www.w3.org/2001/XMLSchema#dateTime,literal,1986-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q736,literal,,literal,,literal,,literal,,literal,,,,,wd:Q736
28,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q983,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,pt,literal,"Organização de Estados Ibero-Americanos para a Educação, a Ciência e a Cultura",wd:Q736
29,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q1183,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,es,literal,"Organización de Estados Iberoamericanos para la Educación, la Ciencia y la Cultura",wd:Q736
30,uri,http://www.wikidata.org/entity/Q29051048,en,literal,Universidad Ecotec,,,,uri,http://www.wikidata.org/entity/Q736,literal,,literal,,literal,,literal,,literal,,,,,wd:Q736
31,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q45,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,es,literal,"Organización de Estados Iberoamericanos para la Educación, la Ciencia y la Cultura",wd:Q736
32,uri,http://www.wikidata.org/entity/Q62332857,en,literal,Primax Ecuador,,,,uri,http://www.wikidata.org/entity/Q736,literal,,literal,,literal,,literal,,literal,,,,,wd:Q736
33,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q733,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,es,literal,"Organización de Estados Iberoamericanos para la Educación, la Ciencia y la Cultura",wd:Q736
34,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,pt,literal,"Organização de Estados Ibero-Americanos para a Educação, a Ciência e a Cultura",wd:Q736
35,uri,http://www.wikidata.org/entity/Q7895315,en,literal,University of Cuenca,http://www.w3.org/2001/XMLSchema#dateTime,literal,1867-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q736,literal,,literal,,literal,,literal,,literal,,,,,wd:Q736
36,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q739,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,es,literal,"Organización de Estados Iberoamericanos para la Educación, la Ciencia y la Cultura",wd:Q736
37,uri,http://www.wikidata.org/entity/Q29051133,en,literal,Universidad Nacional de Chimborazo,http://www.w3.org/2001/XMLSchema#dateTime,literal,1995-08-31T00:00:00Z,uri,http://www.wikidata.org/entity/Q736,literal,,literal,,literal,,literal,,literal,,,,,wd:Q736
