,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,employees.datatype,employees.type,employees.value,origindate.datatype,origindate.type,origindate.value,profit.datatype,profit.type,profit.value,markcap.datatype,markcap.type,markcap.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,officialname.xml:lang,officialname.type,officialname.value,assets.datatype,assets.type,assets.value,equity.datatype,equity.type,equity.value,country
0,uri,http://www.wikidata.org/entity/Q138133,en,literal,RWE,http://www.w3.org/2001/XMLSchema#decimal,literal,19792,http://www.w3.org/2001/XMLSchema#dateTime,literal,1898-04-25T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,1569000000,http://www.w3.org/2001/XMLSchema#decimal,literal,28327000000,uri,http://www.wikidata.org/entity/Q17,literal,"http://www.wikidata.org/entity/Q1341477, http://www.wikidata.org/entity/Q1326594, http://www.wikidata.org/entity/Q2151621",literal,"http://www.wikidata.org/entity/Q15842921, http://www.wikidata.org/entity/Q2078625, http://www.wikidata.org/entity/Q108936810",literal,http://www.wikidata.org/entity/Q110984154,literal,http://www.wikidata.org/entity/Q2066,literal,"http://www.wikidata.org/entity/Q155718, http://www.wikidata.org/entity/Q874430, http://www.wikidata.org/entity/Q1230458, http://www.wikidata.org/entity/Q6571804",,,,,,,,,,wd:Q148
1,uri,http://www.wikidata.org/entity/Q7390019,en,literal,SF Express,http://www.w3.org/2001/XMLSchema#decimal,literal,400000,http://www.w3.org/2001/XMLSchema#dateTime,literal,1993-01-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q148,literal,http://www.wikidata.org/entity/Q177777,literal,,literal,,literal,http://www.wikidata.org/entity/Q15174,literal,,zh-hant,literal,順豐速運,,,,,,,wd:Q148
2,uri,http://www.wikidata.org/entity/Q28691848,en,literal,Happy Elements,http://www.w3.org/2001/XMLSchema#decimal,literal,651,http://www.w3.org/2001/XMLSchema#dateTime,literal,2009-06-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q148,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q393454,literal,,,,,,,,,,,wd:Q148
3,uri,http://www.wikidata.org/entity/Q16926211,en,literal,AAC Technologies Holdings Inc,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1993-01-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q148,literal,http://www.wikidata.org/entity/Q82811,literal,,literal,,literal,http://www.wikidata.org/entity/Q57970,literal,,,,,,,,,,,wd:Q148
4,uri,http://www.wikidata.org/entity/Q7538148,en,literal,Skyworth,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1988-01-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q148,literal,http://www.wikidata.org/entity/Q11650,literal,,literal,,literal,http://www.wikidata.org/entity/Q15174,literal,,,,,,,,,,,wd:Q148
5,uri,http://www.wikidata.org/entity/Q3674725,en,literal,Xinyi Glass,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1988-01-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q148,literal,http://www.wikidata.org/entity/Q11469,literal,,literal,,literal,http://www.wikidata.org/entity/Q8646,literal,,,,,,,,,,,wd:Q148
6,uri,http://www.wikidata.org/entity/Q746413,en,literal,Elsevier BV,http://www.w3.org/2001/XMLSchema#decimal,literal,6900,http://www.w3.org/2001/XMLSchema#dateTime,literal,1880-01-01T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,600000000,,,,uri,http://www.wikidata.org/entity/Q258,literal,http://www.wikidata.org/entity/Q3972943,literal,,literal,,literal,"http://www.wikidata.org/entity/Q1345, http://www.wikidata.org/entity/Q2662373",literal,,,,,,,,,,,wd:Q148
7,uri,http://www.wikidata.org/entity/Q29366,en,literal,Changan Automobile,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1862-01-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q148,literal,http://www.wikidata.org/entity/Q190117,literal,,literal,,literal,http://www.wikidata.org/entity/Q11725,literal,,,,,,,,,,,wd:Q148
8,uri,http://www.wikidata.org/entity/Q10875882,en,literal,CE-Asia,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1999-01-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q148,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,http://www.wikidata.org/entity/Q956,literal,,,,,,,,,,,wd:Q148
9,uri,http://www.wikidata.org/entity/Q1575470,en,literal,Hang Seng Bank,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1933-01-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q148,literal,http://www.wikidata.org/entity/Q837171,literal,http://www.wikidata.org/entity/Q23762089,literal,,literal,http://www.wikidata.org/entity/Q14767,literal,,zh,literal,恒生銀行有限公司,,,,,,,wd:Q148
