,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,origindate.datatype,origindate.type,origindate.value,employees.datatype,employees.type,employees.value,officialname.xml:lang,officialname.type,officialname.value,country
0,uri,http://www.wikidata.org/entity/Q116474606,en,literal,Cashbuild,uri,http://www.wikidata.org/entity/Q963,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q963
1,uri,http://www.wikidata.org/entity/Q116474928,en,literal,Lewis Stores,uri,http://www.wikidata.org/entity/Q963,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q963
2,uri,http://www.wikidata.org/entity/Q7190735,en,literal,Pick n Pay,uri,http://www.wikidata.org/entity/Q1050,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q5179456,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1967-01-01T00:00:00Z,,,,,,,wd:Q963
3,uri,http://www.wikidata.org/entity/Q4013942,en,literal,Virgin Active,uri,http://www.wikidata.org/entity/Q334,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q84,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1998-01-01T00:00:00Z,,,,,,,wd:Q963
4,uri,http://www.wikidata.org/entity/Q116474606,en,literal,Cashbuild,uri,http://www.wikidata.org/entity/Q258,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q963
5,uri,http://www.wikidata.org/entity/Q116474928,en,literal,Lewis Stores,uri,http://www.wikidata.org/entity/Q258,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q963
6,uri,http://www.wikidata.org/entity/Q116970561,en,literal,Pulse Tickets,uri,http://www.wikidata.org/entity/Q963,literal,http://www.wikidata.org/entity/Q173799,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q963
7,uri,http://www.wikidata.org/entity/Q4013942,en,literal,Virgin Active,uri,http://www.wikidata.org/entity/Q963,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q84,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1998-01-01T00:00:00Z,,,,,,,wd:Q963
8,uri,http://www.wikidata.org/entity/Q116474606,en,literal,Cashbuild,uri,http://www.wikidata.org/entity/Q1013,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q963
9,uri,http://www.wikidata.org/entity/Q116474928,en,literal,Lewis Stores,uri,http://www.wikidata.org/entity/Q1013,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q963
