,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,officialname.xml:lang,officialname.type,officialname.value,employees.datatype,employees.type,employees.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,profit.datatype,profit.type,profit.value,country
28,uri,http://www.wikidata.org/entity/Q12203388,,literal,Q12203388,,,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2001-05-02T00:00:00Z,uri,http://www.wikidata.org/entity/Q948,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3572,literal,,,,,wd:Q948
29,uri,http://www.wikidata.org/entity/Q17061030,en,literal,Jumia,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#decimal,literal,4000,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q1008,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q1024647,literal,,,,,wd:Q948
30,uri,http://www.wikidata.org/entity/Q17061030,en,literal,Jumia,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#decimal,literal,4000,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q262,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q1024647,literal,,,,,wd:Q948
31,uri,http://www.wikidata.org/entity/Q17061030,en,literal,Jumia,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#decimal,literal,4000,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q1009,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q1024647,literal,,,,,wd:Q948
32,uri,http://www.wikidata.org/entity/Q2883446,en,literal,BTK Bank,,,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1980-10-29T00:00:00Z,uri,http://www.wikidata.org/entity/Q948,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3572,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,7600000,wd:Q948
33,uri,http://www.wikidata.org/entity/Q979854,en,literal,Nessma El Jadida,,,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2007-03-16T00:00:00Z,uri,http://www.wikidata.org/entity/Q948,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3572,literal,,,,,wd:Q948
34,uri,http://www.wikidata.org/entity/Q690739,en,literal,Arab International Bank of Tunisia,,,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1976-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q948,literal,"http://www.wikidata.org/entity/Q837171, http://www.wikidata.org/entity/Q806718",literal,,literal,,literal,http://www.wikidata.org/entity/Q3572,literal,,,,,wd:Q948
35,uri,http://www.wikidata.org/entity/Q3290824,en,literal,Marhaba,,,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1964-01-07T00:00:00Z,uri,http://www.wikidata.org/entity/Q948,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q180717,literal,,,,,wd:Q948
36,uri,http://www.wikidata.org/entity/Q29415199,en,literal,Ulysse FM,,,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-06-16T00:00:00Z,uri,http://www.wikidata.org/entity/Q948,literal,,literal,,literal,,literal,,literal,,,,,wd:Q948
37,uri,http://www.wikidata.org/entity/Q124096737,en,literal,Wedo Booking,,,,,,,,,,uri,http://www.wikidata.org/entity/Q948,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q339535,literal,,,,,wd:Q948
38,uri,http://www.wikidata.org/entity/Q17061030,en,literal,Jumia,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#decimal,literal,4000,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q1028,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q1024647,literal,,,,,wd:Q948
