,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,origindate.datatype,origindate.type,origindate.value,employees.datatype,employees.type,employees.value,officialname.xml:lang,officialname.type,officialname.value,profit.datatype,profit.type,profit.value,assets.datatype,assets.type,assets.value,markcap.datatype,markcap.type,markcap.value,equity.datatype,equity.type,equity.value,country
398,uri,http://www.wikidata.org/entity/Q296380,en,literal,ARAG,uri,http://www.wikidata.org/entity/Q183,literal,http://www.wikidata.org/entity/Q2143354,literal,,literal,,literal,http://www.wikidata.org/entity/Q296392,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1935-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q183
399,uri,http://www.wikidata.org/entity/Q466688,en,literal,Otto Group,uri,http://www.wikidata.org/entity/Q183,literal,"http://www.wikidata.org/entity/Q837171, http://www.wikidata.org/entity/Q126793",literal,,literal,,literal,http://www.wikidata.org/entity/Q1642,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-08-17T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,49787,,,,,,,,,,,,,,,,wd:Q183
400,uri,http://www.wikidata.org/entity/Q110987931,en,literal,easyApotheke,uri,http://www.wikidata.org/entity/Q183,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1718,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q183
401,uri,http://www.wikidata.org/entity/Q2551912,en,literal,Wasserversorgung Bayerischer Wald,uri,http://www.wikidata.org/entity/Q183,literal,http://www.wikidata.org/entity/Q1061108,literal,,literal,,literal,http://www.wikidata.org/entity/Q16083,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1963-01-01T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,65,,,,,,,,,,,,,,,,wd:Q183
402,uri,http://www.wikidata.org/entity/Q57695998,en,literal,Asseco Solutions AG,uri,http://www.wikidata.org/entity/Q183,literal,http://www.wikidata.org/entity/Q880371,literal,,literal,,literal,http://www.wikidata.org/entity/Q1040,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1993-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q183
403,uri,http://www.wikidata.org/entity/Q113674085,en,literal,Greencells Group,uri,http://www.wikidata.org/entity/Q183,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1724,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q183
404,uri,http://www.wikidata.org/entity/Q2112553,en,literal,Prokon,uri,http://www.wikidata.org/entity/Q183,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q16073,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1995-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q183
405,uri,http://www.wikidata.org/entity/Q107296709,en,literal,End Hits Records,uri,http://www.wikidata.org/entity/Q183,literal,"http://www.wikidata.org/entity/Q10302058, http://www.wikidata.org/entity/Q746359",literal,,literal,,literal,http://www.wikidata.org/entity/Q64,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2011-08-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q183
406,uri,http://www.wikidata.org/entity/Q300147,en,literal,AVIA International,uri,http://www.wikidata.org/entity/Q183,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q72,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1927-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q183
407,uri,http://www.wikidata.org/entity/Q1533296,en,literal,Prosegur,uri,http://www.wikidata.org/entity/Q183,literal,http://www.wikidata.org/entity/Q1499541,literal,,literal,http://www.wikidata.org/entity/Q28741515,literal,"http://www.wikidata.org/entity/Q3791, http://www.wikidata.org/entity/Q2807",literal,http://www.wikidata.org/entity/Q5907868,http://www.w3.org/2001/XMLSchema#dateTime,literal,1976-01-01T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,175000,es,literal,"Prosegur Compañía de Seguridad, S.A",,,,,,,,,,,,,wd:Q183
