,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,officialname.xml:lang,officialname.type,officialname.value,employees.datatype,employees.type,employees.value,country
0,uri,http://www.wikidata.org/entity/Q7098598,en,literal,Opportunity Uganda Limited,http://www.w3.org/2001/XMLSchema#dateTime,literal,1995-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q1036,literal,http://www.wikidata.org/entity/Q837171,literal,,literal,,literal,http://www.wikidata.org/entity/Q3894,literal,,,,,,,,wd:Q1036
1,uri,http://www.wikidata.org/entity/Q7598001,en,literal,Stanbic Bank Uganda Limited,http://www.w3.org/2001/XMLSchema#dateTime,literal,1906-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q1036,literal,http://www.wikidata.org/entity/Q837171,literal,,literal,,literal,http://www.wikidata.org/entity/Q3894,literal,,,,,,,,wd:Q1036
2,uri,http://www.wikidata.org/entity/Q7598202,en,literal,Standard Chartered Uganda,http://www.w3.org/2001/XMLSchema#dateTime,literal,1912-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q1036,literal,http://www.wikidata.org/entity/Q837171,literal,,literal,,literal,,literal,,,,,,,,wd:Q1036
3,uri,http://www.wikidata.org/entity/Q520214,en,literal,New Vision,http://www.w3.org/2001/XMLSchema#dateTime,literal,1986-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q1036,literal,,literal,http://www.wikidata.org/entity/Q96361598,literal,,literal,http://www.wikidata.org/entity/Q3894,literal,,,,,,,,wd:Q1036
4,uri,http://www.wikidata.org/entity/Q17069105,en,literal,The Observer,http://www.w3.org/2001/XMLSchema#dateTime,literal,2004-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q1036,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q1036
5,uri,http://www.wikidata.org/entity/Q5384668,en,literal,Equity Bank Uganda,http://www.w3.org/2001/XMLSchema#dateTime,literal,2008-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q1036,literal,http://www.wikidata.org/entity/Q837171,literal,,literal,,literal,http://www.wikidata.org/entity/Q3894,literal,,,,,,,,wd:Q1036
6,uri,http://www.wikidata.org/entity/Q17061030,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q1008,literal,http://www.wikidata.org/entity/Q126793,literal,http://www.wikidata.org/entity/Q59750463,literal,,literal,http://www.wikidata.org/entity/Q1024647,literal,,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#decimal,literal,5000,wd:Q1036
7,uri,http://www.wikidata.org/entity/Q17061030,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q262,literal,http://www.wikidata.org/entity/Q126793,literal,http://www.wikidata.org/entity/Q59750463,literal,,literal,http://www.wikidata.org/entity/Q1024647,literal,,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#decimal,literal,5000,wd:Q1036
8,uri,http://www.wikidata.org/entity/Q17061030,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q1009,literal,http://www.wikidata.org/entity/Q126793,literal,http://www.wikidata.org/entity/Q59750463,literal,,literal,http://www.wikidata.org/entity/Q1024647,literal,,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#decimal,literal,5000,wd:Q1036
9,uri,http://www.wikidata.org/entity/Q28402637,en,literal,Savannah MOON,http://www.w3.org/2001/XMLSchema#dateTime,literal,2009-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q1036,literal,"http://www.wikidata.org/entity/Q11424, http://www.wikidata.org/entity/Q289",literal,,literal,,literal,http://www.wikidata.org/entity/Q3894,literal,,,,,,,,wd:Q1036
10,uri,http://www.wikidata.org/entity/Q67512734,en,literal,Uganda Bookshop,http://www.w3.org/2001/XMLSchema#dateTime,literal,1927-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q1036,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q1036
11,uri,http://www.wikidata.org/entity/Q17061030,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q1028,literal,http://www.wikidata.org/entity/Q126793,literal,http://www.wikidata.org/entity/Q59750463,literal,,literal,http://www.wikidata.org/entity/Q1024647,literal,,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#decimal,literal,5000,wd:Q1036
