,company.type,company.value,owner.type,owner.value
0,uri,http://www.wikidata.org/entity/Q105940105,uri,http://www.wikidata.org/entity/Q1259453
1,uri,http://www.wikidata.org/entity/Q611995,uri,http://www.wikidata.org/entity/Q1284408
2,uri,http://www.wikidata.org/entity/Q690789,uri,http://www.wikidata.org/entity/Q1321868
3,uri,http://www.wikidata.org/entity/Q1145155,uri,http://www.wikidata.org/entity/Q1321868
4,uri,http://www.wikidata.org/entity/Q2935885,uri,http://www.wikidata.org/entity/Q597933
5,uri,http://www.wikidata.org/entity/Q6310864,uri,http://www.wikidata.org/entity/Q1053372
6,uri,http://www.wikidata.org/entity/Q10287817,uri,http://www.wikidata.org/entity/Q1053372
7,uri,http://www.wikidata.org/entity/Q10377491,uri,http://www.wikidata.org/entity/Q1458581
8,uri,http://www.wikidata.org/entity/Q16624540,uri,http://www.wikidata.org/entity/Q600805
9,uri,http://www.wikidata.org/entity/Q16958644,uri,http://www.wikidata.org/entity/Q2882083
10,uri,http://www.wikidata.org/entity/Q21041561,uri,http://www.wikidata.org/entity/Q450420
