,company.type,company.value,owner.type,owner.value
0,uri,http://www.wikidata.org/entity/Q105699439,uri,http://www.wikidata.org/entity/Q104522362
1,uri,http://www.wikidata.org/entity/Q106600361,uri,http://www.wikidata.org/entity/Q104522362
2,uri,http://www.wikidata.org/entity/Q124309633,uri,http://www.wikidata.org/entity/Q22080463
3,uri,http://www.wikidata.org/entity/Q513457,uri,http://www.wikidata.org/entity/Q513457
4,uri,http://www.wikidata.org/entity/Q579747,uri,http://www.wikidata.org/entity/Q579747
5,uri,http://www.wikidata.org/entity/Q3341382,uri,http://www.wikidata.org/entity/Q3341382
6,uri,http://www.wikidata.org/entity/Q5270729,uri,http://www.wikidata.org/entity/Q5270729
7,uri,http://www.wikidata.org/entity/Q5446777,uri,http://www.wikidata.org/entity/Q5446777
8,uri,http://www.wikidata.org/entity/Q5452342,uri,http://www.wikidata.org/entity/Q5452342
9,uri,http://www.wikidata.org/entity/Q5978240,uri,http://www.wikidata.org/entity/Q5978240
10,uri,http://www.wikidata.org/entity/Q7537673,uri,http://www.wikidata.org/entity/Q7537673
11,uri,http://www.wikidata.org/entity/Q7885401,uri,http://www.wikidata.org/entity/Q7885401
12,uri,http://www.wikidata.org/entity/Q21485092,uri,http://www.wikidata.org/entity/Q21485092
13,uri,http://www.wikidata.org/entity/Q23022855,uri,http://www.wikidata.org/entity/Q23022855
14,uri,http://www.wikidata.org/entity/Q28401298,uri,http://www.wikidata.org/entity/Q28401298
