,company.type,company.value,owner.type,owner.value
0,uri,http://www.wikidata.org/entity/Q70225118,uri,http://www.wikidata.org/entity/Q83389
1,uri,http://www.wikidata.org/entity/Q116919751,uri,http://www.wikidata.org/entity/Q19613071
2,uri,http://www.wikidata.org/entity/Q118134711,uri,http://www.wikidata.org/entity/Q83389
3,uri,http://www.wikidata.org/entity/Q120186078,uri,http://www.wikidata.org/entity/Q1148521
4,uri,http://www.wikidata.org/entity/Q262070,uri,http://www.wikidata.org/entity/Q83389
5,uri,http://www.wikidata.org/entity/Q535725,uri,http://www.wikidata.org/entity/Q83389
6,uri,http://www.wikidata.org/entity/Q680019,uri,http://www.wikidata.org/entity/Q640497
7,uri,http://www.wikidata.org/entity/Q967294,uri,http://www.wikidata.org/entity/Q83389
8,uri,http://www.wikidata.org/entity/Q1041597,uri,http://www.wikidata.org/entity/Q640497
9,uri,http://www.wikidata.org/entity/Q1194217,uri,http://www.wikidata.org/entity/Q83389
10,uri,http://www.wikidata.org/entity/Q1337011,uri,http://www.wikidata.org/entity/Q83389
11,uri,http://www.wikidata.org/entity/Q1565802,uri,http://www.wikidata.org/entity/Q83389
12,uri,http://www.wikidata.org/entity/Q1571990,uri,http://www.wikidata.org/entity/Q83389
13,uri,http://www.wikidata.org/entity/Q1897352,uri,http://www.wikidata.org/entity/Q83389
14,uri,http://www.wikidata.org/entity/Q2406952,uri,http://www.wikidata.org/entity/Q83389
15,uri,http://www.wikidata.org/entity/Q4628094,uri,http://www.wikidata.org/entity/Q83389
16,uri,http://www.wikidata.org/entity/Q4628590,uri,http://www.wikidata.org/entity/Q83389
17,uri,http://www.wikidata.org/entity/Q4628831,uri,http://www.wikidata.org/entity/Q83389
18,uri,http://www.wikidata.org/entity/Q5251737,uri,http://www.wikidata.org/entity/Q640497
19,uri,http://www.wikidata.org/entity/Q6063045,uri,http://www.wikidata.org/entity/Q83389
20,uri,http://www.wikidata.org/entity/Q6082615,uri,http://www.wikidata.org/entity/Q83389
21,uri,http://www.wikidata.org/entity/Q6086174,uri,http://www.wikidata.org/entity/Q83389
22,uri,http://www.wikidata.org/entity/Q7671959,uri,http://www.wikidata.org/entity/Q263700
23,uri,http://www.wikidata.org/entity/Q15946806,uri,http://www.wikidata.org/entity/Q1140939
24,uri,http://www.wikidata.org/entity/Q19612782,uri,http://www.wikidata.org/entity/Q83389
25,uri,http://www.wikidata.org/entity/Q19903306,uri,http://www.wikidata.org/entity/Q675808
26,uri,http://www.wikidata.org/entity/Q20471189,uri,http://www.wikidata.org/entity/Q83389
27,uri,http://www.wikidata.org/entity/Q20474870,uri,http://www.wikidata.org/entity/Q83389
28,uri,http://www.wikidata.org/entity/Q22032058,uri,http://www.wikidata.org/entity/Q675808
29,uri,http://www.wikidata.org/entity/Q28220824,uri,http://www.wikidata.org/entity/Q499967
30,uri,http://www.wikidata.org/entity/Q31188951,uri,http://www.wikidata.org/entity/Q6064805
31,uri,http://www.wikidata.org/entity/Q483676,uri,http://www.wikidata.org/entity/Q4548
32,uri,http://www.wikidata.org/entity/Q100250512,uri,http://www.wikidata.org/entity/Q6064805
33,uri,http://www.wikidata.org/entity/Q109533007,uri,http://www.wikidata.org/entity/Q86841545
34,uri,http://www.wikidata.org/entity/Q119993669,uri,http://www.wikidata.org/entity/Q119713660
35,uri,http://www.wikidata.org/entity/Q120178758,uri,http://www.wikidata.org/entity/Q119713660
36,uri,http://www.wikidata.org/entity/Q55075006,uri,http://www.wikidata.org/entity/Q4548
37,uri,http://www.wikidata.org/entity/Q63088014,uri,http://www.wikidata.org/entity/Q4548
38,uri,http://www.wikidata.org/entity/Q640497,uri,http://www.wikidata.org/entity/Q1306571
39,uri,http://www.wikidata.org/entity/Q1936895,uri,http://www.wikidata.org/entity/Q283852
40,uri,http://www.wikidata.org/entity/Q1975972,uri,http://www.wikidata.org/entity/Q283852
41,uri,http://www.wikidata.org/entity/Q6449187,uri,http://www.wikidata.org/entity/Q283852
42,uri,http://www.wikidata.org/entity/Q6037320,uri,http://www.wikidata.org/entity/Q47165503
43,uri,http://www.wikidata.org/entity/Q8049138,uri,http://www.wikidata.org/entity/Q1306571
44,uri,http://www.wikidata.org/entity/Q17372600,uri,http://www.wikidata.org/entity/Q909613
45,uri,http://www.wikidata.org/entity/Q19612080,uri,http://www.wikidata.org/entity/Q85970774
46,uri,http://www.wikidata.org/entity/Q25477689,uri,http://www.wikidata.org/entity/Q909613
47,uri,http://www.wikidata.org/entity/Q42114490,uri,http://www.wikidata.org/entity/Q283852
48,uri,http://www.wikidata.org/entity/Q47165503,uri,http://www.wikidata.org/entity/Q8049138
