,company.type,company.value,owner.type,owner.value
0,uri,http://www.wikidata.org/entity/Q96419453,uri,http://www.wikidata.org/entity/Q1973495
1,uri,http://www.wikidata.org/entity/Q97587290,uri,http://www.wikidata.org/entity/Q1973495
2,uri,http://www.wikidata.org/entity/Q107641225,uri,http://www.wikidata.org/entity/Q6026133
3,uri,http://www.wikidata.org/entity/Q121151751,uri,http://www.wikidata.org/entity/Q121037504
4,uri,http://www.wikidata.org/entity/Q1432506,uri,http://www.wikidata.org/entity/Q138133
5,uri,http://www.wikidata.org/entity/Q6743729,uri,http://www.wikidata.org/entity/Q1056794
6,uri,http://www.wikidata.org/entity/Q12474533,uri,http://www.wikidata.org/entity/Q806639
7,uri,http://www.wikidata.org/entity/Q12501611,uri,http://www.wikidata.org/entity/Q2745027
8,uri,http://www.wikidata.org/entity/Q12485456,uri,http://www.wikidata.org/entity/Q3482752
9,uri,http://www.wikidata.org/entity/Q12521890,uri,http://www.wikidata.org/entity/Q106914877
10,uri,http://www.wikidata.org/entity/Q19752643,uri,http://www.wikidata.org/entity/Q2745027
11,uri,http://www.wikidata.org/entity/Q20426955,uri,http://www.wikidata.org/entity/Q106914877
12,uri,http://www.wikidata.org/entity/Q25468823,uri,http://www.wikidata.org/entity/Q6942482
