,owner.type,owner.value,company.type,company.value
0,uri,http://www.wikidata.org/entity/Q13477,uri,http://www.wikidata.org/entity/Q4296040
1,uri,http://www.wikidata.org/entity/Q13477,uri,http://www.wikidata.org/entity/Q16836654
2,uri,http://www.wikidata.org/entity/Q1811692,uri,http://www.wikidata.org/entity/Q973930
3,uri,http://www.wikidata.org/entity/Q108541264,uri,http://www.wikidata.org/entity/Q25453791
