,company.type,company.value,owner.type,owner.value,acquiredate.datatype,acquiredate.type,acquiredate.value
68,uri,http://www.wikidata.org/entity/Q3699069,uri,http://www.wikidata.org/entity/Q144617,,,
69,uri,http://www.wikidata.org/entity/Q3747208,uri,http://www.wikidata.org/entity/Q193136,,,
70,uri,http://www.wikidata.org/entity/Q58949703,uri,http://www.wikidata.org/entity/Q144617,,,
71,uri,http://www.wikidata.org/entity/Q1208130,uri,http://www.wikidata.org/entity/Q588001,,,
72,uri,http://www.wikidata.org/entity/Q3689971,uri,http://www.wikidata.org/entity/Q1129774,,,
73,uri,http://www.wikidata.org/entity/Q3689979,uri,http://www.wikidata.org/entity/Q1129774,,,
74,uri,http://www.wikidata.org/entity/Q3689977,uri,http://www.wikidata.org/entity/Q1129774,,,
75,uri,http://www.wikidata.org/entity/Q3831673,uri,http://www.wikidata.org/entity/Q16566756,http://www.w3.org/2001/XMLSchema#dateTime,literal,2013-01-01T00:00:00Z
76,uri,http://www.wikidata.org/entity/Q2638120,uri,http://www.wikidata.org/entity/Q3777384,,,
77,uri,http://www.wikidata.org/entity/Q3072675,uri,http://www.wikidata.org/entity/Q1048204,,,
78,uri,http://www.wikidata.org/entity/Q3640469,uri,http://www.wikidata.org/entity/Q782064,,,
79,uri,http://www.wikidata.org/entity/Q324171,uri,http://www.wikidata.org/entity/Q324782,,,
80,uri,http://www.wikidata.org/entity/Q1619253,uri,http://www.wikidata.org/entity/Q1479654,,,
81,uri,http://www.wikidata.org/entity/Q3961046,uri,http://www.wikidata.org/entity/Q1048204,,,
82,uri,http://www.wikidata.org/entity/Q4004707,uri,http://www.wikidata.org/entity/Q1129774,,,
83,uri,http://www.wikidata.org/entity/Q4004708,uri,http://www.wikidata.org/entity/Q1129774,,,
84,uri,http://www.wikidata.org/entity/Q3961046,uri,http://www.wikidata.org/entity/Q3943389,,,
85,uri,http://www.wikidata.org/entity/Q2967663,uri,http://www.wikidata.org/entity/Q193136,,,
86,uri,http://www.wikidata.org/entity/Q4044531,uri,http://www.wikidata.org/entity/Q746413,http://www.w3.org/2001/XMLSchema#dateTime,literal,2001-01-01T00:00:00Z
87,uri,http://www.wikidata.org/entity/Q11878398,uri,http://www.wikidata.org/entity/Q45568,http://www.w3.org/2001/XMLSchema#dateTime,literal,2016-01-01T00:00:00Z
88,uri,http://www.wikidata.org/entity/Q11878398,uri,http://www.wikidata.org/entity/Q45568,,,
89,uri,http://www.wikidata.org/entity/Q12022071,uri,http://www.wikidata.org/entity/Q29913,,,
90,uri,http://www.wikidata.org/entity/Q12778981,uri,http://www.wikidata.org/entity/Q1343118,,,
91,uri,http://www.wikidata.org/entity/Q318616,uri,http://www.wikidata.org/entity/Q670482,,,
92,uri,http://www.wikidata.org/entity/Q15965705,uri,http://www.wikidata.org/entity/Q3689979,,,
93,uri,http://www.wikidata.org/entity/Q16839814,uri,http://www.wikidata.org/entity/Q3126763,,,
94,uri,http://www.wikidata.org/entity/Q16638812,uri,http://www.wikidata.org/entity/Q670482,,,
95,uri,http://www.wikidata.org/entity/Q703322,uri,http://www.wikidata.org/entity/Q15085475,,,
96,uri,http://www.wikidata.org/entity/Q21189584,uri,http://www.wikidata.org/entity/Q1129774,,,
97,uri,http://www.wikidata.org/entity/Q21272314,uri,http://www.wikidata.org/entity/Q1878364,,,
98,uri,http://www.wikidata.org/entity/Q24910860,uri,http://www.wikidata.org/entity/Q1048204,,,
99,uri,http://www.wikidata.org/entity/Q111530542,uri,http://www.wikidata.org/entity/Q111518952,,,
100,uri,http://www.wikidata.org/entity/Q32066838,uri,http://www.wikidata.org/entity/Q368151,,,
101,uri,http://www.wikidata.org/entity/Q55740815,uri,http://www.wikidata.org/entity/Q85355,http://www.w3.org/2001/XMLSchema#dateTime,literal,2016-04-14T00:00:00Z
102,uri,http://www.wikidata.org/entity/Q3696341,uri,http://www.wikidata.org/entity/Q495026,,,
103,uri,http://www.wikidata.org/entity/Q3752331,uri,http://www.wikidata.org/entity/Q85355,,,
104,uri,http://www.wikidata.org/entity/Q4892016,uri,http://www.wikidata.org/entity/Q746413,http://www.w3.org/2001/XMLSchema#dateTime,literal,2017-08-02T00:00:00Z
105,uri,http://www.wikidata.org/entity/Q1136056,uri,http://www.wikidata.org/entity/Q27597,,,
106,uri,http://www.wikidata.org/entity/Q56045740,uri,http://www.wikidata.org/entity/Q635484,,,
107,uri,http://www.wikidata.org/entity/Q57543102,uri,http://www.wikidata.org/entity/Q639075,,,
