,company.type,company.value,owner.type,owner.value
0,uri,http://www.wikidata.org/entity/Q108195506,uri,http://www.wikidata.org/entity/Q1026044
1,uri,http://www.wikidata.org/entity/Q120972313,uri,http://www.wikidata.org/entity/Q118581
2,uri,http://www.wikidata.org/entity/Q124005822,uri,http://www.wikidata.org/entity/Q842108
3,uri,http://www.wikidata.org/entity/Q284147,uri,http://www.wikidata.org/entity/Q2105426
4,uri,http://www.wikidata.org/entity/Q571818,uri,http://www.wikidata.org/entity/Q649618
5,uri,http://www.wikidata.org/entity/Q571820,uri,http://www.wikidata.org/entity/Q649618
6,uri,http://www.wikidata.org/entity/Q662094,uri,http://www.wikidata.org/entity/Q649618
7,uri,http://www.wikidata.org/entity/Q806190,uri,http://www.wikidata.org/entity/Q1026044
8,uri,http://www.wikidata.org/entity/Q890729,uri,http://www.wikidata.org/entity/Q1129197
9,uri,http://www.wikidata.org/entity/Q936563,uri,http://www.wikidata.org/entity/Q842108
10,uri,http://www.wikidata.org/entity/Q1274362,uri,http://www.wikidata.org/entity/Q1341222
11,uri,http://www.wikidata.org/entity/Q2384927,uri,http://www.wikidata.org/entity/Q1129197
12,uri,http://www.wikidata.org/entity/Q2706279,uri,http://www.wikidata.org/entity/Q649618
13,uri,http://www.wikidata.org/entity/Q3306167,uri,http://www.wikidata.org/entity/Q2105426
14,uri,http://www.wikidata.org/entity/Q3415778,uri,http://www.wikidata.org/entity/Q649618
15,uri,http://www.wikidata.org/entity/Q3459586,uri,http://www.wikidata.org/entity/Q2031951
16,uri,http://www.wikidata.org/entity/Q3818121,uri,http://www.wikidata.org/entity/Q2031951
17,uri,http://www.wikidata.org/entity/Q4855947,uri,http://www.wikidata.org/entity/Q118581
18,uri,http://www.wikidata.org/entity/Q5829004,uri,http://www.wikidata.org/entity/Q1341222
19,uri,http://www.wikidata.org/entity/Q6858976,uri,http://www.wikidata.org/entity/Q118581
20,uri,http://www.wikidata.org/entity/Q7276247,uri,http://www.wikidata.org/entity/Q649618
21,uri,http://www.wikidata.org/entity/Q7171483,uri,http://www.wikidata.org/entity/Q7171485
22,uri,http://www.wikidata.org/entity/Q9581725,uri,http://www.wikidata.org/entity/Q118581
23,uri,http://www.wikidata.org/entity/Q10394039,uri,http://www.wikidata.org/entity/Q2035375
24,uri,http://www.wikidata.org/entity/Q12735595,uri,http://www.wikidata.org/entity/Q118581
25,uri,http://www.wikidata.org/entity/Q21008000,uri,http://www.wikidata.org/entity/Q118581
