,company.type,company.value,owner.type,owner.value,acquiredate.datatype,acquiredate.type,acquiredate.value
0,uri,http://www.wikidata.org/entity/Q108909041,uri,http://www.wikidata.org/entity/Q746413,http://www.w3.org/2001/XMLSchema#dateTime,literal,2013-01-01T00:00:00Z
1,uri,http://www.wikidata.org/entity/Q4044531,uri,http://www.wikidata.org/entity/Q746413,http://www.w3.org/2001/XMLSchema#dateTime,literal,2001-01-01T00:00:00Z
2,uri,http://www.wikidata.org/entity/Q48976578,uri,http://www.wikidata.org/entity/Q746413,http://www.w3.org/2001/XMLSchema#dateTime,literal,2022-06-01T00:00:00Z
3,uri,http://www.wikidata.org/entity/Q5058164,uri,http://www.wikidata.org/entity/Q746413,http://www.w3.org/2001/XMLSchema#dateTime,literal,1999-04-01T00:00:00Z
4,uri,http://www.wikidata.org/entity/Q4892016,uri,http://www.wikidata.org/entity/Q746413,http://www.w3.org/2001/XMLSchema#dateTime,literal,2017-08-02T00:00:00Z
5,uri,http://www.wikidata.org/entity/Q1219271,uri,http://www.wikidata.org/entity/Q47099,,,
6,uri,http://www.wikidata.org/entity/Q3323885,uri,http://www.wikidata.org/entity/Q47099,,,
7,uri,http://www.wikidata.org/entity/Q5030976,uri,http://www.wikidata.org/entity/Q47099,,,
8,uri,http://www.wikidata.org/entity/Q5164063,uri,http://www.wikidata.org/entity/Q47099,,,
9,uri,http://www.wikidata.org/entity/Q5426892,uri,http://www.wikidata.org/entity/Q47099,,,
10,uri,http://www.wikidata.org/entity/Q5882315,uri,http://www.wikidata.org/entity/Q47099,,,
11,uri,http://www.wikidata.org/entity/Q6045703,uri,http://www.wikidata.org/entity/Q47099,,,
12,uri,http://www.wikidata.org/entity/Q8041920,uri,http://www.wikidata.org/entity/Q47099,,,
13,uri,http://www.wikidata.org/entity/Q28105387,uri,http://www.wikidata.org/entity/Q47099,,,
14,uri,http://www.wikidata.org/entity/Q65159023,uri,http://www.wikidata.org/entity/Q47099,,,
15,uri,http://www.wikidata.org/entity/Q2571518,uri,http://www.wikidata.org/entity/Q746413,,,
16,uri,http://www.wikidata.org/entity/Q4892016,uri,http://www.wikidata.org/entity/Q746413,,,
17,uri,http://www.wikidata.org/entity/Q52667636,uri,http://www.wikidata.org/entity/Q746413,,,
18,uri,http://www.wikidata.org/entity/Q51459149,uri,http://www.wikidata.org/entity/Q50652529,http://www.w3.org/2001/XMLSchema#dateTime,literal,2020-01-01T00:00:00Z
19,uri,http://www.wikidata.org/entity/Q65035061,uri,http://www.wikidata.org/entity/Q50652529,http://www.w3.org/2001/XMLSchema#dateTime,literal,2019-01-01T00:00:00Z
20,uri,http://www.wikidata.org/entity/Q564971,uri,http://www.wikidata.org/entity/Q1281055,,,
21,uri,http://www.wikidata.org/entity/Q1432506,uri,http://www.wikidata.org/entity/Q138133,,,
22,uri,http://www.wikidata.org/entity/Q6328111,uri,http://www.wikidata.org/entity/Q731824,,,
23,uri,http://www.wikidata.org/entity/Q6333480,uri,http://www.wikidata.org/entity/Q731824,,,
24,uri,http://www.wikidata.org/entity/Q53046716,uri,http://www.wikidata.org/entity/Q9089355,,,
25,uri,http://www.wikidata.org/entity/Q98567741,uri,http://www.wikidata.org/entity/Q3333072,,,
26,uri,http://www.wikidata.org/entity/Q120175617,uri,http://www.wikidata.org/entity/Q5686673,,,
27,uri,http://www.wikidata.org/entity/Q2874823,uri,http://www.wikidata.org/entity/Q917701,,,
28,uri,http://www.wikidata.org/entity/Q2875227,uri,http://www.wikidata.org/entity/Q1281055,,,
29,uri,http://www.wikidata.org/entity/Q4913721,uri,http://www.wikidata.org/entity/Q775031,,,
30,uri,http://www.wikidata.org/entity/Q5123101,uri,http://www.wikidata.org/entity/Q735562,,,
31,uri,http://www.wikidata.org/entity/Q5490671,uri,http://www.wikidata.org/entity/Q5886408,,,
32,uri,http://www.wikidata.org/entity/Q5715132,uri,http://www.wikidata.org/entity/Q1281055,,,
33,uri,http://www.wikidata.org/entity/Q6156347,uri,http://www.wikidata.org/entity/Q972553,,,
34,uri,http://www.wikidata.org/entity/Q7124263,uri,http://www.wikidata.org/entity/Q9089355,,,
35,uri,http://www.wikidata.org/entity/Q7520717,uri,http://www.wikidata.org/entity/Q9089355,,,
36,uri,http://www.wikidata.org/entity/Q8042011,uri,http://www.wikidata.org/entity/Q5886408,,,
37,uri,http://www.wikidata.org/entity/Q8042090,uri,http://www.wikidata.org/entity/Q5886021,,,
38,uri,http://www.wikidata.org/entity/Q8042139,uri,http://www.wikidata.org/entity/Q5886408,,,
39,uri,http://www.wikidata.org/entity/Q17101732,uri,http://www.wikidata.org/entity/Q5612263,,,
40,uri,http://www.wikidata.org/entity/Q19600467,uri,http://www.wikidata.org/entity/Q5886408,,,
41,uri,http://www.wikidata.org/entity/Q21030996,uri,http://www.wikidata.org/entity/Q5686673,,,
42,uri,http://www.wikidata.org/entity/Q24729640,uri,http://www.wikidata.org/entity/Q222738,,,
43,uri,http://www.wikidata.org/entity/Q61315203,uri,http://www.wikidata.org/entity/Q5686673,,,
