,company.type,company.value,owner.type,owner.value,acquiredate.datatype,acquiredate.type,acquiredate.value
0,uri,http://www.wikidata.org/entity/Q112161529,uri,http://www.wikidata.org/entity/Q6483872,http://www.w3.org/2001/XMLSchema#dateTime,literal,2022-03-01T00:00:00Z
1,uri,http://www.wikidata.org/entity/Q1076816,uri,http://www.wikidata.org/entity/Q37614,,,
2,uri,http://www.wikidata.org/entity/Q1856835,uri,http://www.wikidata.org/entity/Q7817,,,
3,uri,http://www.wikidata.org/entity/Q5759361,uri,http://www.wikidata.org/entity/Q37614,,,
4,uri,http://www.wikidata.org/entity/Q85755402,uri,http://www.wikidata.org/entity/Q2643008,,,
5,uri,http://www.wikidata.org/entity/Q96418547,uri,http://www.wikidata.org/entity/Q15548065,,,
6,uri,http://www.wikidata.org/entity/Q117462890,uri,http://www.wikidata.org/entity/Q3543983,,,
7,uri,http://www.wikidata.org/entity/Q117462890,uri,http://www.wikidata.org/entity/Q5092432,,,
8,uri,http://www.wikidata.org/entity/Q2022113,uri,http://www.wikidata.org/entity/Q287617,,,
9,uri,http://www.wikidata.org/entity/Q3550116,uri,http://www.wikidata.org/entity/Q746592,,,
10,uri,http://www.wikidata.org/entity/Q3547846,uri,http://www.wikidata.org/entity/Q891930,,,
11,uri,http://www.wikidata.org/entity/Q3550152,uri,http://www.wikidata.org/entity/Q15548065,,,
12,uri,http://www.wikidata.org/entity/Q4261635,uri,http://www.wikidata.org/entity/Q287617,,,
13,uri,http://www.wikidata.org/entity/Q4650387,uri,http://www.wikidata.org/entity/Q287617,,,
14,uri,http://www.wikidata.org/entity/Q5120754,uri,http://www.wikidata.org/entity/Q287617,,,
15,uri,http://www.wikidata.org/entity/Q5975697,uri,http://www.wikidata.org/entity/Q287617,,,
16,uri,http://www.wikidata.org/entity/Q5513702,uri,http://www.wikidata.org/entity/Q15548065,,,
17,uri,http://www.wikidata.org/entity/Q5513725,uri,http://www.wikidata.org/entity/Q15548065,,,
18,uri,http://www.wikidata.org/entity/Q7543955,uri,http://www.wikidata.org/entity/Q644167,,,
19,uri,http://www.wikidata.org/entity/Q7679675,uri,http://www.wikidata.org/entity/Q2643008,,,
20,uri,http://www.wikidata.org/entity/Q15277430,uri,http://www.wikidata.org/entity/Q1994975,,,
21,uri,http://www.wikidata.org/entity/Q15629633,uri,http://www.wikidata.org/entity/Q287617,,,
22,uri,http://www.wikidata.org/entity/Q22031418,uri,http://www.wikidata.org/entity/Q15548065,,,
23,uri,http://www.wikidata.org/entity/Q25001544,uri,http://www.wikidata.org/entity/Q3544836,,,
